grupo;orden_en_grupo;codigo_local;comuna;merchan;latitud;longitud;dist_prev_km
1;1;2256503;VESPUCIO;JVARGAS;-33.4490656;-70.7390396;0
1;2;677149;VESPUCIO;JVARGAS;-33.4364184;-70.7328595;1.519
1;3;2183979;VESPUCIO;JVARGAS;-33.4332228;-70.7311704;0.388
1;4;2217835;VESPUCIO;JVARGAS;-33.4327888;-70.7270518;0.385
1;5;2253490;VESPUCIO;JVARGAS;-33.4325993;-70.7270512;0.021
1;6;715761;VESPUCIO;JVARGAS;-33.4338218;-70.7255073;0.197
1;7;2259368;VESPUCIO;JVARGAS;-33.4333066;-70.7248055;0.087
1;8;753764;VESPUCIO;JVARGAS;-33.4301794;-70.7221978;0.424
1;9;676521;VESPUCIO;JVARGAS;-33.4305315;-70.7201102;0.198
1;10;1691544;VESPUCIO;JVARGAS;-33.4288268;-70.7284249;0.795
1;11;2216045;VESPUCIO;JVARGAS;-33.4291681;-70.7297373;0.128
1;12;2196780;VESPUCIO;JVARGAS;-33.4316498;-70.7379313;0.809
1;13;1636572;VESPUCIO;JVARGAS;-33.4257275;-70.7431665;0.818
1;14;2197062;VESPUCIO;JVARGAS;-33.4278451;-70.748911;0.583
1;15;2263577;MAIPU;JVARGAS;-33.4294551;-70.7482634;0.189
2;1;2302103;VESPUCIO;JVARGAS;-33.4335446;-70.6415556;0
2;2;2185955;VESPUCIO;JVARGAS;-33.4335442;-70.6416805;0.012
2;3;2060251;VESPUCIO;JVARGAS;-33.4332801;-70.64265;0.095
2;4;2359543;VESPUCIO;JVARGAS;-33.4325412;-70.6419446;0.105
2;5;1657274;MODELO;JVARGAS;-33.431083;-70.6413139;0.172
2;6;690643;VESPUCIO;JVARGAS;-33.4302565;-70.6414653;0.093
2;7;677356;VESPUCIO;JVARGAS;-33.430166;-70.6415713;0.014
2;8;642296;VESPUCIO;JVARGAS;-33.4308963;-70.6432121;0.173
2;9;660656;VESPUCIO;JVARGAS;-33.4289061;-70.6427246;0.226
2;10;1921610;VESPUCIO;JVARGAS;-33.4281622;-70.6419991;0.107
2;11;1335500;VESPUCIO;JVARGAS;-33.430274;-70.6396586;0.32
2;12;1696597;VESPUCIO;JVARGAS;-33.4301953;-70.6385226;0.106
2;13;2185956;VESPUCIO;JVARGAS;-33.4316099;-70.6370471;0.209
2;14;2261028;VESPUCIO;JVARGAS;-33.4334223;-70.6353382;0.256
2;15;654978;VESPUCIO;JVARGAS;-33.4294054;-70.6456314;1.054
3;1;2251004;VESPUCIO;JVARGAS;-33.4297311;-70.6540477;0
3;2;2226751;VESPUCIO;JVARGAS;-33.4295657;-70.6536336;0.043
3;3;669737;VESPUCIO;JVARGAS;-33.4264216;-70.6511554;0.418
3;4;788271;VESPUCIO;JVARGAS;-33.424172;-70.6514061;0.251
3;5;1575527;VESPUCIO;JVARGAS;-33.421332;-70.6514561;0.316
3;6;2328698;VESPUCIO;JVARGAS;-33.4230438;-70.6472169;0.437
3;7;669666;VESPUCIO;JVARGAS;-33.4247222;-70.6458199;0.227
3;8;2227112;VESPUCIO;JVARGAS;-33.4256125;-70.6457191;0.099
3;9;1725057;VESPUCIO;JVARGAS;-33.4271089;-70.6442686;0.214
3;10;2182765;VESPUCIO;JVARGAS;-33.42453;-70.6551375;1.049
3;11;931720;VESPUCIO;JVARGAS;-33.4222048;-70.6573091;0.328
3;12;1702277;VESPUCIO;JVARGAS;-33.4225781;-70.6579748;0.074
3;13;642339;VESPUCIO;JVARGAS;-33.4227457;-70.658322;0.037
3;14;2237307;VESPUCIO;JVARGAS;-33.4262918;-70.6583612;0.394
3;15;2384032;MODELO;JVARGAS;-33.4361673;-70.6558371;1.123
4;1;730511;VESPUCIO;JVARGAS;-33.4259635;-70.6432384;0
4;2;2273549;VESPUCIO;JVARGAS;-33.4233804;-70.6424866;0.296
4;3;2354133;VESPUCIO;JVARGAS;-33.4221392;-70.6440247;0.199
4;4;1307206;VESPUCIO;JVARGAS;-33.4218359;-70.6463903;0.222
4;5;2174913;VESPUCIO;JVARGAS;-33.4220612;-70.6466278;0.033
4;6;1571432;VESPUCIO;JVARGAS;-33.421538;-70.6416318;0.467
4;7;1685194;VESPUCIO;JVARGAS;-33.4167325;-70.6408917;0.539
4;8;2200533;VESPUCIO;JVARGAS;-33.4161767;-70.6435919;0.258
4;9;1902268;VESPUCIO;JVARGAS;-33.4153919;-70.6382968;0.499
4;10;644229;VESPUCIO;JVARGAS;-33.4129218;-70.6361091;0.342
4;11;2231724;VESPUCIO;JVARGAS;-33.408288;-70.6434385;0.853
4;12;1662794;VESPUCIO;JVARGAS;-33.4111719;-70.6543375;1.061
4;13;783323;VESPUCIO;JVARGAS;-33.4167065;-70.6585467;0.729
4;14;2289215;VESPUCIO;JVARGAS;-33.4234615;-70.6636111;0.886
4;15;646847;MODELO;JVARGAS;-33.430496;-70.6358526;2.692
5;1;2207113;VESPUCIO;JVARGAS;-33.4191152;-70.7275316;0
5;2;780178;VESPUCIO;JVARGAS;-33.419102;-70.7231941;0.403
5;3;1479439;VESPUCIO;JVARGAS;-33.4213757;-70.7190367;0.461
5;4;650659;VESPUCIO;JVARGAS;-33.4214914;-70.718094;0.088
5;5;646948;VESPUCIO;JVARGAS;-33.4216179;-70.7180128;0.016
5;6;2265960;VESPUCIO;JVARGAS;-33.4256753;-70.7234147;0.674
5;7;2391129;VESPUCIO;JVARGAS;-33.4245653;-70.732948;0.893
5;8;1380897;VESPUCIO;JVARGAS;-33.420574;-70.734166;0.458
5;9;2128790;VESPUCIO;JVARGAS;-33.4204322;-70.7342833;0.019
5;10;1302191;VESPUCIO;JVARGAS;-33.4186928;-70.7386788;0.451
5;11;2308362;VESPUCIO;JVARGAS;-33.4152067;-70.7353973;0.493
5;12;2292074;VESPUCIO;JVARGAS;-33.4143651;-70.7296213;0.544
5;13;664112;VESPUCIO;JVARGAS;-33.411222;-70.724839;0.565
5;14;1603500;VESPUCIO;JVARGAS;-33.4096887;-70.725748;0.19
5;15;673840;MAIPU;JVARGAS;-33.414738;-70.717243;0.969
6;1;817123;VESPUCIO;JVARGAS;-33.4185559;-70.6750746;0
6;2;2214990;VESPUCIO;JVARGAS;-33.42174;-70.6758742;0.362
6;3;2325614;VESPUCIO;JVARGAS;-33.4148343;-70.6778487;0.789
6;4;638441;VESPUCIO;JVARGAS;-33.4144036;-70.6771517;0.08
6;5;664680;VESPUCIO;JVARGAS;-33.413465;-70.6764438;0.123
6;6;1477252;VESPUCIO;JVARGAS;-33.41472;-70.683731;0.691
6;7;1858723;VESPUCIO;JVARGAS;-33.4103191;-70.6890259;0.694
6;8;706809;VESPUCIO;JVARGAS;-33.412028;-70.690864;0.255
6;9;656564;VESPUCIO;JVARGAS;-33.406093;-70.681798;1.069
6;10;2220501;VESPUCIO;JVARGAS;-33.4060451;-70.6685609;1.229
6;11;2352594;VESPUCIO;JVARGAS;-33.409788;-70.6662724;0.467
6;12;1727087;VESPUCIO;JVARGAS;-33.4109888;-70.6628645;0.343
6;13;653518;VESPUCIO;JVARGAS;-33.4155779;-70.6621659;0.514
6;14;2343743;VESPUCIO;JVARGAS;-33.4167954;-70.6616411;0.144
6;15;2462762;VESPUCIO;JVARGAS;-33.4168664;-70.665246;0.335
7;1;1696540;VESPUCIO;JVARGAS;-33.4212972;-70.7660247;0
7;2;711285;VESPUCIO;JVARGAS;-33.4167791;-70.7652775;0.507
7;3;778525;VESPUCIO;JVARGAS;-33.419284;-70.760381;0.533
7;4;771681;VESPUCIO;JVARGAS;-33.4204086;-70.7596705;0.141
7;5;2062766;VESPUCIO;JVARGAS;-33.4177447;-70.7586816;0.31
7;6;754339;VESPUCIO;JVARGAS;-33.4180152;-70.7501797;0.79
7;7;739197;VESPUCIO;JVARGAS;-33.4181435;-70.7500094;0.021
7;8;659472;VESPUCIO;JVARGAS;-33.4172509;-70.7476135;0.244
7;9;1479423;VESPUCIO;JVARGAS;-33.4182151;-70.7453659;0.235
7;10;700755;VESPUCIO;JVARGAS;-33.4196929;-70.7451111;0.166
7;11;2227662;VESPUCIO;JVARGAS;-33.4211235;-70.7459544;0.177
7;12;2407500;VESPUCIO;JVARGAS;-33.4223365;-70.7481465;0.244
7;13;1330600;VESPUCIO;JVARGAS;-33.423012;-70.7506624;0.245
7;14;1342949;VESPUCIO;JVARGAS;-33.4150228;-70.7452123;1.022
7;15;1750464;VESPUCIO;JVARGAS;-33.4269864;-70.7610966;1.986
8;1;1911662;VESPUCIO;JVARGAS;-33.4205523;-70.7397271;0
8;2;2045339;VESPUCIO;JVARGAS;-33.4196718;-70.7408793;0.145
8;3;1960605;VESPUCIO;JVARGAS;-33.41828;-70.7395209;0.2
8;4;643843;VESPUCIO;JVARGAS;-33.4136795;-70.742214;0.569
8;5;2317549;VESPUCIO;JVARGAS;-33.4100289;-70.7374638;0.599
8;6;794666;VESPUCIO;JVARGAS;-33.409784;-70.735933;0.145
8;7;658986;VESPUCIO;JVARGAS;-33.408733;-70.739217;0.326
8;8;1576115;VESPUCIO;JVARGAS;-33.407166;-70.738342;0.192
8;9;2252101;VESPUCIO;JVARGAS;-33.4061205;-70.7388777;0.126
8;10;1327675;VESPUCIO;JVARGAS;-33.405658;-70.740656;0.173
8;11;2145805;VESPUCIO;JVARGAS;-33.406769;-70.745697;0.484
8;12;2037971;VESPUCIO;JVARGAS;-33.4072275;-70.7456946;0.051
8;13;903875;VESPUCIO;JVARGAS;-33.407894;-70.748303;0.253
8;14;1461875;VESPUCIO;JVARGAS;-33.407746;-70.748751;0.045
8;15;659454;VESPUCIO;JVARGAS;-33.403348;-70.747063;0.514
9;1;667060;VESPUCIO;JVARGAS;-33.411964;-70.6266168;0
9;2;875924;VESPUCIO;JVARGAS;-33.4114212;-70.6276047;0.11
9;3;1332232;VESPUCIO;JVARGAS;-33.4055141;-70.6287007;0.665
9;4;1433653;VESPUCIO;JVARGAS;-33.4055084;-70.6329193;0.392
9;5;1349490;VESPUCIO;JVARGAS;-33.4063583;-70.6353344;0.243
9;6;787067;VESPUCIO;JVARGAS;-33.3994294;-70.6375312;0.797
9;7;676081;VESPUCIO;JVARGAS;-33.3945952;-70.640338;0.597
9;8;1913087;VESPUCIO;JVARGAS;-33.3920838;-70.6322013;0.805
9;9;2139392;VESPUCIO;JVARGAS;-33.3971204;-70.626761;0.754
9;10;1385958;VESPUCIO;JVARGAS;-33.3993949;-70.6284892;0.3
9;11;1646077;VESPUCIO;JVARGAS;-33.3999028;-70.6294355;0.104
9;12;2263959;MODELO;JVARGAS;-33.3992719;-70.623827;0.525
9;13;1359772;VESPUCIO;JVARGAS;-33.3987376;-70.6230572;0.093
9;14;643496;VESPUCIO;JVARGAS;-33.4027156;-70.6450846;2.092
9;15;2215899;VESPUCIO;JVARGAS;-33.4022797;-70.6474639;0.226
10;1;929277;VESPUCIO;JVARGAS;-33.4019273;-70.6500402;0
10;2;1395721;VESPUCIO;JVARGAS;-33.4025813;-70.6523731;0.228
10;3;1304414;VESPUCIO;JVARGAS;-33.3983117;-70.6501085;0.519
10;4;1478878;VESPUCIO;JVARGAS;-33.3967313;-70.6480547;0.259
10;5;2305268;VESPUCIO;JVARGAS;-33.3949784;-70.6479245;0.195
10;6;646244;VESPUCIO;JVARGAS;-33.3972141;-70.6458802;0.313
10;7;1448743;VESPUCIO;JVARGAS;-33.3925136;-70.6446266;0.535
10;8;1735399;VESPUCIO;JVARGAS;-33.3917161;-70.6428134;0.19
