codigolocal;comuna;merchan;latitud;longitud
1569457;OSORNO;rvergara;-405.737.866;-731.401.006
2104028;OSORNO;rvergara;-405.728.566;-731.409.619
2114535;OSORNO;rvergara;-405.740.365;-731.396.084
2130785;OSORNO;rvergara;-405.730.745;-731.352.140
2241574;OSORNO;rvergara;-405.742.460;-731.382.176
2249189;OSORNO;rvergara;-405.725.602;-731.401.855
2308692;OSORNO;rvergara;-405.713.749;-731.407.324
2412652;OSORNO;rvergara;-405.734.551;-731.382.678
2420033;OSORNO;rvergara;-405.730.455;-731.373.988
2458884;OSORNO;rvergara;-405.730.455;-731.373.988
2460347;OSORNO;rvergara;-405.711.613;-731.437.289
2470687;OSORNO;rvergara;-405.723.005;-731.350.076
586906;OSORNO;rvergara;-405.725.834;-731.401.990
587780;OSORNO;rvergara;-405.725.960;-731.401.949
589177;OSORNO;rvergara;-405.731.470;-731.401.448
615751;OSORNO;rvergara;-405.733.636;-731.345.238
711362;OSORNO;rvergara;-405.742.465;-731.397.959
881950;OSORNO;rvergara;-405.730.455;-731.373.988
1908706;OSORNO;rvergara;-405.734.210;-731.341.430
2117571;OSORNO;rvergara;-405.720.879;-731.389.086
2120838;OSORNO;rvergara;-405.716.821;-731.354.929
2205408;OSORNO;rvergara;-405.719.735;-731.353.530
2213852;OSORNO;rvergara;-405.719.735;-731.353.530
2241012;OSORNO;rvergara;-405.729.970;-731.301.280
2252975;OSORNO;rvergara;-405.731.155;-731.375.233
2254851;OSORNO;rvergara;-405.738.259;-731.305.295
2301459;OSORNO;rvergara;-405.703.376;-731.326.101
2318817;OSORNO;rvergara;-405.731.155;-731.375.233
2326536;OSORNO;rvergara;-405.726.578;-731.386.977
2345749;OSORNO;rvergara;-405.744.229;-731.333.931
2349926;OSORNO;rvergara;-405.734.839;-731.312.488
2371718;OSORNO;rvergara;-405.734.567;-731.320.797
2423758;OSORNO;rvergara;-405.726.578;-731.386.977
2465274;OSORNO;rvergara;-405.738.653;-731.339.233
587272;OSORNO;rvergara;-405.720.879;-731.389.086
590034;OSORNO;rvergara;-405.738.653;-731.339.233
1419650;OSORNO;rvergara;-405.778.182;-731.243.305
1470406;OSORNO;rvergara;-405.746.849;-731.297.782
1478526;OSORNO;rvergara;-405.756.260;-731.253.323
1501013;OSORNO;rvergara;-405.774.129;-731.336.970
1692279;OSORNO;rvergara;-405.775.560;-731.312.715
1763698;OSORNO;rvergara;-405.760.948;-731.347.382
2014171;OSORNO;rvergara;-405.775.121;-731.315.952
2023726;OSORNO;rvergara;-405.775.477;-731.233.638
2141263;OSORNO;rvergara;-405.771.741;-731.295.322
2235814;OSORNO;rvergara;-405.750.089;-731.224.901
2252976;OSORNO;rvergara;-405.748.180;-731.305.880
2439264;OSORNO;rvergara;-405.774.550;-731.348.222
2476765;OSORNO;rvergara;-405.747.500;-731.351.307
586442;OSORNO;rvergara;-405.752.093;-731.193.829
588204;OSORNO;rvergara;-405.745.389;-731.348.748
589567;OSORNO;rvergara;-405.755.424;-731.224.440
589628;OSORNO;rvergara;-405.747.500;-731.351.307
817234;OSORNO;rvergara;-405.761.030;-731.160.993
1348283;OSORNO;rvergara;-405.802.935;-731.154.966
1362507;OSORNO;rvergara;-405.959.321;-731.082.616
1390163;OSORNO;rvergara;-405.776.343;-731.226.860
1652841;OSORNO;rvergara;-405.802.817;-731.163.353
1944456;OSORNO;rvergara;-405.740.089;-731.089.859
2081806;OSORNO;rvergara;-405.780.550;-731.210.520
2210471;OSORNO;rvergara;-405.794.806;-731.339.963
2247204;OSORNO;rvergara;-405.870.704;-731.192.020
2273558;OSORNO;rvergara;-405.800.028;-731.348.222
2285257;OSORNO;rvergara;-405.781.044;-731.179.212
2453022;OSORNO;rvergara;-405.835.074;-731.225.359
2469022;OSORNO;rvergara;-405.872.994;-731.227.948
2474320;OSORNO;rvergara;-405.781.044;-731.179.212
763709;OSORNO;rvergara;-405.819.897;-731.228.358
834102;OSORNO;rvergara;-405.780.403;-731.212.203
1461230;OSORNO;rvergara;-405.867.298;-731.652.564
1535277;OSORNO;rvergara;-405.908.464;-731.692.490
1621963;OSORNO;rvergara;-405.753.842;-731.457.206
1760795;OSORNO;rvergara;-405.589.342;-731.791.587
1833943;OSORNO;rvergara;-405.937.151;-731.455.864
2166180;OSORNO;rvergara;-405.920.100;-731.694.700
2189192;OSORNO;rvergara;-405.823.189;-731.617.855
2442152;OSORNO;rvergara;-405.860.861;-731.648.867
587059;OSORNO;rvergara;-405.867.298;-731.652.564
587482;OSORNO;rvergara;-405.855.391;-731.654.999
589475;OSORNO;rvergara;-405.815.889;-731.650.869
590236;OSORNO;rvergara;-405.853.195;-731.497.039
590328;OSORNO;rvergara;-405.814.088;-731.467.421
750873;OSORNO;rvergara;-405.827.343;-731.605.652
767429;OSORNO;rvergara;-405.753.842;-731.457.206
821938;OSORNO;rvergara;-405.830.995;-731.719.488
883067;OSORNO;rvergara;-405.753.842;-731.457.206
