codigolocal;comuna;merchan;latitud;longitud
931820;COQUIMBO;dduran;-299.593.184;-713.378.877
755712;COQUIMBO;dduran;-299.588.941;-713.412.212
706243;COQUIMBO;dduran;-299.561.187;-713.376.415
525338;COQUIMBO;dduran;-299.585.224;-713.388.409
514011;COQUIMBO;dduran;-299.578.479;-713.407.360
513861;COQUIMBO;dduran;-299.590.499;-713.402.907
511946;COQUIMBO;dduran;-299.598.259;-713.391.518
2284786;COQUIMBO;dduran;-299.611.174;-713.373.484
2250553;COQUIMBO;dduran;-299.568.678;-713.399.232
2217586;COQUIMBO;dduran;-299.561.187;-713.376.415
1937377;COQUIMBO;dduran;-299.581.760;-713.390.033
1600813;COQUIMBO;dduran;-299.591.467;-713.399.046
1458555;COQUIMBO;dduran;-299.595.447;-713.367.475
1338221;COQUIMBO;dduran;-299.590.009;-713.389.183
795417;COQUIMBO;dduran;-299.709.132;-713.388.641
552605;COQUIMBO;dduran;-299.704.324;-713.459.528
525974;COQUIMBO;dduran;-299.701.636;-713.396.959
520085;COQUIMBO;dduran;-299.605.576;-713.415.820
519476;COQUIMBO;dduran;-299.627.243;-713.309.612
517893;COQUIMBO;dduran;-299.624.154;-713.475.395
517174;COQUIMBO;dduran;-299.629.020;-713.464.819
516883;COQUIMBO;dduran;-299.744.331;-713.359.992
512665;COQUIMBO;dduran;-299.634.174;-713.305.734
511389;COQUIMBO;dduran;-299.634.125;-713.428.872
2326122;COQUIMBO;dduran;-299.686.793;-713.408.189
2308447;COQUIMBO;dduran;-299.681.855;-713.298.499
2290496;COQUIMBO;dduran;-299.649.551;-713.432.567
2286976;COQUIMBO;dduran;-299.695.401;-713.454.111
2286833;COQUIMBO;dduran;-299.672.432;-713.249.505
2248490;COQUIMBO;dduran;-299.641.210;-713.291.096
2242417;COQUIMBO;dduran;-299.706.676;-713.447.799
2229153;COQUIMBO;dduran;-299.626.752;-713.423.151
2216635;COQUIMBO;dduran;-299.611.805;-713.435.953
2207929;COQUIMBO;dduran;-299.747.259;-713.379.722
2206084;COQUIMBO;dduran;-299.756.418;-713.405.343
2004050;COQUIMBO;dduran;-299.672.625;-713.461.531
1934589;COQUIMBO;dduran;-299.672.432;-713.249.505
1800473;COQUIMBO;dduran;-299.679.433;-713.400.598
1362988;COQUIMBO;dduran;-299.724.151;-713.331.807
1362784;COQUIMBO;dduran;-299.682.432;-713.418.217
1360245;COQUIMBO;dduran;-299.760.896;-713.395.020
929442;COQUIMBO;dduran;-299.610.292;-712.480.827
887221;COQUIMBO;dduran;-299.595.941;-712.477.329
842349;COQUIMBO;dduran;-299.584.181;-712.514.890
545203;COQUIMBO;dduran;-299.558.355;-712.499.296
520462;COQUIMBO;dduran;-299.597.693;-712.470.618
515779;COQUIMBO;dduran;-299.620.150;-712.510.977
514495;COQUIMBO;dduran;-299.614.971;-712.523.056
2224770;COQUIMBO;dduran;-299.600.380;-712.469.284
2214697;COQUIMBO;dduran;-299.551.582;-712.468.592
2172933;COQUIMBO;dduran;-299.557.332;-712.460.372
2121071;COQUIMBO;dduran;-299.600.313;-712.519.576
2070000;COQUIMBO;dduran;-299.561.628;-712.486.617
1954493;COQUIMBO;dduran;-299.592.181;-712.481.987
1938463;COQUIMBO;dduran;-299.642.527;-712.412.481
1857975;COQUIMBO;dduran;-299.604.212;-712.459.124
1774979;COQUIMBO;dduran;-299.564.475;-712.499.761
1732969;VICUÑA;dduran;-299.616.033;-712.484.598
1667699;COQUIMBO;dduran;-299.564.105;-712.477.190
1649684;COQUIMBO;dduran;-299.626.654;-712.439.782
1428956;COQUIMBO;dduran;-299.569.377;-712.490.317
1356985;COQUIMBO;dduran;-299.583.340;-712.451.791
1354892;COQUIMBO;dduran;-299.604.300;-712.500.781
996707;COQUIMBO;dduran;-299.567.073;-712.602.770
872168;COQUIMBO;dduran;-299.536.840;-712.623.969
592669;COQUIMBO;dduran;-299.564.058;-712.585.560
521934;COQUIMBO;dduran;-299.588.901;-712.557.096
521659;COQUIMBO;dduran;-299.623.933;-712.592.874
520258;COQUIMBO;dduran;-299.633.924;-712.620.793
515834;COQUIMBO;dduran;-299.588.426;-712.629.301
512914;COQUIMBO;dduran;-299.632.374;-712.623.975
511656;COQUIMBO;dduran;-299.626.120;-712.551.189
2302244;LA SERENA;dduran;-299.594.576;-712.627.344
2278803;COQUIMBO;dduran;-299.594.813;-712.614.810
2223393;COQUIMBO;dduran;-299.620.166;-712.588.728
2121072;COQUIMBO;dduran;-299.613.628;-712.566.493
2117963;LA SERENA;dduran;-299.594.427;-712.650.672
2104697;LA SERENA;dduran;-299.624.200;-712.576.706
2071811;COQUIMBO;dduran;-299.579.038;-712.556.091
2044383;LA SERENA;dduran;-299.599.248;-712.587.538
1864166;COQUIMBO;dduran;-299.563.483;-712.597.750
1694705;COQUIMBO;dduran;-299.586.447;-712.559.393
1661997;COQUIMBO;dduran;-299.580.194;-712.574.900
1466131;COQUIMBO;dduran;-299.579.012;-712.587.306
1423987;COQUIMBO;dduran;-299.601.095;-712.560.148
1371752;COQUIMBO;dduran;-299.570.468;-712.611.479
1302335;COQUIMBO;dduran;-299.622.369;-712.634.644
997889;COQUIMBO;dduran;-299.675.352;-712.564.472
828651;COQUIMBO;dduran;-299.746.653;-712.611.272
694161;LA SERENA;dduran;-299.653.444;-712.582.283
521687;COQUIMBO;dduran;-299.735.279;-712.586.363
521007;COQUIMBO;dduran;-299.724.425;-712.560.760
520598;COQUIMBO;dduran;-299.709.927;-712.594.161
518738;COQUIMBO;dduran;-299.660.968;-712.554.443
514464;COQUIMBO;dduran;-299.648.203;-712.537.344
511380;COQUIMBO;dduran;-299.652.862;-712.621.385
2299617;COQUIMBO;dduran;-299.668.955;-712.625.396
2280303;COQUIMBO;dduran;-299.707.343;-712.585.021
2247889;COQUIMBO;dduran;-299.765.402;-712.625.015
2239229;COQUIMBO;dduran;-299.713.776;-712.555.917
2238899;COQUIMBO;dduran;-299.686.030;-712.551.735
2117262;COQUIMBO;dduran;-299.760.373;-712.574.036
2080966;COQUIMBO;dduran;-299.676.153;-712.599.071
1942364;COQUIMBO;dduran;-299.685.275;-712.566.762
1934060;COQUIMBO;dduran;-299.719.516;-712.760.849
1813278;COQUIMBO;dduran;-299.651.481;-712.554.057
1800522;COQUIMBO;dduran;-299.712.985;-712.538.503
1746600;COQUIMBO;dduran;-299.710.176;-712.585.711
1678945;LA SERENA;dduran;-299.650.300;-712.592.300
1310166;COQUIMBO;dduran;-299.686.113;-712.565.283
891211;COQUIMBO;dduran;-299.799.017;-712.547.457
877297;COQUIMBO;dduran;-299.737.016;-712.530.769
846192;COQUIMBO;dduran;-299.705.921;-712.509.833
781478;COQUIMBO;dduran;-299.673.768;-712.485.899
775699;COQUIMBO;dduran;-299.726.707;-712.511.107
522349;COQUIMBO;dduran;-299.714.262;-712.525.404
522144;COQUIMBO;dduran;-299.717.102;-712.525.253
517244;COQUIMBO;dduran;-299.654.308;-712.504.916
2314414;COQUIMBO;dduran;-299.806.816;-712.435.134
2314171;COQUIMBO;dduran;-299.694.809;-712.462.845
2313965;COQUIMBO;dduran;-299.723.377;-712.395.887
2291818;COQUIMBO;dduran;-299.806.115;-712.446.134
2270683;COQUIMBO;dduran;-299.786.580;-712.563.892
2249442;COQUIMBO;dduran;-299.672.739;-712.431.869
2246445;COQUIMBO;dduran;-299.653.686;-712.463.001
2239228;COQUIMBO;dduran;-299.720.986;-712.486.976
2228429;COQUIMBO;dduran;-299.711.851;-712.463.309
2225238;COQUIMBO;dduran;-299.800.981;-712.431.270
2208982;COQUIMBO;dduran;-299.670.110;-712.437.670
2049995;COQUIMBO;dduran;-299.687.130;-712.521.526
2049383;COQUIMBO;dduran;-299.772.353;-712.437.438
1987660;COQUIMBO;dduran;-299.833.549;-712.513.855
1986458;COQUIMBO;dduran;-299.802.685;-712.541.610
1944406;COQUIMBO;dduran;-299.786.511;-712.566.201
1908773;COQUIMBO;dduran;-299.750.405;-712.526.795
1876249;COQUIMBO;dduran;-299.668.427;-712.525.187
