codigolocal;comuna;merchan;latitud;longitud
1323056;PUERTO MONTT;vortega;-413.828.945;-728.985.844
1324720;PUERTO MONTT;vortega;-413.978.808;-729.041.788
1338865;PUERTO MONTT;vortega;-413.810.108;-729.131.928
1495393;PUERTO MONTT;vortega;-413.925.187;-728.987.492
1498869;PUERTO MONTT;vortega;-413.798.441;-729.147.068
1538961;PUERTO MONTT;vortega;-414.002.565;-729.045.619
1681747;PUERTO MONTT;vortega;-413.958.071;-729.179.600
1697182;PUERTO MONTT;vortega;-414.032.962;-729.145.370
2014210;PUERTO MONTT;vortega;-413.959.773;-729.003.491
2233691;PUERTO MONTT;vortega;-413.921.257;-729.035.223
2246382;PUERTO MONTT;vortega;-414.056.060;-729.164.920
2262348;PUERTO MONTT;vortega;-413.958.118;-729.186.825
2341377;PUERTO MONTT;vortega;-413.836.833;-728.980.385
580661;PUERTO MONTT;vortega;-413.970.015;-729.195.281
581793;PUERTO MONTT;vortega;-413.909.376;-729.002.259
582446;PUERTO MONTT;vortega;-414.012.891;-729.121.444
583275;PUERTO MONTT;vortega;-413.845.392;-729.002.419
583386;PUERTO MONTT;vortega;-413.820.858;-729.000.413
715232;PUERTO MONTT;vortega;-413.904.870;-728.993.500
745123;PUERTO MONTT;vortega;-414.002.161;-729.112.848
761141;PUERTO MONTT;vortega;-414.002.161;-729.112.848
775152;PUERTO MONTT;vortega;-413.860.568;-729.100.430
775156;PUERTO MONTT;vortega;-413.875.510;-729.116.870
838880;PUERTO MONTT;vortega;-414.033.066;-729.166.251
863611;PUERTO MONTT;vortega;-413.975.978;-729.083.988
895877;PUERTO MONTT;vortega;-413.959.821;-729.000.596
998263;PUERTO MONTT;vortega;-414.660.570;-729.922.017
981586;PUERTO MONTT;vortega;-414.658.944;-729.885.913
834034;PUERTO MONTT;vortega;-414.682.437;-729.951.651
829675;PUERTO MONTT;vortega;-414.713.101;-729.989.130
802598;PUERTO MONTT;vortega;-414.642.077;-729.959.521
694235;PUERTO MONTT;vortega;-414.690.890;-729.935.214
687382;PUERTO MONTT;vortega;-414.700.365;-729.966.527
615848;PUERTO MONTT;vortega;-414.624.400;-729.957.810
591715;PUERTO MONTT;vortega;-414.656.470;-729.971.450
581264;PUERTO MONTT;vortega;-414.648.223;-729.808.524
2329090;PUERTO MONTT;vortega;-414.736.267;-730.007.369
2325834;PUERTO MONTT;vortega;-414.702.291;-730.000.563
2302030;PUERTO MONTT;vortega;-414.714.888;-730.015.307
2200537;PUERTO MONTT;vortega;-414.651.171;-729.912.461
2034701;PUERTO MONTT;vortega;-414.639.727;-729.822.138
1963440;PUERTO MONTT;vortega;-414.639.727;-729.822.138
1670296;PUERTO MONTT;vortega;-414.725.472;-730.010.579
1636537;PUERTO MONTT;vortega;-414.655.047;-729.866.313
1491257;PUERTO MONTT;vortega;-414.711.700;-729.996.800
1368924;PUERTO MONTT;vortega;-414.659.330;-729.973.580
1355488;PUERTO MONTT;vortega;-414.674.142;-729.987.746
1334365;PUERTO MONTT;vortega;-414.713.312;-730.017.423
887289;PUERTO MONTT;vortega;-414.643.665;-729.628.029
847152;PUERTO MONTT;vortega;-414.627.709;-729.572.201
801263;PUERTO MONTT;vortega;-414.645.138;-729.648.570
787963;PUERTO MONTT;vortega;-414.667.644;-729.550.497
754385;PUERTO MONTT;vortega;-414.657.488;-729.613.756
704896;PUERTO MONTT;vortega;-414.645.462;-729.587.351
686287;PUERTO MONTT;vortega;-414.640.349;-729.675.231
583162;PUERTO MONTT;vortega;-414.640.269;-729.616.483
582798;PUERTO MONTT;vortega;-414.650.833;-729.616.981
582161;PUERTO MONTT;vortega;-414.642.527;-729.609.465
582156;PUERTO MONTT;vortega;-414.647.839;-729.582.633
581566;PUERTO MONTT;vortega;-414.643.174;-729.668.013
2352930;PUERTO MONTT;vortega;-414.654.693;-729.610.059
2283814;PUERTO MONTT;vortega;-414.598.860;-729.690.832
2271138;PUERTO MONTT;vortega;-414.664.239;-729.600.948
2188211;PUERTO MONTT;vortega;-414.689.017;-729.602.108
2151713;PUERTO MONTT;vortega;-414.639.996;-729.658.492
1969128;PUERTO MONTT;vortega;-414.683.113;-729.686.654
1922932;PUERTO MONTT;vortega;-414.682.212;-729.599.761
1854020;PUERTO MONTT;vortega;-414.612.894;-729.638.882
1760641;PUERTO MONTT;vortega;-414.675.677;-729.594.592
1646866;PUERTO MONTT;vortega;-414.655.891;-729.606.242
1511015;PUERTO MONTT;vortega;-414.640.110;-729.595.515
1397957;PUERTO MONTT;vortega;-414.673.814;-729.556.522
992237;PUERTO MONTT;vortega;-414.802.491;-729.806.092
890089;PUERTO MONTT;vortega;-414.802.466;-729.854.665
869496;PUERTO MONTT;vortega;-414.801.329;-729.973.030
717688;PUERTO MONTT;vortega;-414.768.758;-729.908.529
583662;PUERTO MONTT;vortega;-414.795.144;-729.857.355
582792;PUERTO MONTT;vortega;-414.704.450;-729.808.052
581876;PUERTO MONTT;vortega;-414.761.512;-729.916.357
2393882;PUERTO MONTT;vortega;-414.826.971;-729.911.063
2306340;PUERTO MONTT;vortega;-414.750.130;-729.872.350
2248258;PUERTO MONTT;vortega;-414.839.856;-730.023.225
2230851;PUERTO MONTT;vortega;-414.817.250;-729.934.877
2096501;PUERTO MONTT;vortega;-414.722.692;-729.783.892
2080659;PUERTO MONTT;vortega;-414.793.923;-729.925.358
2059089;PUERTO MONTT;vortega;-414.848.456;-729.978.751
2024481;PUERTO MONTT;vortega;-414.823.305;-729.958.734
1944046;PUERTO MONTT;vortega;-414.729.715;-729.864.583
1941949;PUERTO MONTT;vortega;-414.895.004;-730.035.652
1901656;PUERTO MONTT;vortega;-414.936.249;-730.175.580
1809045;PUERTO MONTT;vortega;-414.810.406;-729.866.313
1700703;PUERTO MONTT;vortega;-414.874.118;-730.013.974
1643358;PUERTO MONTT;vortega;-414.798.542;-729.874.350
1475266;PUERTO MONTT;vortega;-414.879.148;-730.040.462
1468879;PUERTO MONTT;vortega;-414.791.643;-729.815.915
1350625;PUERTO MONTT;vortega;-414.871.445;-730.010.118
1330346;PUERTO MONTT;vortega;-414.794.555;-729.812.211
1377986;PUERTO MONTT;vortega;-414.799.277;-729.723.917
1748547;PUERTO MONTT;vortega;-414.735.582;-729.732.351
1755365;PUERTO MONTT;vortega;-414.782.510;-729.730.802
1942954;PUERTO MONTT;vortega;-414.799.223;-729.721.374
2012636;PUERTO MONTT;vortega;-414.797.170;-729.660.900
2099161;PUERTO MONTT;vortega;-414.892.158;-729.828.128
2219141;PUERTO MONTT;vortega;-414.755.513;-729.731.461
2259691;PUERTO MONTT;vortega;-414.835.118;-729.705.468
2294042;PUERTO MONTT;vortega;-414.766.680;-729.781.521
2449846;PUERTO MONTT;vortega;-414.800.799;-729.682.349
581795;PUERTO MONTT;vortega;-414.764.321;-729.718.759
582037;PUERTO MONTT;vortega;-414.722.348;-729.684.963
582075;PUERTO MONTT;vortega;-414.860.089;-729.755.966
582090;PUERTO MONTT;vortega;-414.855.940;-729.765.980
582647;PUERTO MONTT;vortega;-414.769.300;-729.781.200
582682;PUERTO MONTT;vortega;-414.767.168;-729.803.100
590409;PUERTO MONTT;vortega;-414.800.884;-729.779.241
590690;PUERTO MONTT;vortega;-414.768.357;-729.776.069
708717;PUERTO MONTT;vortega;-414.810.393;-729.787.556
728167;PUERTO MONTT;vortega;-414.687.866;-729.709.120
767367;PUERTO MONTT;vortega;-414.778.708;-729.695.165
810452;PUERTO MONTT;vortega;-414.800.715;-729.792.504
826208;PUERTO MONTT;vortega;-414.765.194;-729.784.315
990627;PUERTO MONTT;vortega;-414.679.390;-729.724.427
992831;PUERTO MONTT;vortega;-414.775.610;-729.684.012
1321027;PUERTO MONTT;vortega;-414.490.942;-729.596.408
1327516;PUERTO MONTT;vortega;-414.476.686;-729.568.479
1330321;PUERTO MONTT;vortega;-414.442.045;-730.375.026
1331056;PUERTO MONTT;vortega;-414.552.653;-729.460.219
1350032;PUERTO MONTT;vortega;-414.597.588;-729.851.928
1388919;PUERTO MONTT;vortega;-414.484.801;-729.597.937
1746034;PUERTO MONTT;vortega;-414.555.222;-729.908.259
1845765;PUERTO MONTT;vortega;-414.598.245;-729.475.618
1902416;PUERTO MONTT;vortega;-414.552.235;-729.486.991
2034319;PUERTO MONTT;vortega;-414.585.654;-729.487.903
2035982;PUERTO MONTT;vortega;-414.577.315;-729.478.941
2153106;PUERTO MONTT;vortega;-414.541.622;-729.589.870
2202166;PUERTO MONTT;vortega;-414.575.252;-729.495.039
2232605;PUERTO MONTT;vortega;-414.586.744;-729.458.540
2313335;PUERTO MONTT;vortega;-414.573.220;-729.541.380
2351619;PUERTO MONTT;vortega;-414.481.050;-729.627.042
2352141;PUERTO MONTT;vortega;-414.498.237;-729.590.094
582249;PUERTO MONTT;vortega;-414.615.054;-729.512.249
582516;PUERTO MONTT;vortega;-414.531.599;-729.613.100
583793;PUERTO MONTT;vortega;-414.563.213;-729.495.978
757884;PUERTO MONTT;vortega;-414.548.614;-729.493.901
787022;PUERTO MONTT;vortega;-414.569.035;-729.912.903
846446;PUERTO MONTT;vortega;-414.499.366;-729.566.911
869405;PUERTO MONTT;vortega;-414.574.277;-729.440.612
895974;PUERTO MONTT;vortega;-414.573.840;-729.885.019
981733;PUERTO MONTT;vortega;-414.542.856;-729.413.501
1310484;PUERTO MONTT;vortega;-414.835.839;-729.619.936
1380020;PUERTO MONTT;vortega;-414.823.791;-729.605.796
1442055;PUERTO MONTT;vortega;-415.278.470;-730.523.360
1601253;PUERTO MONTT;vortega;-415.246.961;-730.628.965
1606313;PUERTO MONTT;vortega;-414.805.653;-729.553.109
1649415;PUERTO MONTT;vortega;-415.302.400;-730.554.929
1678799;PUERTO MONTT;vortega;-414.805.321;-729.553.100
