codigolocal;comuna;merchan;latitud;longitud
1307976;LOS CARRERAS 602, OSORNO;rvergara;-405.714.911;-731.393.230
2043377;OSORNO;rvergara;-405.487.736;-731.584.935
2094726;OSORNO;rvergara;-405.546.317;-731.583.173
2181240;OSORNO;rvergara;-405.530.963;-731.520.389
2233420;LOS LAURELES 1587, OSORNO;rvergara;-405.553.095;-731.579.944
2237278;GUILLERMO FRANCKE 20, OSORNO;rvergara;-405.705.914;-731.455.852
2253966;OSORNO;rvergara;-405.572.221;-731.549.035
2286047;LOS DAMASCOS 272, OSORNO;rvergara;-405.555.508;-731.571.719
2318817;OSORNO;rvergara;-405.731.155;-731.375.233
2326536;BULNES 575-C, OSORNO;rvergara;-405.726.578;-731.386.977
586652;HERIBERTO SCHEUCH 1855, OSORNO;rvergara;-405.513.390;-731.543.766
587287;LOS PLATANOS 302, OSORNO;rvergara;-405.516.222;-731.601.988
587405;LOS LAURELES 1367, OSORNO;rvergara;-405.569.599;-731.569.721
587455;OSORNO;rvergara;-405.536.765;-731.517.635
587705;GUILLERMO FRANCKE 220, OSORNO;rvergara;-405.678.286;-731.472.564
588081;OSORNO;rvergara;-405.514.977;-731.606.746
588460;OSORNO;rvergara;-405.550.345;-731.581.295
588713;ERIBERTO SCHEUCH 1680, OSORNO;rvergara;-405.522.843;-731.533.653
590031;OSORNO;rvergara;-405.644.135;-731.517.751
599409;LOS LAURELES 2223, OSORNO;rvergara;-405.498.754;-731.616.691
615950;OSORNO;rvergara;-405.605.740;-731.535.320
859364;OSORNO;rvergara;-405.505.215;-731.594.180
880806;RAMIREZ 602, OSORNO;rvergara;-405.727.600;-731.401.000
924946;OSORNO;rvergara;-405.514.020;-731.573.891
991235;PAIPOTE 84, OSORNO;rvergara;-405.639.355;-731.510.062
997306;OSORNO;rvergara;-405.919.071;-731.743.383
927711;OSORNO;rvergara;-405.614.153;-731.743.565
875473;OSORNO;rvergara;-405.559.901;-731.701.438
777762;OSORNO;rvergara;-405.548.699;-731.709.139
771200;OSORNO;rvergara;-405.516.657;-731.696.880
726030;OSORNO;rvergara;-405.582.267;-731.661.500
723222;OSORNO;rvergara;-405.625.625;-731.776.223
691498;OSORNO;rvergara;-405.619.779;-731.814.285
689512;OSORNO;rvergara;-405.577.640;-731.768.745
684622;OSORNO;rvergara;-405.596.580;-731.802.577
589815;OSORNO;rvergara;-405.577.956;-731.787.400
589670;OSORNO;rvergara;-405.606.959;-731.685.536
589231;OSORNO;rvergara;-405.611.292;-731.719.304
586734;OSORNO;rvergara;-405.903.073;-731.780.314
2335149;OSORNO;rvergara;-405.567.347;-731.667.000
2271648;OSORNO;rvergara;-405.592.893;-731.647.624
2270179;OSORNO;rvergara;-405.590.682;-731.805.376
2196944;OSORNO;rvergara;-405.611.911;-731.722.932
2075486;OSORNO;rvergara;-405.630.750;-731.815.260
1951428;OSORNO;rvergara;-405.620.273;-731.784.051
