codigolocal;comuna;merchan;latitud;longitud
934320;COPIAPO;fperez;-273.874.320;-703.270.208
851545;COPIAPO;fperez;-273.854.989;-703.305.241
784928;COPIAPO;fperez;-273.853.113;-703.304.135
730107;COPIAPO;fperez;-273.895.254;-703.238.517
715057;COPIAPO;fperez;-273.848.295;-703.330.886
713702;COPIAPO;fperez;-273.907.633;-703.223.858
592504;COPIAPO;fperez;-273.809.533;-703.302.755
504926;COPIAPO;fperez;-273.853.700;-703.307.200
504522;COPIAPO;fperez;-273.841.300;-703.322.800
504521;COPIAPO;fperez;-273.844.043;-703.278.498
504104;COPIAPO;fperez;-273.896.223;-703.249.792
503788;COPIAPO;fperez;-273.875.188;-703.315.656
503440;COPIAPO;fperez;-273.863.540;-703.299.490
2437263;COPIAPO;fperez;-273.861.919;-703.335.233
2293898;COPIAPO;fperez;-273.620.371;-703.066.882
2287437;COPIAPO;fperez;-273.847.813;-703.346.016
2152043;COPIAPO;fperez;-273.870.668;-703.305.067
2092423;COPIAPO;fperez;-273.872.120;-703.248.985
2066993;COPIAPO;fperez;-273.864.269;-703.322.980
1954281;COPIAPO;fperez;-273.915.814;-703.252.754
1599816;COPIAPO;fperez;-273.854.000;-703.306.900
1332040;COPIAPO;fperez;-273.895.500;-703.250.599
2268418;COPIAPO;fperez;-273.970.663;-703.429.696
1323509;COPIAPO;fperez;-273.705.569;-703.062.893
1356647;COPIAPO;fperez;-273.624.897;-703.088.700
1360113;COPIAPO;fperez;-273.733.685;-703.117.031
1383727;COPIAPO;fperez;-273.725.530;-703.080.632
1422313;COPIAPO;fperez;-273.632.055;-703.086.828
1449324;COPIAPO;fperez;-273.693.830;-703.107.944
1917595;COPIAPO;fperez;-273.718.736;-703.083.446
1960143;COPIAPO;fperez;-273.671.565;-703.128.427
2232217;COPIAPO;fperez;-273.640.278;-703.074.746
2247053;COPIAPO;fperez;-273.654.024;-703.093.463
2329920;COPIAPO;fperez;-273.673.777;-703.104.231
2448081;COPIAPO;fperez;-273.745.874;-703.047.926
503424;COPIAPO;fperez;-273.716.366;-703.078.349
503752;COPIAPO;fperez;-273.626.749;-703.068.112
