codigolocal;comuna;merchan;latitud;longitud
834076;LOS ANGELES;mcarvajal;-374.602.206;-723.707.506
748597;LOS ANGELES;mcarvajal;-374.591.000;-723.666.600
700437;LOS ANGELES;mcarvajal;-374.383.326;-723.200.280
557440;LOS ANGELES;mcarvajal;-374.521.568;-723.393.622
556503;LOS ANGELES;mcarvajal;-374.574.466;-723.498.664
554525;LOS ANGELES;mcarvajal;-374.608.792;-723.691.890
553828;LOS ANGELES;mcarvajal;-374.531.362;-723.406.640
2339406;LOS ANGELES;mcarvajal;-374.593.157;-723.665.144
2320155;LOS ANGELES;mcarvajal;-374.579.668;-723.643.291
2259449;LOS ANGELES;mcarvajal;-374.386.527;-723.181.509
2235246;LOS ANGELES;mcarvajal;-374.539.650;-723.486.493
2227424;LOS ANGELES;mcarvajal;-374.507.741;-723.512.969
2219241;LOS ANGELES;mcarvajal;-374.606.116;-723.682.390
1963931;LOS ANGELES;mcarvajal;-374.462.637;-723.339.627
1758317;LOS ANGELES;mcarvajal;-374.440.615;-723.332.983
1747607;LOS ANGELES;mcarvajal;-374.606.009;-723.658.380
1678128;LOS ANGELES;mcarvajal;-374.371.679;-723.219.862
1660112;LOS ANGELES;mcarvajal;-374.608.211;-723.618.438
1319503;LOS ANGELES;mcarvajal;-374.602.206;-723.707.506
1302011;LOS ANGELES;mcarvajal;-374.575.543;-723.745.158
920883;LOS ANGELES;mcarvajal;-374.726.023;-723.481.714
901401;LOS ANGELES;mcarvajal;-374.658.938;-723.638.322
884192;LOS ANGELES;mcarvajal;-374.732.920;-723.616.844
855225;LOS ANGELES;mcarvajal;-374.737.852;-723.405.824
846300;LOS ANGELES;mcarvajal;-374.729.222;-723.451.092
838245;LOS ANGELES;mcarvajal;-374.655.742;-723.569.662
744876;LOS ANGELES;mcarvajal;-374.667.138;-723.624.897
557639;LOS ANGELES;mcarvajal;-374.734.806;-723.466.793
557567;LOS ANGELES;mcarvajal;-374.691.597;-723.519.182
556967;LOS ANGELES;mcarvajal;-374.539.375;-723.380.734
555493;LOS ANGELES;mcarvajal;-374.505.640;-723.314.009
555266;LOS ANGELES;mcarvajal;-374.545.018;-723.371.504
2251949;LOS ANGELES;mcarvajal;-374.684.896;-723.385.719
2065933;LOS ANGELES;mcarvajal;-374.710.195;-723.526.180
1872494;LOS ANGELES;mcarvajal;-374.669.305;-723.425.217
1855494;LOS ANGELES;mcarvajal;-374.560.500;-723.392.900
1702102;LOS ANGELES;mcarvajal;-374.736.431;-723.610.939
1681944;LOS ANGELES;mcarvajal;-374.618.700;-723.411.000
1604227;LOS ANGELES;mcarvajal;-374.658.628;-723.248.383
1469580;LOS ANGELES;mcarvajal;-374.635.721;-723.541.081
1383648;LOS ANGELES;mcarvajal;-374.650.149;-723.597.512
1357585;LOS ANGELES;mcarvajal;-374.744.709;-723.336.798
1334213;NEGRETE;mcarvajal;-375.590.867;-725.950.770
1357754;NACIMIENTO;mcarvajal;-374.979.543;-726.841.275
1459657;NACIMIENTO;mcarvajal;-374.887.832;-726.881.511
1492168;NACIMIENTO;mcarvajal;-375.031.942;-726.585.270
1568931;LUMACO;mcarvajal;-375.886.657;-725.232.598
1803779;LOS ANGELES;mcarvajal;-375.109.964;-725.206.421
2240142;NACIMIENTO;mcarvajal;-375.010.758;-726.840.951
2261126;NACIMIENTO;mcarvajal;-375.077.992;-726.612.504
2276361;NEGRETE;mcarvajal;-375.839.888;-725.288.756
2281325;NACIMIENTO;mcarvajal;-375.025.186;-726.707.612
