codigolocal;comuna;merchan;latitud;longitud
935552;IQUIQUE;epalacios;-202.647.140;-701.229.040
706689;IQUIQUE;epalacios;-202.796.933;-701.246.259
615473;IQUIQUE;epalacios;-202.543.166;-701.260.602
508829;IQUIQUE;epalacios;-202.623.387;-701.247.887
507303;IQUIQUE;epalacios;-202.579.955;-701.255.751
507259;IQUIQUE;epalacios;-202.467.234;-701.257.423
2328285;ALTO HOSPICIO;epalacios;-202.601.488;-701.265.051
2326774;IQUIQUE;epalacios;-202.581.137;-701.250.866
2283013;IQUIQUE;epalacios;-202.490.712;-701.277.235
2236125;IQUIQUE;epalacios;-202.563.286;-701.272.897
2026402;IQUIQUE;epalacios;-202.633.026;-701.278.819
1644615;IQUIQUE;epalacios;-202.623.387;-701.247.887
1492074;IQUIQUE;epalacios;-202.623.387;-701.247.887
1372836;IQUIQUE;epalacios;-202450507;-701262733
1357060;IQUIQUE;epalacios;-202603600;-701264900
1331863;ALTO HOSPICIO;epalacios;-202601225;-700953268
1356170;ALTO HOSPICIO;epalacios;-202465861;-700988145
1368979;ALTO HOSPICIO;epalacios;-202494259;-701008346
1375386;ALTO HOSPICIO;epalacios;-202595035;-700742671
1460922;ALTO HOSPICIO;epalacios;-202515580;-701033856
1461698;ALTO HOSPICIO;epalacios;-202510517;-701086398
1539220;ALTO HOSPICIO;epalacios;-202576059;-701052607
1655693;ALTO HOSPICIO;epalacios;-202320384;-700334336
1759588;ALTO HOSPICIO;epalacios;-202612897;-700957963
1841214;ALTO HOSPICIO;epalacios;-202446970;-700938565
1866209;ALTO HOSPICIO;epalacios;-202589041;-700853990
2002203;ALTO HOSPICIO;epalacios;-202613222;-700951348
2035654;ALTO HOSPICIO;epalacios;-202569210;-701057058
2041049;ALTO HOSPICIO;epalacios;-202566218;-701059937
2092025;ALTO HOSPICIO;epalacios;-202564465;-701077981
2139817;ALTO HOSPICIO;epalacios;-202467618;-700996183
2214079;ALTO HOSPICIO;epalacios;-202603866;-700952699
2216841;ALTO HOSPICIO;epalacios;-202463626;-700956425
2226647;ALTO HOSPICIO;epalacios;-202575391;-701000406
2236805;ALTO HOSPICIO;epalacios;-202600670;-700979839
2286911;ALTO HOSPICIO;epalacios;-202451303;-700968517
2301402;ALTO HOSPICIO;epalacios;-202461882;-700962985
2306123;ALTO HOSPICIO;epalacios;-202509493;-701087625
2427228;ALTO HOSPICIO;epalacios;-202457909;-700937995
815437;IQUIQUE;epalacios;-202505110;-701074430
869209;ALTO HOSPICIO;epalacios;-202597365;-701007009
1300692;ALTO HOSPICIO;epalacios;-202699046;-701076826
1304916;ALTO HOSPICIO;epalacios;-202645458;-701050439
1317176;ALTO HOSPICIO;epalacios;-202670851;-701046047
1421497;ALTO HOSPICIO;epalacios;-202666984;-701070755
1570506;ALTO HOSPICIO;epalacios;-202727805;-701014183
1629114;ALTO HOSPICIO;epalacios;-202638542;-701013448
1658274;ALTO HOSPICIO;epalacios;-202734060;-700998768
1665555;ALTO HOSPICIO;epalacios;-202703797;-701087035
1685202;ALTO HOSPICIO;epalacios;-202703048;-700974336
1693263;ALTO HOSPICIO;epalacios;-202689486;-701070721
1731563;ALTO HOSPICIO;epalacios;-202723507;-701025776
1858715;ALTO HOSPICIO;epalacios;-202714671;-701045706
1989343;ALTO HOSPICIO;epalacios;-202706138;-701071775
2237527;ALTO HOSPICIO;epalacios;-202738447;-700988212
2271182;ALTO HOSPICIO;epalacios;-202664442;-701082253
2280607;ALTO HOSPICIO;epalacios;-202706542;-701007139
2280609;ALTO HOSPICIO;epalacios;-202716006;-700955775
2320716;ALTO HOSPICIO;epalacios;-202666691;-701044436
2324363;ALTO HOSPICIO;epalacios;-202693645;-701076053
720875;IQUIQUE;epalacios;-202692339;-701056040
729403;IQUIQUE;epalacios;-202739703;-700985654
748909;IQUIQUE;epalacios;-202739956;-700984026
781343;IQUIQUE;epalacios;-202698832;-701000561
860362;ALTO HOSPICIO;epalacios;-202705227;-700982933
929465;ALTO HOSPICIO;epalacios;-202639905;-701042055
1373996;ALTO HOSPICIO;epalacios;-202730851;-700918816
1398307;ALTO HOSPICIO;epalacios;-202818862;-700782759
1433681;ALTO HOSPICIO;epalacios;-202714519;-700879295
1471947;ALTO HOSPICIO;epalacios;-202885751;-700840983
1744955;ALTO HOSPICIO;epalacios;-202938151;-701020361
1901827;ALTO HOSPICIO;epalacios;-202888229;-700917719
2154140;ALTO HOSPICIO;epalacios;-202670726;-700952081
2180386;ALTO HOSPICIO;epalacios;-202779137;-700819785
2206685;ALTO HOSPICIO;epalacios;-202760448;-700917704
2207488;ALTO HOSPICIO;epalacios;-202949803;-700980760
2210243;ALTO HOSPICIO;epalacios;-202943484;-701034744
2219338;ALTO HOSPICIO;epalacios;-202803997;-700828714
2245158;ALTO HOSPICIO;epalacios;-202948677;-700970528
2260836;ALTO HOSPICIO;epalacios;-202794329;-700921577
2298177;ALTO HOSPICIO;epalacios;-202770130;-700896774
2298765;ALTO HOSPICIO;epalacios;-202680266;-700961000
2303290;ALTO HOSPICIO;epalacios;-202919367;-700951489
2311767;ALTO HOSPICIO;epalacios;-202846670;-700963603
2316696;ALTO HOSPICIO;epalacios;-202799877;-700940743
2325516;ALTO HOSPICIO;epalacios;-202723276;-700922863
2325518;ALTO HOSPICIO;epalacios;-202908722;-701005462
508046;IQUIQUE;epalacios;-202786558;-700930699
832106;IQUIQUE;epalacios;-202849824;-700950271
902220;ALTO HOSPICIO;epalacios;-202784024;-700942737
919082;ALTO HOSPICIO;epalacios;-202822580;-700864806
1319198;ALTO HOSPICIO;epalacios;-202952706;-701087359
1342663;ALTO HOSPICIO;epalacios;-202969312;-701085316
1349577;ALTO HOSPICIO;epalacios;-202942019;-701057474
1369541;ALTO HOSPICIO;epalacios;-202964388;-701097115
1656302;ALTO HOSPICIO;epalacios;-202849719;-701001683
1659280;ALTO HOSPICIO;epalacios;-202898927;-701038472
1692715;ALTO HOSPICIO;epalacios;-202958635;-701087279
1749533;ALTO HOSPICIO;epalacios;-202895536;-701065316
1811379;ALTO HOSPICIO;epalacios;-203009173;-701110046
1902462;ALTO HOSPICIO;epalacios;-202939170;-701062639
1936162;ALTO HOSPICIO;epalacios;-202939745;-701082641
1937456;ALTO HOSPICIO;epalacios;-202947140;-701062887
2172889;ALTO HOSPICIO;epalacios;-202988956;-701078338
2183355;ALTO HOSPICIO;epalacios;-202913771;-701043709
2196026;ALTO HOSPICIO;epalacios;-202891995;-701038837
2199045;ALTO HOSPICIO;epalacios;-202864361;-701030420
2254711;ALTO HOSPICIO;epalacios;-202999244;-701094831
2265650;ALTO HOSPICIO;epalacios;-202845823;-701020685
2275130;ALTO HOSPICIO;epalacios;-202973240;-701065779
2276288;ALTO HOSPICIO;epalacios;-202997365;-701080572
2278613;ALTO HOSPICIO;epalacios;-202991484;-701078623
2280797;ALTO HOSPICIO;epalacios;-202924128;-701066831
2283098;ALTO HOSPICIO;epalacios;-202918393;-701070467
2306262;ALTO HOSPICIO;epalacios;-202960670;-701052351
2323265;ALTO HOSPICIO;epalacios;-202897730;-701051971
885886;ALTO HOSPICIO;epalacios;-202853271;-701037343
1367227;ALTO HOSPICIO;epalacios;-202820687;-701008160
1376174;ALTO HOSPICIO;epalacios;-202746470;-701089502
1431581;ALTO HOSPICIO;epalacios;-202743380;-701069849
1442341;ALTO HOSPICIO;epalacios;-202755955;-701017855
1667857;ALTO HOSPICIO;epalacios;-202779481;-701068066
1922565;IQUIQUE;epalacios;-202470364;-701325799
2244822;IQUIQUE;epalacios;-202529611;-701287904
2274590;ALTO HOSPICIO;epalacios;-202790339;-701059673
2286912;ALTO HOSPICIO;epalacios;-202783829;-701049116
2307324;ALTO HOSPICIO;epalacios;-202750964;-701061082
775946;IQUIQUE;epalacios;-202776413;-701048851
782162;IQUIQUE;epalacios;-202451184;-701341498
785669;IQUIQUE;epalacios;-202459825;-701297510
847648;ALTO HOSPICIO;epalacios;-202758176;-701082176
927789;IQUIQUE;epalacios;-202444718;-701357875
995914;ALTO HOSPICIO;epalacios;-202762052;-701061183
2285610;ALTO HOSPICIO;epalacios;-202959820;-701050573
2219329;ALTO HOSPICIO;epalacios;-202689189;-700990252
2319737;ALTO HOSPICIO;epalacios;-202716205;-701034490
2226596;ALTO HOSPICIO;epalacios;-202737410;-700992632
2147168;ALTO HOSPICIO;epalacios;-202788006;-700843276
2289295;ALTO HOSPICIO;epalacios;-202785084;-700835519
2328656;ALTO HOSPICIO;epalacios;-202795492;-700846710
2292221;ALTO HOSPICIO;epalacios;-202804929;-700787513
