codigolocal;comuna;merchan;latitud;longitud
1356722;CAUQUENES;sfuenzalida;-359511588;-723403718
1704385;CAUQUENES;sfuenzalida;-359540345;-723364489
1717048;CAUQUENES;sfuenzalida;-359604043;-723348707
2055658;CAUQUENES;sfuenzalida;-359480161;-723469709
2059048;CAUQUENES;sfuenzalida;-359617077;-723365747
2127073;CAUQUENES;sfuenzalida;-359527073;-723486395
2212294;CAUQUENES;sfuenzalida;-359555542;-723346474
2295694;CAUQUENES;sfuenzalida;-359531203;-723326232
546463;CAUQUENES;sfuenzalida;-359510901;-723471521
547287;CAUQUENES;sfuenzalida;-359621320;-723358089
547466;CAUQUENES;sfuenzalida;-359517947;-723487911
547911;CAUQUENES;sfuenzalida;-359549189;-723335010
547938;CAUQUENES;sfuenzalida;-359572021;-723376382
548038;CAUQUENES;sfuenzalida;-359521077;-723502901
548368;CAUQUENES;sfuenzalida;-359498043;-723394610
548433;CAUQUENES;sfuenzalida;-359588258;-723335137
548859;CAUQUENES;sfuenzalida;-359632838;-723341198
549172;CAUQUENES;sfuenzalida;-359585354;-723352523
693431;CAUQUENES;sfuenzalida;-359553827;-723416112
727685;CAUQUENES;sfuenzalida;-359595521;-723362827
751499;CAUQUENES;sfuenzalida;-359543014;-723457800
787818;CAUQUENES;sfuenzalida;-359550730;-723418627
833663;CAUQUENES;sfuenzalida;-359533008;-723451950
920933;CAUQUENES;sfuenzalida;-359536228;-723507930
992616;CAUQUENES;sfuenzalida;-359596401;-723364643
548812;COIHUECO;sfuenzalida;-366283325;-718325898
548377;COIHUECO;sfuenzalida;-366224491;-718311390
548311;COIHUECO;sfuenzalida;-366280761;-718356684
1934713;COIHUECO;sfuenzalida;-366283325;-718325898
1920836;COIHUECO;sfuenzalida;-366232239;-718284575
1418132;COIHUECO;sfuenzalida;-366270623;-718304342
981185;SAN CARLOS;sfuenzalida;-364181549;-719747960
904515;SAN CARLOS;sfuenzalida;-364173081;-719744454
753200;SAN CARLOS;sfuenzalida;-364172032;-719718324
713899;SAN CARLOS;sfuenzalida;-363582831;-719286739
548243;SAN CARLOS;sfuenzalida;-364183608;-719662608
547751;SAN CARLOS;sfuenzalida;-364259693;-719689423
547685;SAN CARLOS;sfuenzalida;-364259693;-719689423
2426048;SAN CARLOS;sfuenzalida;-364259693;-719689423
2312078;SAN CARLOS;sfuenzalida;-364186089;-719686551
2289909;SAN CARLOS;sfuenzalida;-364259693;-719689423
2083165;SAN CARLOS;sfuenzalida;-364259693;-719689423
2064519;SAN CARLOS;sfuenzalida;-364259693;-719689423
1655038;SAN CARLOS;sfuenzalida;-364183428;-719665927
1441628;SAN CARLOS;sfuenzalida;-364174562;-719710207
1395680;SAN CARLOS;sfuenzalida;-364188399;-719718324
722924;SAN CARLOS;sfuenzalida;-364165080;-719577621
685543;SAN CARLOS;sfuenzalida;-364191737;-719556097
549589;SAN CARLOS;sfuenzalida;-364180729;-719518479
548899;SAN CARLOS;sfuenzalida;-364185243;-719600704
547988;SAN CARLOS;sfuenzalida;-364182282;-719515959
547839;SAN CARLOS;sfuenzalida;-364195669;-719627115
547769;SAN CARLOS;sfuenzalida;-364183721;-719619932
546909;SAN CARLOS;sfuenzalida;-364224979;-719501139
546050;SAN CARLOS;sfuenzalida;-364169632;-719548946
2271978;SAN CARLOS;sfuenzalida;-364226359;-719499696
2262669;SAN CARLOS;sfuenzalida;-364119023;-719504497
2260850;SAN CARLOS;sfuenzalida;-364187266;-719533492
2258050;SAN CARLOS;sfuenzalida;-364313300;-719393930
2212748;SAN CARLOS;sfuenzalida;-364206231;-719556132
2187345;SAN CARLOS;sfuenzalida;-364246948;-719606145
2109922;SAN CARLOS;sfuenzalida;-364251876;-719526049
2102978;SAN CARLOS;sfuenzalida;-364264154;-719610892
1991657;SAN CARLOS;sfuenzalida;-364163213;-719472763
1953219;SAN CARLOS;sfuenzalida;-364295798;-719423410
1840743;SAN CARLOS;sfuenzalida;-364177949;-719498243
