codigolocal;comuna;merchan;latitud;longitud
2099677;LA FLORIDA;CIGUTIERREZ;-335137448;-705964671
639404;LA FLORIDA;CIGUTIERREZ;-335138339;-705954355
1501109;LA FLORIDA;CIGUTIERREZ;-335153509;-706073715
2311577;LA FLORIDA;CIGUTIERREZ;-335155109;-706038520
2084622;LA FLORIDA;CIGUTIERREZ;-335158244;-706081718
886097;LA FLORIDA;CIGUTIERREZ;-335162637;-705793410
645574;LA FLORIDA;CIGUTIERREZ;-335177841;-705791615
776436;LA FLORIDA;CIGUTIERREZ;-335202553;-705591899
2055590;LA FLORIDA;CIGUTIERREZ;-335206635;-706360626
643169;LA FLORIDA;CIGUTIERREZ;-335249596;-706184090
1668464;LA FLORIDA;CIGUTIERREZ;-335298032;-706274568
2398637;LA FLORIDA;CIGUTIERREZ;-335305936;-706297536
2385862;LA FLORIDA;CIGUTIERREZ;-335307883;-706307546
2297043;LA FLORIDA;CIGUTIERREZ;-335341490;-706078931
2404078;LA FLORIDA;CIGUTIERREZ;-335342503;-706207331
662120;LA FLORIDA;CIGUTIERREZ;-335384304;-706276546
2336200;LA FLORIDA;CIGUTIERREZ;-335399466;-706137745
645931;LA FLORIDA;CIGUTIERREZ;-335391883;-706007558
807251;LA FLORIDA;CIGUTIERREZ;-335394215;-705992198
2402371;LA FLORIDA;CIGUTIERREZ;-335396458;-705978613
2379130;LA FLORIDA;CIGUTIERREZ;-335422456;-706037622
652074;LA FLORIDA;CIGUTIERREZ;-335437066;-705820440
2149217;LA FLORIDA;CIGUTIERREZ;-335431284;-705949007
683811;LA FLORIDA;CIGUTIERREZ;-335451560;-706328300
1890575;LA FLORIDA;CIGUTIERREZ;-335454622;-706298493
2389876;LA FLORIDA;CIGUTIERREZ;-335458862;-705980505
2305455;LA FLORIDA;CIGUTIERREZ;-335556543;-706207297
646872;LA FLORIDA;CIGUTIERREZ;-335560882;-706238315
646627;LA FLORIDA;CIGUTIERREZ;-335590750;-706047340
648641;LA FLORIDA;CIGUTIERREZ;-335855631;-706286842
1332870;LA FLORIDA;CIGUTIERREZ;-335603430;-706055410
649600;LA FLORIDA;CIGUTIERREZ;-335609850;-705874600
716901;LA FLORIDA;CIGUTIERREZ;-335855631;-706286842
2303675;LA FLORIDA;CIGUTIERREZ;-335609373;-706106042
2340369;LA FLORIDA;CIGUTIERREZ;-335618540;-705966410
671309;LA FLORIDA;CIGUTIERREZ;-335450822;-706035544
1310036;LA FLORIDA;CIGUTIERREZ;-335681209;-705844580
1507176;LA FLORIDA;CIGUTIERREZ;-335530100;-705890453
834642;LA FLORIDA;CIGUTIERREZ;-335795000;-705863000
2302659;LA FLORIDA;CIGUTIERREZ;-335797650;-706034930
2045590;LA FLORIDA;CIGUTIERREZ;-335808363;-706377171
1449055;LA FLORIDA;CIGUTIERREZ;-335820777;-706381117
2192841;LA FLORIDA;CIGUTIERREZ;-336070145;-705923698
2287729;LA FLORIDA;CIGUTIERREZ;-336109340;-705818180
687594;LA FLORIDA;CIGUTIERREZ;-336110720;-705988478
2268667;LA FLORIDA;CIGUTIERREZ;-336118114;-705877983
2012188;LA FLORIDA;CIGUTIERREZ;-336120622;-705407178
851009;LA FLORIDA;CIGUTIERREZ;-335797294;-705746657
2406769;LA FLORIDA;CIGUTIERREZ;-336278297;-706014371
2131694;LA FLORIDA;CIGUTIERREZ;-336251312;-705938296
1302117;MAIPU;CIGUTIERREZ;-337116399;-707409663
988038;MAIPU;CIGUTIERREZ;-337364015;-707369654
2363573;LA FLORIDA;CIGUTIERREZ;-335226882;-705987142
832884;LA FLORIDA;CIGUTIERREZ;-335698230;-705588360
1637884;LA FLORIDA;CIGUTIERREZ;-335700030;-705559260
693534;LA FLORIDA;CIGUTIERREZ;-335771570;-705811390
1349013;MAIPU;CIGUTIERREZ;-338081235;-707363682
2166149;LA FLORIDA;CIGUTIERREZ;-335598231;-706531687
668796;LA FLORIDA;CIGUTIERREZ;-335625268;-706417588
670214;LA FLORIDA;CIGUTIERREZ;-335621928;-706381622
1706800;LA FLORIDA;CIGUTIERREZ;-336210646;-706255451
708532;LA FLORIDA;CIGUTIERREZ;-336272249;-705934548
1935647;LA FLORIDA;CIGUTIERREZ;-336300602;-706207255
662640;LA FLORIDA;CIGUTIERREZ;-336301186;-705886825
2230294;LA FLORIDA;CIGUTIERREZ;-335113687;-706087467
1733317;LA FLORIDA;CIGUTIERREZ;-335167930;-706050668
666579;LA FLORIDA;CIGUTIERREZ;-335176942;-705792248
2045507;LA FLORIDA;CIGUTIERREZ;-335175788;-706045542
1498775;LA FLORIDA;CIGUTIERREZ;-335201631;-706306345
1923589;LA FLORIDA;CIGUTIERREZ;-335233614;-706308324
2224760;LA FLORIDA;CIGUTIERREZ;-335234542;-706316714
1749407;LA FLORIDA;CIGUTIERREZ;-335312380;-706149012
1992350;LA FLORIDA;CIGUTIERREZ;-335328777;-706035993
2327668;LA FLORIDA;CIGUTIERREZ;-335328253;-706031014
2301685;LA FLORIDA;CIGUTIERREZ;-335356505;-706031801
1655523;LA FLORIDA;CIGUTIERREZ;-335377804;-706142090
639519;LA FLORIDA;CIGUTIERREZ;-335387817;-706271040
1701749;LA FLORIDA;CIGUTIERREZ;-335396494;-706267181
2303990;LA FLORIDA;CIGUTIERREZ;-335399371;-706037693
1742583;LA FLORIDA;CIGUTIERREZ;-335465789;-706158565
2257448;LA FLORIDA;CIGUTIERREZ;-335605575;-706062329
2215488;LA FLORIDA;CIGUTIERREZ;-335923377;-707012947
2168755;LA FLORIDA;CIGUTIERREZ;-335673472;-707014116
675380;LA FLORIDA;CIGUTIERREZ;-335777958;-706082614
