codigolocal;comuna;merchan;latitud;longitud
1342949;VESPUCIO;JVARGAS;-334150228;-707452123
1302191;VESPUCIO;JVARGAS;-334186928;-707386788
1330600;VESPUCIO;JVARGAS;-334230120;-707506624
1339176;VESPUCIO;JVARGAS;-333671543;-707452230
757787;MAIPU;JVARGAS;-334276460;-707191320
673840;MAIPU;JVARGAS;-334147380;-707172430
2263577;MAIPU;JVARGAS;-334294551;-707482634
2384032;MODELO;JVARGAS;-334361673;-706558371
2270743;MODELO;JVARGAS;-334440710;-706429870
2263959;MODELO;JVARGAS;-333992719;-706238270
646847;MODELO;JVARGAS;-334304960;-706358526
1657274;MODELO;JVARGAS;-334310830;-706413139
657782;VESPUCIO;JVARGAS;-333577700;-707136350
2230554;VESPUCIO;JVARGAS;-333579000;-707309760
2263977;VESPUCIO;JVARGAS;-333591323;-707136479
2263960;VESPUCIO;JVARGAS;-333593910;-707368420
849321;VESPUCIO;JVARGAS;-333595510;-707137480
1727907;VESPUCIO;JVARGAS;-333605110;-707309190
659641;VESPUCIO;JVARGAS;-333606690;-707310970
809791;VESPUCIO;JVARGAS;-333631090;-707398920
662485;VESPUCIO;JVARGAS;-333631980;-707393850
1602069;VESPUCIO;JVARGAS;-333632500;-707224670
666583;VESPUCIO;JVARGAS;-333637050;-707150790
1342013;VESPUCIO;JVARGAS;-333491200;-707430440
663089;VESPUCIO;JVARGAS;-333497890;-707373740
666119;VESPUCIO;JVARGAS;-333499070;-707394370
657732;VESPUCIO;JVARGAS;-333509860;-707325260
2234012;VESPUCIO;JVARGAS;-333517454;-707321580
696846;VESPUCIO;JVARGAS;-333521160;-707339670
658198;VESPUCIO;JVARGAS;-333534640;-707340140
771412;VESPUCIO;JVARGAS;-333546630;-707338930
765833;VESPUCIO;JVARGAS;-333548860;-707452430
1544690;VESPUCIO;JVARGAS;-333558070;-707340580
1935709;VESPUCIO;JVARGAS;-333639620;-707241660
850989;VESPUCIO;JVARGAS;-333655350;-707285180
2071484;VESPUCIO;JVARGAS;-333655850;-707211440
1457623;VESPUCIO;JVARGAS;-333654879;-707253851
727152;VESPUCIO;JVARGAS;-333662410;-707374770
1890923;VESPUCIO;JVARGAS;-333600100;-707576100
877074;VESPUCIO;JVARGAS;-333670460;-706957270
1662985;VESPUCIO;JVARGAS;-333674540;-707168000
1422154;VESPUCIO;JVARGAS;-333616260;-707561840
668805;VESPUCIO;JVARGAS;-333625750;-707568350
1389712;VESPUCIO;JVARGAS;-333682310;-706981130
1963881;VESPUCIO;JVARGAS;-333683080;-706817230
877824;VESPUCIO;JVARGAS;-333685760;-707424470
701816;VESPUCIO;JVARGAS;-333687750;-706814050
694726;VESPUCIO;JVARGAS;-333689220;-706913450
2122434;VESPUCIO;JVARGAS;-333640230;-707569740
1868207;VESPUCIO;JVARGAS;-333642300;-707439350
656798;VESPUCIO;JVARGAS;-333646470;-707510590
2204799;VESPUCIO;JVARGAS;-333652790;-707466220
