codigolocal;comuna;merchan;latitud;longitud
920372;RANCAGUA;LSEGURA;-339634980;-706519640
597100;RANCAGUA;LSEGURA;-340164213;-706592132
596387;RANCAGUA;LSEGURA;-340355216;-706684212
595917;RANCAGUA;LSEGURA;-340196050;-706421540
2091086;RANCAGUA;LSEGURA;-340341530;-706688010
878751;RANCAGUA;LSEGURA;-340350660;-706633400
2398796;RANCAGUA;LSEGURA;-340366007;-706473110
2243950;RANCAGUA;LSEGURA;-340448293;-706688001
2084696;RANCAGUA;LSEGURA;-342932994;-713134230
725940;RANCAGUA;LSEGURA;-342878399;-713078831
595989;RANCAGUA;LSEGURA;-342924268;-713110071
2049398;RANCAGUA;LSEGURA;-339301721;-707159683
596919;RANCAGUA;LSEGURA;-339000000;-707333000
2120042;RANCAGUA;LSEGURA;-342930000;-713111290
815069;RANCAGUA;LSEGURA;-339741960;-707115100
596633;RANCAGUA;LSEGURA;-339751320;-707118060
1992651;RANCAGUA;LSEGURA;-339814670;-707125030
1680801;RANCAGUA;LSEGURA;-339827570;-707098560
597407;RANCAGUA;LSEGURA;-339841530;-707063490
2078052;RANCAGUA;LSEGURA;-339849970;-707047840
766999;RANCAGUA;LSEGURA;-339877310;-707155240
2364797;RANCAGUA;LSEGURA;-343060079;-712667334
595323;RANCAGUA;LSEGURA;-343148820;-713813330
2387309;RANCAGUA;LSEGURA;-343921609;-711667306
783846;RANCAGUA;LSEGURA;-343569990;-712839100
2367656;RANCAGUA;LSEGURA;-343605750;-712796835
595322;RANCAGUA;LSEGURA;-343668633;-712657035
2445547;RANCAGUA;LSEGURA;-343093868;-712630482
2096822;RANCAGUA;LSEGURA;-340583150;-707250940
714324;RANCAGUA;LSEGURA;-340596730;-707271060
750883;RANCAGUA;LSEGURA;-340622850;-707263130
596225;RANCAGUA;LSEGURA;-340622612;-707274231
2273210;RANCAGUA;LSEGURA;-340645470;-707225430
784511;RANCAGUA;LSEGURA;-340652700;-707209630
1510223;RANCAGUA;LSEGURA;-340656820;-707302660
595979;RANCAGUA;LSEGURA;-340669235;-707296476
597379;RANCAGUA;LSEGURA;-340707490;-707196010
1656105;RANCAGUA;LSEGURA;-340716921;-707352883
1600819;RANCAGUA;LSEGURA;-340716560;-707350930
978948;RANCAGUA;LSEGURA;-340730000;-707196220
2230602;RANCAGUA;LSEGURA;-340731505;-707197929
595547;RANCAGUA;LSEGURA;-340732460;-707310090
2216228;RANCAGUA;LSEGURA;-340742890;-707346860
1752295;RANCAGUA;LSEGURA;-340745280;-707272580
1432718;RANCAGUA;LSEGURA;-340748620;-707249090
1697674;RANCAGUA;LSEGURA;-340757082;-707301122
2315154;RANCAGUA;LSEGURA;-340771000;-707263020
2210105;RANCAGUA;LSEGURA;-340666916;-707325646
743859;RANCAGUA;LSEGURA;-341513250;-714596540
1537854;RANCAGUA;LSEGURA;-341536400;-714507850
598513;RANCAGUA;LSEGURA;-341548870;-714487230
597965;RANCAGUA;LSEGURA;-341550767;-714380006
764358;RANCAGUA;LSEGURA;-341638030;-714090420
858178;RANCAGUA;LSEGURA;-341582573;-707643263
878921;RANCAGUA;LSEGURA;-341668640;-713221280
2437039;RANCAGUA;LSEGURA;-341796406;-713996616
2296705;RANCAGUA;LSEGURA;-343916270;-711637520
2031951;RANCAGUA;LSEGURA;-341751880;-713984200
1998889;RANCAGUA;LSEGURA;-341771870;-707225800
727755;RANCAGUA;LSEGURA;-341894950;-708903370
1347849;RANCAGUA;LSEGURA;-341915810;-708694300
783664;RANCAGUA;LSEGURA;-341952286;-708896718
594189;RANCAGUA;LSEGURA;-342020950;-708863220
691693;RANCAGUA;LSEGURA;-342026150;-708788680
1432372;RANCAGUA;LSEGURA;-342031180;-708887980
2401228;RANCAGUA;LSEGURA;-342038901;-708859244
2240400;RANCAGUA;LSEGURA;-342063599;-716547160
596002;RANCAGUA;LSEGURA;-342052883;-712768965
997591;RANCAGUA;LSEGURA;-342062490;-716549940
