codigolocal;comuna;merchan;latitud;longitud
1509884;LA FLORIDA;TGUTIERREZ;-335117340;-705998810
650561;LA FLORIDA;TGUTIERREZ;-335128740;-705855540
852891;LA FLORIDA;TGUTIERREZ;-335131290;-705336350
1331281;LA FLORIDA;TGUTIERREZ;-335135566;-705993138
1736033;LA FLORIDA;TGUTIERREZ;-335137680;-705994020
740777;LA FLORIDA;TGUTIERREZ;-335140390;-706023440
664144;LA FLORIDA;TGUTIERREZ;-335140610;-705657520
670078;LA FLORIDA;TGUTIERREZ;-335146360;-705978220
880056;LA FLORIDA;TGUTIERREZ;-335148680;-705994520
658316;LA FLORIDA;TGUTIERREZ;-335152690;-705958280
1456135;LA FLORIDA;TGUTIERREZ;-335155290;-706029650
1941629;LA FLORIDA;TGUTIERREZ;-335150920;-705488130
759316;LA FLORIDA;TGUTIERREZ;-335159060;-706067100
2206151;LA FLORIDA;TGUTIERREZ;-335167200;-706021760
2272183;LA FLORIDA;TGUTIERREZ;-335170820;-706015170
2218987;LA FLORIDA;TGUTIERREZ;-335175100;-706012070
2273241;LA FLORIDA;TGUTIERREZ;-335177640;-705488380
668112;LA FLORIDA;TGUTIERREZ;-335179570;-705536190
1545196;LA FLORIDA;TGUTIERREZ;-335186270;-706365300
670615;LA FLORIDA;TGUTIERREZ;-335194000;-706321000
920377;LA FLORIDA;TGUTIERREZ;-335196700;-705871340
1908513;LA FLORIDA;TGUTIERREZ;-335208470;-705974700
681720;LA FLORIDA;TGUTIERREZ;-335219740;-706217150
931158;LA FLORIDA;TGUTIERREZ;-335221530;-705996230
1923756;LA FLORIDA;TGUTIERREZ;-335222280;-706336780
2266224;LA FLORIDA;TGUTIERREZ;-335687010;-707030720
739511;LA FLORIDA;TGUTIERREZ;-335228960;-706002950
768436;LA FLORIDA;TGUTIERREZ;-335229240;-706186070
1801416;LA FLORIDA;TGUTIERREZ;-335229290;-706031160
1351298;LA FLORIDA;TGUTIERREZ;-335229310;-706040440
1457763;LA FLORIDA;TGUTIERREZ;-335253300;-706337930
1476053;LA FLORIDA;TGUTIERREZ;-335286290;-706112580
981723;LA FLORIDA;TGUTIERREZ;-335305760;-706299500
650133;LA FLORIDA;TGUTIERREZ;-335313000;-706105000
2211468;LA FLORIDA;TGUTIERREZ;-335318870;-706215150
2040283;LA FLORIDA;TGUTIERREZ;-335331900;-706167730
1919242;LA FLORIDA;TGUTIERREZ;-335332100;-706169860
1418333;LA FLORIDA;TGUTIERREZ;-335332560;-706169850
668833;LA FLORIDA;TGUTIERREZ;-335337710;-705993300
1512816;LA FLORIDA;TGUTIERREZ;-335340130;-706126470
2305032;LA FLORIDA;TGUTIERREZ;-335348150;-706306240
895868;LA FLORIDA;TGUTIERREZ;-335354110;-702649900
2292177;LA FLORIDA;TGUTIERREZ;-335360360;-706299720
2297301;LA FLORIDA;TGUTIERREZ;-335377230;-706288560
1449098;LA FLORIDA;TGUTIERREZ;-335382090;-706068630
1630996;LA FLORIDA;TGUTIERREZ;-335389040;-706125540
1306866;LA FLORIDA;TGUTIERREZ;-335398140;-706311520
1345504;LA FLORIDA;TGUTIERREZ;-335399240;-706098490
1904821;LA FLORIDA;TGUTIERREZ;-335400930;-707051380
679462;LA FLORIDA;TGUTIERREZ;-335407000;-706340000
772517;LA FLORIDA;TGUTIERREZ;-335412730;-706273300
1654828;LA FLORIDA;TGUTIERREZ;-335418400;-705904180
859502;LA FLORIDA;TGUTIERREZ;-335434870;-706152490
1852271;LA FLORIDA;TGUTIERREZ;-335506120;-706918000
1379336;LA FLORIDA;TGUTIERREZ;-335522180;-706266840
918247;LA FLORIDA;TGUTIERREZ;-335529690;-706247290
740111;LA FLORIDA;TGUTIERREZ;-335531990;-706173000
662541;LA FLORIDA;TGUTIERREZ;-335578740;-706459130
1349199;LA FLORIDA;TGUTIERREZ;-335592210;-707085630
663642;LA FLORIDA;TGUTIERREZ;-335591870;-707098710
659905;LA FLORIDA;TGUTIERREZ;-335612693;-707072453
1466151;LA FLORIDA;TGUTIERREZ;-335635580;-707027200
669360;LA FLORIDA;TGUTIERREZ;-335636290;-706225540
1495601;LA FLORIDA;TGUTIERREZ;-335636970;-706399160
872604;LA FLORIDA;TGUTIERREZ;-335662490;-707017320
926795;LA FLORIDA;TGUTIERREZ;-335666600;-707049760
671546;LA FLORIDA;TGUTIERREZ;-335667000;-707016000
740727;LA FLORIDA;TGUTIERREZ;-335699820;-707036570
927277;LA FLORIDA;TGUTIERREZ;-335702024;-706999577
884124;LA FLORIDA;TGUTIERREZ;-335701570;-706994480
792712;LA FLORIDA;TGUTIERREZ;-335759120;-704511540
2338687;LA FLORIDA;TGUTIERREZ;-335765410;-707100080
2000824;LA FLORIDA;TGUTIERREZ;-335768310;-707050740
2320541;LA FLORIDA;TGUTIERREZ;-335826774;-703992203
1366653;LA FLORIDA;TGUTIERREZ;-335825780;-707070020
2299482;LA FLORIDA;TGUTIERREZ;-335826590;-707051460
1436194;LA FLORIDA;TGUTIERREZ;-335838800;-707117620
655884;LA FLORIDA;TGUTIERREZ;-335604240;-706145520
664030;LA FLORIDA;TGUTIERREZ;-335623090;-706138880
850728;LA FLORIDA;TGUTIERREZ;-335856740;-707071240
1385796;LA FLORIDA;TGUTIERREZ;-335651000;-706101370
2281202;LA FLORIDA;TGUTIERREZ;-335888880;-707118400
711773;LA FLORIDA;TGUTIERREZ;-335906020;-703824620
2119657;LA FLORIDA;TGUTIERREZ;-335906230;-707091870
2144769;LA FLORIDA;TGUTIERREZ;-335919100;-707085690
863285;LA FLORIDA;TGUTIERREZ;-335779260;-706567350
669497;LA FLORIDA;TGUTIERREZ;-335786240;-706488480
1878461;LA FLORIDA;TGUTIERREZ;-335938450;-707091950
675883;LA FLORIDA;TGUTIERREZ;-335801900;-705899960
1538443;LA FLORIDA;TGUTIERREZ;-335807550;-706571100
664380;LA FLORIDA;TGUTIERREZ;-335820000;-706397000
2294048;LA FLORIDA;TGUTIERREZ;-335953640;-707118740
1466654;LA FLORIDA;TGUTIERREZ;-335824520;-706483830
695106;LA FLORIDA;TGUTIERREZ;-335838220;-706522920
850427;LA FLORIDA;TGUTIERREZ;-335842770;-706488960
685981;LA FLORIDA;TGUTIERREZ;-336045880;-703572640
743164;LA FLORIDA;TGUTIERREZ;-335847200;-706628500
854424;LA FLORIDA;TGUTIERREZ;-335862680;-706528490
1699107;LA FLORIDA;TGUTIERREZ;-335935050;-706252270
2253703;LA FLORIDA;TGUTIERREZ;-335936010;-706251620
2335611;LA FLORIDA;TGUTIERREZ;-335944410;-707055950
780128;LA FLORIDA;TGUTIERREZ;-335943190;-707063350
1903107;LA FLORIDA;TGUTIERREZ;-335949920;-706191060
2234361;LA FLORIDA;TGUTIERREZ;-335965130;-706995280
669626;LA FLORIDA;TGUTIERREZ;-335973150;-707057270
678237;LA FLORIDA;TGUTIERREZ;-336005690;-707115220
1624584;LA FLORIDA;TGUTIERREZ;-336061690;-706946730
662348;LA FLORIDA;TGUTIERREZ;-336070000;-705993000
2085452;LA FLORIDA;TGUTIERREZ;-336074040;-706946600
844374;LA FLORIDA;TGUTIERREZ;-336077110;-705853410
1666933;LA FLORIDA;TGUTIERREZ;-336100470;-707018680
668078;LA FLORIDA;TGUTIERREZ;-336105050;-705902840
2087463;LA FLORIDA;TGUTIERREZ;-336127720;-707056840
1917326;LA FLORIDA;TGUTIERREZ;-336138290;-706994670
2143547;LA FLORIDA;TGUTIERREZ;-336140310;-706323910
852457;LA FLORIDA;TGUTIERREZ;-336157080;-707062640
1761596;LA FLORIDA;TGUTIERREZ;-336151890;-706846460
1670558;LA FLORIDA;TGUTIERREZ;-336159230;-705975640
2230891;LA FLORIDA;TGUTIERREZ;-336160950;-707058730
665279;LA FLORIDA;TGUTIERREZ;-336172000;-706237000
1737137;LA FLORIDA;TGUTIERREZ;-336179190;-706084590
1652557;LA FLORIDA;TGUTIERREZ;-336181340;-706387170
1925256;LA FLORIDA;TGUTIERREZ;-336188940;-707058730
810072;LA FLORIDA;TGUTIERREZ;-336192240;-706947960
2312221;LA FLORIDA;TGUTIERREZ;-336192530;-705932450
2107977;LA FLORIDA;TGUTIERREZ;-336193740;-706154430
651883;LA FLORIDA;TGUTIERREZ;-336197280;-706210990
1707674;LA FLORIDA;TGUTIERREZ;-336197310;-706150490
2188766;LA FLORIDA;TGUTIERREZ;-336204130;-706080760
899873;LA FLORIDA;TGUTIERREZ;-336206540;-706127480
667104;LA FLORIDA;TGUTIERREZ;-336206600;-706865760
2322470;LA FLORIDA;TGUTIERREZ;-336216560;-706249710
1701818;LA FLORIDA;TGUTIERREZ;-336217240;-706049920
778307;LA FLORIDA;TGUTIERREZ;-336400239;-703523127
2284679;LA FLORIDA;TGUTIERREZ;-336400239;-703523127
649703;LA FLORIDA;TGUTIERREZ;-336223000;-705960000
2036818;LA FLORIDA;TGUTIERREZ;-336225660;-706112740
667043;LA FLORIDA;TGUTIERREZ;-336226880;-705964970
665379;LA FLORIDA;TGUTIERREZ;-336231020;-706253230
821016;LA FLORIDA;TGUTIERREZ;-336271758;-706879621
742151;LA FLORIDA;TGUTIERREZ;-336234200;-706254680
918627;LA FLORIDA;TGUTIERREZ;-336242620;-706896420
1696798;LA FLORIDA;TGUTIERREZ;-336240150;-706898510
665978;LA FLORIDA;TGUTIERREZ;-336246250;-706984210
1573783;LA FLORIDA;TGUTIERREZ;-336249470;-706243290
1921226;LA FLORIDA;TGUTIERREZ;-336382666;-703537548
1568714;LA FLORIDA;TGUTIERREZ;-336375200;-703521810
1319437;LA FLORIDA;TGUTIERREZ;-336378880;-703520120
1666084;LA FLORIDA;TGUTIERREZ;-336398320;-703536070
654422;LA FLORIDA;TGUTIERREZ;-336260000;-706235000
679195;LA FLORIDA;TGUTIERREZ;-336411182;-703521542
1966628;LA FLORIDA;TGUTIERREZ;-336445083;-703529827
662437;LA FLORIDA;TGUTIERREZ;-336263690;-706227930
1872358;LA FLORIDA;TGUTIERREZ;-336271840;-706795880
1604076;LA FLORIDA;TGUTIERREZ;-336278000;-706255370
662745;LA FLORIDA;TGUTIERREZ;-336285930;-706285990
655198;LA FLORIDA;TGUTIERREZ;-336292000;-706105000
2222814;LA FLORIDA;TGUTIERREZ;-336919302;-703357398
677164;LA FLORIDA;TGUTIERREZ;-336947000;-703351000
2032889;LA FLORIDA;TGUTIERREZ;-336297180;-706121760
849428;LA FLORIDA;TGUTIERREZ;-336303770;-706097590
659310;LA FLORIDA;TGUTIERREZ;-336331000;-706215000
660392;LA FLORIDA;TGUTIERREZ;-336335000;-706212000
2304452;LA FLORIDA;TGUTIERREZ;-336874736;-705883812
2131592;LA FLORIDA;TGUTIERREZ;-336560200;-705867630
794385;LA FLORIDA;TGUTIERREZ;-336680150;-705310970
658821;LA FLORIDA;TGUTIERREZ;-337030001;-705642672
675476;LA FLORIDA;TGUTIERREZ;-337270880;-703189340
2294743;LA FLORIDA;TGUTIERREZ;-337289803;-703174578
1716069;LA FLORIDA;TGUTIERREZ;-338157458;-701666412
2369867;LA FLORIDA;TGUTIERREZ;-336791389;-705792814
674393;LA FLORIDA;TGUTIERREZ;-336910360;-705777370
807504;LA FLORIDA;TGUTIERREZ;-337036160;-705641720
2033168;LA FLORIDA;TGUTIERREZ;-336874736;-705883812
1762187;LA FLORIDA;TGUTIERREZ;-337079350;-705655066
781430;LA FLORIDA;TGUTIERREZ;-337084090;-705406130
671295;LA FLORIDA;TGUTIERREZ;-337213840;-705515030
1625810;LA FLORIDA;TGUTIERREZ;-337213840;-705515030
878843;LA FLORIDA;TGUTIERREZ;-337270000;-705541000
2106953;LA FLORIDA;TGUTIERREZ;-336442493;-705954722
712058;MAIPU;TGUTIERREZ;-338563378;-707408307
1420935;MAIPU;TGUTIERREZ;-338031621;-707014203
647060;MAIPU;TGUTIERREZ;-338056252;-707369461
2047923;MAIPU;TGUTIERREZ;-338038627;-707344797
669010;MAIPU;TGUTIERREZ;-338048858;-707385852
