codigolocal;comuna;merchan;latitud;longitud
931597;PIRAMIDE;THERRERA;-334740170;-705447970
1351146;PIRAMIDE;THERRERA;-335040240;-706736300
2240563;PIRAMIDE;THERRERA;-334642810;-705352440
653939;PIRAMIDE;THERRERA;-334702000;-705253000
874712;PIRAMIDE;THERRERA;-334721970;-705386420
767065;PIRAMIDE;THERRERA;-334726640;-705479280
782606;PIRAMIDE;THERRERA;-334739000;-705416790
647634;PIRAMIDE;THERRERA;-334743000;-705289000
641204;PIRAMIDE;THERRERA;-334741675;-705267181
676176;PIRAMIDE;THERRERA;-334593000;-705720000
655515;PIRAMIDE;THERRERA;-334754000;-705760000
659853;PIRAMIDE;THERRERA;-334642940;-705662950
2076100;PIRAMIDE;THERRERA;-334650770;-705734780
1389697;PIRAMIDE;THERRERA;-334660620;-705545340
1698723;PIRAMIDE;THERRERA;-334677670;-705645740
658318;PIRAMIDE;THERRERA;-334682700;-705559990
2288464;PIRAMIDE;THERRERA;-334685900;-705640090
1788324;PIRAMIDE;THERRERA;-334686740;-705549910
1992340;PIRAMIDE;THERRERA;-334688430;-705414970
2343441;PIRAMIDE;THERRERA;-334690570;-705532150
678042;PIRAMIDE;THERRERA;-334696000;-705617000
703450;PIRAMIDE;THERRERA;-334697850;-705744060
1941970;PIRAMIDE;THERRERA;-334698720;-705738440
2304709;PIRAMIDE;THERRERA;-334756170;-705517160
685217;PIRAMIDE;THERRERA;-334703170;-705562140
664536;PIRAMIDE;THERRERA;-334705000;-705712000
1831013;PIRAMIDE;THERRERA;-334712820;-705432270
1659083;PIRAMIDE;THERRERA;-334715980;-705506510
2291570;PIRAMIDE;THERRERA;-334721770;-705746290
2323776;PIRAMIDE;THERRERA;-334757120;-705749210
1377280;PIRAMIDE;THERRERA;-334765010;-705389920
664719;PIRAMIDE;THERRERA;-334768420;-705390590
1905029;PIRAMIDE;THERRERA;-334779970;-705410620
890801;PIRAMIDE;THERRERA;-334782760;-705412830
2325881;PIRAMIDE;THERRERA;-334748730;-705367660
713962;PIRAMIDE;THERRERA;-334753250;-705659100
835058;PIRAMIDE;THERRERA;-334781710;-705411750
1465841;PIRAMIDE;THERRERA;-334825290;-706431080
2309586;PIRAMIDE;THERRERA;-334855010;-705252360
1942995;PIRAMIDE;THERRERA;-334757890;-705536320
2251275;PIRAMIDE;THERRERA;-334873510;-706439880
1759761;PIRAMIDE;THERRERA;-334886940;-706459110
1650745;PIRAMIDE;THERRERA;-334896150;-706466870
2393320;PIRAMIDE;THERRERA;-334898070;-706464605
757997;PIRAMIDE;THERRERA;-334786240;-706697620
2289849;PIRAMIDE;THERRERA;-334787100;-706584260
2012701;PIRAMIDE;THERRERA;-334904890;-706482070
1960922;PIRAMIDE;THERRERA;-334795610;-706792240
650689;PIRAMIDE;THERRERA;-334798940;-705293390
662039;PIRAMIDE;THERRERA;-334802760;-706632770
