codigolocal;comuna;merchan;latitud;longitud
1311487;ANTOFAGASTA;GZEPEDA;-236194616;-703846963
1364119;CALAMA;GZEPEDA;-224405942;-689084636
1373286;CALAMA;GZEPEDA;-224727782;-689272167
1418833;MARIA ELENA;GZEPEDA;-223425032;-696624304
1418965;ANTOFAGASTA;GZEPEDA;-235994099;-703809964
1423168;TOCOPILLA;GZEPEDA;-220888423;-701961437
1426393;ANTOFAGASTA;GZEPEDA;-235879107;-703914313
1435455;ANTOFAGASTA;GZEPEDA;-236876330;-704192342
1441622;CALAMA;GZEPEDA;-224699868;-689385372
1447808;ANTOFAGASTA;GZEPEDA;-236284905;-703914895
1448539;MARIA ELENA;GZEPEDA;-223444818;-696619771
1549920;SAN PEDRO DE ATACAMA;GZEPEDA;-229105997;-682020881
1571930;TOCOPILLA;GZEPEDA;-220906154;-701999729
1912997;ANTOFAGASTA;GZEPEDA;-236977673;-704131261
1925917;TOCOPILLA;GZEPEDA;-220895058;-701973712
1938141;ANTOFAGASTA;GZEPEDA;-237606264;-704619373
1987323;TOCOPILLA;GZEPEDA;-220907903;-701981105
1988639;TALTAL;GZEPEDA;-254073620;-704872115
2013945;CALAMA;GZEPEDA;-224618632;-689233161
2014760;CALAMA;GZEPEDA;-224603667;-689269240
2015180;CALAMA;GZEPEDA;-224558742;-689334606
2052020;CALAMA;GZEPEDA;-224512962;-689204970
2089671;SAN PEDRO DE ATACAMA;GZEPEDA;-229108224;-682013297
2095608;TOCOPILLA;GZEPEDA;-220894580;-701960960
2096798;CALAMA;GZEPEDA;-224585309;-689259087
2107031;CALAMA;GZEPEDA;-224555680;-689327920
2141049;ANTOFAGASTA;GZEPEDA;-235518741;-703954325
2153302;ANTOFAGASTA;GZEPEDA;-236331965;-703776490
2153768;CALAMA;GZEPEDA;-224601196;-689251077
2183283;SAN PEDRO DE ATACAMA;GZEPEDA;-229444192;-681950320
2197022;CALAMA;GZEPEDA;-224580175;-689337552
2203962;ANTOFAGASTA;GZEPEDA;-236229584;-703869758
2216356;CALAMA;GZEPEDA;-236509279;-703975022
2222610;SAN PEDRO DE ATACAMA;GZEPEDA;-229105521;-682031228
2227852;ANTOFAGASTA;GZEPEDA;-236494216;-703942443
2232076;CALAMA;GZEPEDA;-224657793;-689034341
2233736;ANTOFAGASTA;GZEPEDA;-236498609;-703956251
2238498;ANTOFAGASTA;GZEPEDA;-234486530;-704409794
2248488;ANTOFAGASTA;GZEPEDA;-236476425;-704007972
2249585;ANTOFAGASTA;GZEPEDA;-235863666;-703930035
2251998;TOCOPILLA;GZEPEDA;-220948311;-702031854
2262141;ANTOFAGASTA;GZEPEDA;-236520728;-703976501
2265622;SAN PEDRO DE ATACAMA;GZEPEDA;-229125750;-681995576
2265891;ANTOFAGASTA;GZEPEDA;-236471416;-703961355
2267745;SAN PEDRO DE ATACAMA;GZEPEDA;-229116768;-681973235
2272829;ANTOFAGASTA;GZEPEDA;-236489222;-703980640
2275649;SIERRA GORDA;GZEPEDA;-233343288;-698428850
2278668;MEJILLONES;GZEPEDA;-230991347;-704475555
2282854;CALAMA;GZEPEDA;-224605130;-689265874
2283121;ANTOFAGASTA;GZEPEDA;-236949935;-704159518
2290207;ANTOFAGASTA;GZEPEDA;-235996334;-703910727
2297160;ANTOFAGASTA;GZEPEDA;-230845244;-704035202
2299301;TOCOPILLA;GZEPEDA;-220954258;-702051380
2302335;ANTOFAGASTA;GZEPEDA;-235911474;-703863665
2302478;ANTOFAGASTA;GZEPEDA;-236709979;-704027322
2303685;CALAMA;GZEPEDA;-224660179;-689374022
2305049;ANTOFAGASTA;GZEPEDA;-236732584;-704069107
2310910;ANTOFAGASTA;GZEPEDA;-236462064;-703972153
2311663;ANTOFAGASTA;GZEPEDA;-236585062;-704010278
2315996;CALAMA;GZEPEDA;-224645957;-689353769
2316422;SAN PEDRO DE ATACAMA;GZEPEDA;-229087073;-681997156
2317947;TALTAL;GZEPEDA;-236228042;-703900470
2317949;TALTAL;GZEPEDA;-254054103;-704840161
2324281;CALAMA;GZEPEDA;-224724761;-689426030
