codigolocal;comuna;merchan;latitud;longitud
1300928;TEMUCO;cmoreno;-387218681;-725547029
1372207;TEMUCO;cmoreno;-387217658;-725601175
1650489;TEMUCO;cmoreno;-387101341;-725473523
1671363;TEMUCO;cmoreno;-387115252;-725493081
2148165;TEMUCO;cmoreno;-387133635;-725569230
2262362;TEMUCO;cmoreno;-387232321;-725562850
2280059;TEMUCO;cmoreno;-386975156;-725479368
2292022;TEMUCO;cmoreno;-387263970;-725572563
2304682;TEMUCO;cmoreno;-387205733;-725674351
2305983;TEMUCO;cmoreno;-387228833;-725635762
2315412;TEMUCO;cmoreno;-387148265;-725575024
570515;TEMUCO;cmoreno;-387162592;-725523715
570724;TEMUCO;cmoreno;-387233183;-725546083
571332;TEMUCO;cmoreno;-387243023;-725623681
572432;TEMUCO;cmoreno;-387088271;-725461988
572874;TEMUCO;cmoreno;-387146144;-725622940
599624;TEMUCO;cmoreno;-387096022;-725486199
780929;TEMUCO;cmoreno;-387228182;-725667403
827307;TEMUCO;cmoreno;-387240554;-725675439
879997;TEMUCO;cmoreno;-387179643;-725512959
782880;TEMUCO;cmoreno;-387314176;-725599706
1666110;TEMUCO;cmoreno;-387321814;-725642223
1677418;TEMUCO;cmoreno;-387330310;-725656402
1942889;TEMUCO;cmoreno;-387311214;-725600971
2238398;TEMUCO;cmoreno;-387309854;-725570384
1305164;LAUTARO;cmoreno;-386347200;-724509833
1367268;LAUTARO;cmoreno;-386340353;-724459606
1990538;LAUTARO;cmoreno;-386350133;-724490918
568155;LAUTARO;cmoreno;-386380461;-724529150
1319422;TEMUCO;cmoreno;-387435049;-725778029
572075;TEMUCO;cmoreno;-387391120;-725775225
572530;TEMUCO;cmoreno;-387431497;-726017323
762877;TEMUCO;cmoreno;-387445895;-725838956
783166;TEMUCO;cmoreno;-387428717;-725968778
800209;TEMUCO;cmoreno;-387371748;-725710344
833676;TEMUCO;cmoreno;-387326987;-725717549
901287;TEMUCO;cmoreno;-387427155;-725891089
982853;TEMUCO;cmoreno;-387263289;-725753039
997900;TEMUCO;cmoreno;-387365900;-725678700
1373958;PADRE LAS CASAS;cmoreno;-387393258;-725735810
1626819;PADRE LAS CASAS;cmoreno;-387394976;-725745140
1815113;PADRE LAS CASAS;cmoreno;-387387596;-725728658
2015647;TEMUCO;cmoreno;-387488150;-726079646
2133726;TEMUCO;cmoreno;-387415638;-725964746
2292021;TEMUCO;cmoreno;-387413339;-725978094
2312909;TEMUCO;cmoreno;-387385907;-725877231
568086;TEMUCO;cmoreno;-387404269;-725774057
571288;TEMUCO;cmoreno;-387466768;-725789978
1389713;PADRE LAS CASAS;cmoreno;-387742658;-725960376
1434045;PADRE LAS CASAS;cmoreno;-387754085;-726057273
1571409;PADRE LAS CASAS;cmoreno;-387615770;-725989808
1578743;PADRE LAS CASAS;cmoreno;-387768049;-725921479
1906655;PADRE LAS CASAS;cmoreno;-387695725;-725942398
2216250;PADRE LAS CASAS;cmoreno;-387682352;-725989708
2224116;PADRE LAS CASAS;cmoreno;-387795908;-725984415
2270640;PADRE LAS CASAS;cmoreno;-387444038;-726066342
2302854;PADRE LAS CASAS;cmoreno;-387688876;-725913643
2303066;PADRE LAS CASAS;cmoreno;-387691102;-725854274
570899;PADRE LAS CASAS;cmoreno;-387758267;-725922924
571267;PADRE LAS CASAS;cmoreno;-387681797;-725961905
573579;PADRE LAS CASAS;cmoreno;-388308747;-726243050
573620;PADRE LAS CASAS;cmoreno;-387700755;-725960751
1397657;PADRE LAS CASAS;cmoreno;-387728398;-725758080
1418953;PADRE LAS CASAS;cmoreno;-387586104;-725933966
1444063;PADRE LAS CASAS;cmoreno;-387717656;-725773488
1641236;TEMUCO;cmoreno;-387711361;-725807320
1728617;PADRE LAS CASAS;cmoreno;-387731936;-725782950
1932178;PADRE LAS CASAS;cmoreno;-387575594;-725920853
2219121;PADRE LAS CASAS;cmoreno;-387562700;-725901900
2225484;PADRE LAS CASAS;cmoreno;-387679005;-725871251
2314357;PADRE LAS CASAS;cmoreno;-387704338;-725844701
567043;PADRE LAS CASAS;cmoreno;-387704851;-725837933
569125;PADRE LAS CASAS;cmoreno;-387731687;-725850703
570474;TEMUCO;cmoreno;-387716740;-725857810
571338;PADRE LAS CASAS;cmoreno;-387586104;-725933966
571944;PADRE LAS CASAS;cmoreno;-388730200;-723976890
573546;PADRE LAS CASAS;cmoreno;-387601508;-725908646
684009;PADRE LAS CASAS;cmoreno;-387591145;-725926057
723871;PADRE LAS CASAS;cmoreno;-387680688;-725866331
1393843;TEMUCO;cmoreno;-387225271;-726129010
1432200;TEMUCO;cmoreno;-387196020;-726183337
1440260;TEMUCO;cmoreno;-387333686;-725962401
1461705;TEMUCO;cmoreno;-386857200;-726529000
1478654;TEMUCO;cmoreno;-387283058;-726120768
1547590;TEMUCO;cmoreno;-387198219;-726099145
1643783;TEMUCO;cmoreno;-386899772;-726555666
1752337;TEMUCO;cmoreno;-387245728;-726154172
1866686;TEMUCO;cmoreno;-386873983;-726557145
1942665;TEMUCO;cmoreno;-387113430;-726267632
2023536;TEMUCO;cmoreno;-386865648;-726525631
2122456;TEMUCO;cmoreno;-387327033;-726023588
2289282;TEMUCO;cmoreno;-387256120;-726130135
571075;TEMUCO;cmoreno;-387141672;-726306945
571210;TEMUCO;cmoreno;-387154556;-726325922
571351;TEMUCO;cmoreno;-387329074;-725888194
572799;TEMUCO;cmoreno;-387129828;-726243164
573131;TEMUCO;cmoreno;-387165930;-726266641
731141;TEMUCO;cmoreno;-386874117;-726562024
742663;TEMUCO;cmoreno;-387272822;-726015223
754460;TEMUCO;cmoreno;-386899370;-726558131
767423;TEMUCO;cmoreno;-387204008;-726174530
863055;TEMUCO;cmoreno;-386876192;-726560062
881764;TEMUCO;cmoreno;-387111248;-726273328
2317665;TEMUCO;cmoreno;-387085736;-726634513
568354;TEMUCO;cmoreno;-387106745;-726574299
569341;TEMUCO;cmoreno;-387266329;-726250062
569414;TEMUCO;cmoreno;-387301493;-726177989
