codigolocal;comuna;merchan;latitud;longitud
1327053;IQUIQUE;epalacios;-202111906;-701384119
1363872;IQUIQUE;epalacios;-202130963;-701377192
1456519;IQUIQUE;epalacios;-202108056;-701398567
1606016;IQUIQUE;epalacios;-202118131;-701355147
1678538;IQUIQUE;epalacios;-202123992;-701481388
1747498;IQUIQUE;epalacios;-202153135;-701435906
1758160;IQUIQUE;epalacios;-202144105;-701454881
1876327;IQUIQUE;epalacios;-202147091;-701503446
2219342;IQUIQUE;epalacios;-202156105;-701391301
2232060;IQUIQUE;epalacios;-202080085;-701496822
2253583;IQUIQUE;epalacios;-202152620;-701355962
2259157;IQUIQUE;epalacios;-202088284;-701287234
2270669;IQUIQUE;epalacios;-202084453;-701456710
2293456;IQUIQUE;epalacios;-202104645;-701501076
2325428;IQUIQUE;epalacios;-202084538;-701455750
506218;IQUIQUE;epalacios;-202139478;-701407523
506431;IQUIQUE;epalacios;-202016101;-701311122
506894;IQUIQUE;epalacios;-202155971;-701348888
507386;IQUIQUE;epalacios;-202114687;-701373905
741729;IQUIQUE;epalacios;-202152357;-701416564
803295;IQUIQUE;epalacios;-202153477;-701386538
824114;IQUIQUE;epalacios;-202121861;-701431528
835465;IQUIQUE;epalacios;-202158270;-701356490
982454;IQUIQUE;epalacios;-202109635;-701406268
995472;IQUIQUE;epalacios;-202172320;-701347875
935552;IQUIQUE;epalacios;-202647140;-701229040
896714;IQUIQUE;epalacios;-202378691;-701279650
851962;IQUIQUE;epalacios;-202202274;-701365336
706689;IQUIQUE;epalacios;-202796933;-701246259
615473;IQUIQUE;epalacios;-202543166;-701260602
508829;IQUIQUE;epalacios;-202623387;-701247887
507303;IQUIQUE;epalacios;-202579955;-701255751
507259;IQUIQUE;epalacios;-202467234;-701257423
506685;IQUIQUE;epalacios;-202620207;-701246568
2328285;ALTO HOSPICIO;epalacios;-202601488;-701265051
2326774;IQUIQUE;epalacios;-202581137;-701250866
2283013;IQUIQUE;epalacios;-202490712;-701277235
2251876;IQUIQUE;epalacios;-202405563;-701272056
2236125;IQUIQUE;epalacios;-202563286;-701272897
2231677;IQUIQUE;epalacios;-202249646;-701322239
2218714;IQUIQUE;epalacios;-202387800;-701283248
2141626;IQUIQUE;epalacios;-202190229;-701384214
2031914;IQUIQUE;epalacios;-202521315;-701265842
2026402;IQUIQUE;epalacios;-202633026;-701278819
1644615;IQUIQUE;epalacios;-202623387;-701247887
1577809;IQUIQUE;epalacios;-202215207;-701333789
1492074;IQUIQUE;epalacios;-202623387;-701247887
1432741;IQUIQUE;epalacios;-202190150;-701372978
1372836;IQUIQUE;epalacios;-202450507;-701262733
1357060;IQUIQUE;epalacios;-202603600;-701264900
915823;IQUIQUE;epalacios;-202239362;-701373360
846668;IQUIQUE;epalacios;-202160284;-701512279
795953;IQUIQUE;epalacios;-202183900;-701481699
745475;IQUIQUE;epalacios;-202159436;-701557087
745352;IQUIQUE;epalacios;-202167981;-701448596
704485;IQUIQUE;epalacios;-202184918;-701494872
508200;IQUIQUE;epalacios;-202195285;-701453801
508014;IQUIQUE;epalacios;-202215440;-701514325
506867;IQUIQUE;epalacios;-202219749;-701423464
506289;IQUIQUE;epalacios;-202239919;-701361034
506071;IQUIQUE;epalacios;-202184892;-701536040
2438361;IQUIQUE;epalacios;-202238627;-701405721
2328631;IQUIQUE;epalacios;-202216665;-701497386
2320714;IQUIQUE;epalacios;-202197049;-701437707
2280921;IQUIQUE;epalacios;-202174814;-701476087
2280630;IQUIQUE;epalacios;-202217183;-701444324
2217571;IQUIQUE;epalacios;-202225586;-701424758
2150999;IQUIQUE;epalacios;-202214924;-701445182
2109748;IQUIQUE;epalacios;-202157013;-701555082
1786801;IQUIQUE;epalacios;-202172736;-701453372
1759077;IQUIQUE;epalacios;-202141678;-701547155
1757886;IQUIQUE;epalacios;-202237215;-701437151
1756630;IQUIQUE;epalacios;-202191561;-701425804
1571734;IQUIQUE;epalacios;-202185590;-701451570
1459415;IQUIQUE;epalacios;-202217393;-701414641
1367295;IQUIQUE;epalacios;-202239159;-701379024
999405;IQUIQUE;epalacios;-202387370;-701351218
928389;IQUIQUE;epalacios;-202368873;-701413993
872621;IQUIQUE;epalacios;-202273825;-701444410
860950;IQUIQUE;epalacios;-202284023;-701463946
847242;IQUIQUE;epalacios;-202258458;-701458736
821263;IQUIQUE;epalacios;-202324206;-701311023
776876;IQUIQUE;epalacios;-202287903;-701353457
776065;IQUIQUE;epalacios;-202338193;-701330365
552284;IQUIQUE;epalacios;-202330858;-701334772
508545;IQUIQUE;epalacios;-202292712;-701437370
508136;IQUIQUE;epalacios;-202277230;-701476680
508089;IQUIQUE;epalacios;-202280978;-701375072
507165;IQUIQUE;epalacios;-202363780;-701321584
506654;IQUIQUE;epalacios;-202327749;-701305682
506543;IQUIQUE;epalacios;-202364729;-701394724
2289135;IQUIQUE;epalacios;-202394802;-701355207
2274858;IQUIQUE;epalacios;-202374561;-701356913
2219830;IQUIQUE;epalacios;-202347554;-701399486
1916753;IQUIQUE;epalacios;-202318602;-701308595
1904834;IQUIQUE;epalacios;-202290271;-701404968
1606017;IQUIQUE;epalacios;-202326428;-701390887
1522426;IQUIQUE;epalacios;-202376809;-701395040
1495848;IQUIQUE;epalacios;-202315011;-701358294
1363160;IQUIQUE;epalacios;-202287282;-701445340
1308188;IQUIQUE;epalacios;-202378220;-701376766
1331863;ALTO HOSPICIO;epalacios;-202601225;-700953268
1356170;ALTO HOSPICIO;epalacios;-202465861;-700988145
1368979;ALTO HOSPICIO;epalacios;-202494259;-701008346
1375386;ALTO HOSPICIO;epalacios;-202595035;-700742671
1460922;ALTO HOSPICIO;epalacios;-202515580;-701033856
1461698;ALTO HOSPICIO;epalacios;-202510517;-701086398
1539220;ALTO HOSPICIO;epalacios;-202576059;-701052607
1655693;ALTO HOSPICIO;epalacios;-202320384;-700334336
1759588;ALTO HOSPICIO;epalacios;-202612897;-700957963
1841214;ALTO HOSPICIO;epalacios;-202446970;-700938565
1866209;ALTO HOSPICIO;epalacios;-202589041;-700853990
2002203;ALTO HOSPICIO;epalacios;-202613222;-700951348
2035654;ALTO HOSPICIO;epalacios;-202569210;-701057058
2041049;ALTO HOSPICIO;epalacios;-202566218;-701059937
2092025;ALTO HOSPICIO;epalacios;-202564465;-701077981
2139817;ALTO HOSPICIO;epalacios;-202467618;-700996183
2214079;ALTO HOSPICIO;epalacios;-202603866;-700952699
2216841;ALTO HOSPICIO;epalacios;-202463626;-700956425
2226647;ALTO HOSPICIO;epalacios;-202575391;-701000406
