codigolocal;comuna;merchan;latitud;longitud
1317259;COPIAPO;fperez;-273560373;-703188246
1576881;COPIAPO;fperez;-273603996;-703127032
1686200;COPIAPO;fperez;-273609383;-703132019
2007376;COPIAPO;fperez;-273566444;-703141889
2087134;COPIAPO;fperez;-273564044;-703231194
2291604;COPIAPO;fperez;-273580421;-703089308
2294085;COPIAPO;fperez;-273575254;-703094706
2312623;COPIAPO;fperez;-273584181;-703092245
503799;COPIAPO;fperez;-273578976;-703120378
504201;COPIAPO;fperez;-273557993;-703102218
504600;COPIAPO;fperez;-273545582;-703172631
707212;COPIAPO;fperez;-273606093;-703141347
718603;COPIAPO;fperez;-273560619;-703234891
773681;COPIAPO;fperez;-273598279;-703137207
776543;COPIAPO;fperez;-273599841;-703135518
780812;COPIAPO;fperez;-273557600;-703141799
821319;COPIAPO;fperez;-273572971;-703142034
838517;COPIAPO;fperez;-273551842;-703140997
840247;COPIAPO;fperez;-273551718;-703211546
850760;COPIAPO;fperez;-273573069;-703255255
921322;COPIAPO;fperez;-273578025;-703174797
983070;COPIAPO;fperez;-273557566;-703120406
934320;COPIAPO;fperez;-273874320;-703270208
851545;COPIAPO;fperez;-273854989;-703305241
784928;COPIAPO;fperez;-273853113;-703304135
730107;COPIAPO;fperez;-273895254;-703238517
715057;COPIAPO;fperez;-273848295;-703330886
713702;COPIAPO;fperez;-273907633;-703223858
592504;COPIAPO;fperez;-273809533;-703302755
504926;COPIAPO;fperez;-273853700;-703307200
504522;COPIAPO;fperez;-273841300;-703322800
504521;COPIAPO;fperez;-273844043;-703278498
504104;COPIAPO;fperez;-273896223;-703249792
503788;COPIAPO;fperez;-273875188;-703315656
503440;COPIAPO;fperez;-273863540;-703299490
2437263;COPIAPO;fperez;-273861919;-703335233
2293898;COPIAPO;fperez;-273620371;-703066882
2287437;COPIAPO;fperez;-273847813;-703346016
2152043;COPIAPO;fperez;-273870668;-703305067
2092423;COPIAPO;fperez;-273872120;-703248985
2066993;COPIAPO;fperez;-273864269;-703322980
1954281;COPIAPO;fperez;-273915814;-703252754
1599816;COPIAPO;fperez;-273854000;-703306900
1332040;COPIAPO;fperez;-273895500;-703250599
993528;COPIAPO;fperez;-273532275;-703438607
882214;COPIAPO;fperez;-273475757;-703525642
799329;COPIAPO;fperez;-273657925;-703360607
789753;COPIAPO;fperez;-273638921;-703371242
599591;COPIAPO;fperez;-273653533;-703347457
504117;COPIAPO;fperez;-273514530;-703506113
503926;COPIAPO;fperez;-273561176;-703486782
503269;COPIAPO;fperez;-273611916;-703355276
2291157;COPIAPO;fperez;-273651234;-703359413
2266459;COPIAPO;fperez;-273486481;-703496965
2231131;COPIAPO;fperez;-273404762;-703695100
2225222;COPIAPO;fperez;-273436831;-703506202
2219575;COPIAPO;fperez;-273441245;-703635078
2154233;COPIAPO;fperez;-273676685;-703360989
2046128;COPIAPO;fperez;-273608302;-703434842
2033864;COPIAPO;fperez;-273477867;-703496016
2014199;COPIAPO;fperez;-273470898;-703526540
1746002;COPIAPO;fperez;-273642422;-703436287
1678125;COPIAPO;fperez;-273619194;-703376125
1426917;COPIAPO;fperez;-273647050;-703394646
1377752;COPIAPO;fperez;-273498830;-703490947
1322097;COPIAPO;fperez;-273582699;-703461390
845406;COPIAPO;fperez;-273611430;-703174584
784825;COPIAPO;fperez;-273622447;-703141389
779880;COPIAPO;fperez;-273619799;-703153988
766553;COPIAPO;fperez;-273606881;-703255371
552839;COPIAPO;fperez;-273635598;-703160492
504272;COPIAPO;fperez;-273586626;-703317099
504190;COPIAPO;fperez;-273634073;-703223469
504106;COPIAPO;fperez;-273529983;-703314098
503863;COPIAPO;fperez;-273606952;-703172223
503810;COPIAPO;fperez;-273588806;-703341503
503648;COPIAPO;fperez;-273637123;-703230039
503602;COPIAPO;fperez;-273588512;-703342273
503496;COPIAPO;fperez;-273600468;-703229463
2299542;COPIAPO;fperez;-273578623;-703322846
2220669;COPIAPO;fperez;-273551863;-703328336
2038516;COPIAPO;fperez;-273562130;-703330332
2015885;COPIAPO;fperez;-273604778;-703294140
1989511;COPIAPO;fperez;-273600456;-703335177
1962232;COPIAPO;fperez;-273618461;-703167786
1915821;COPIAPO;fperez;-273619826;-703189458
1480067;COPIAPO;fperez;-273550951;-703311774
1397801;COPIAPO;fperez;-273587203;-703312576
1349039;COPIAPO;fperez;-273563239;-703333384
1339222;COPIAPO;fperez;-273782283;-703378057
1501159;COPIAPO;fperez;-273692353;-703396030
1580138;COPIAPO;fperez;-273692114;-703341702
1661940;COPIAPO;fperez;-273661983;-703296119
1731092;COPIAPO;fperez;-273753906;-703367045
1742732;COPIAPO;fperez;-273679552;-703328272
1926659;COPIAPO;fperez;-273619182;-703285189
2052317;COPIAPO;fperez;-273781689;-703409834
