codigolocal;comuna;merchan;latitud;longitud
1421793;LOS ANGELES;mcarvajal;-374981517;-723331468
1439918;LOS ANGELES;mcarvajal;-374952941;-723309512
1640499;LOS ANGELES;mcarvajal;-374865805;-723403974
1658924;LOS ANGELES;mcarvajal;-374830438;-723469376
1679527;LOS ANGELES;mcarvajal;-374875292;-723470002
1706075;LOS ANGELES;mcarvajal;-374935650;-723334595
1813402;LOS ANGELES;mcarvajal;-374819355;-723480568
1923237;LOS ANGELES;mcarvajal;-374901048;-723276675
1964948;LOS ANGELES;mcarvajal;-374932126;-723373223
1990935;LOS ANGELES;mcarvajal;-374834567;-723290349
2156465;LOS ANGELES;mcarvajal;-374809884;-723332339
2214552;LOS ANGELES;mcarvajal;-374885039;-723502123
2241898;LOS ANGELES;mcarvajal;-374981390;-723333158
2273805;LOS ANGELES;mcarvajal;-374916495;-723343620
2361197;LOS ANGELES;mcarvajal;-374874441;-723334205
553980;LOS ANGELES;mcarvajal;-374832933;-723517515
554914;LOS ANGELES;mcarvajal;-374820788;-723395533
555594;LOS ANGELES;mcarvajal;-374867726;-723365934
556694;LOS ANGELES;mcarvajal;-374939595;-723299721
556739;LOS ANGELES;mcarvajal;-374887194;-723289072
556889;LOS ANGELES;mcarvajal;-374894800;-723271000
699188;LOS ANGELES;mcarvajal;-374810602;-723329233
705789;LOS ANGELES;mcarvajal;-374881014;-723510662
774501;LOS ANGELES;mcarvajal;-374808735;-723319486
898636;LOS ANGELES;mcarvajal;-374880661;-723271287
978880;LOS ANGELES;mcarvajal;-374951504;-723312633
834076;LOS ANGELES;mcarvajal;-374602206;-723707506
748597;LOS ANGELES;mcarvajal;-374591000;-723666600
700437;LOS ANGELES;mcarvajal;-374383326;-723200280
557440;LOS ANGELES;mcarvajal;-374521568;-723393622
556503;LOS ANGELES;mcarvajal;-374574466;-723498664
554525;LOS ANGELES;mcarvajal;-374608792;-723691890
553828;LOS ANGELES;mcarvajal;-374531362;-723406640
2339406;LOS ANGELES;mcarvajal;-374593157;-723665144
2320155;LOS ANGELES;mcarvajal;-374579668;-723643291
2259449;LOS ANGELES;mcarvajal;-374386527;-723181509
2235246;LOS ANGELES;mcarvajal;-374539650;-723486493
2227424;LOS ANGELES;mcarvajal;-374507741;-723512969
2219241;LOS ANGELES;mcarvajal;-374606116;-723682390
1963931;LOS ANGELES;mcarvajal;-374462637;-723339627
1758317;LOS ANGELES;mcarvajal;-374440615;-723332983
