codigolocal;comuna;merchan;latitud;longitud
1394171;ANTOFAGASTA;mpacheco;-235237750;-704034342
1647743;ANTOFAGASTA;mpacheco;-235283282;-703966707
1655889;ANTOFAGASTA;mpacheco;-235532399;-703951771
1673350;ANTOFAGASTA;mpacheco;-235520239;-703956769
1862825;ANTOFAGASTA;mpacheco;-235273158;-703979156
1870230;ANTOFAGASTA;mpacheco;-235510642;-703937230
1952764;ANTOFAGASTA;mpacheco;-235320448;-703992977
2116298;ANTOFAGASTA;mpacheco;-235244752;-704030476
2202507;ANTOFAGASTA;mpacheco;-235221260;-704044623
2205644;ANTOFAGASTA;mpacheco;-235237750;-704034342
2208433;ANTOFAGASTA;mpacheco;-235331522;-703955300
2209865;ANTOFAGASTA;mpacheco;-235321072;-703961876
2272532;ANTOFAGASTA;mpacheco;-235505147;-703954536
2285458;ANTOFAGASTA;mpacheco;-235513042;-703951007
2288954;ANTOFAGASTA;mpacheco;-235273030;-703970284
2313125;ANTOFAGASTA;mpacheco;-235311412;-703977227
2332371;ANTOFAGASTA;mpacheco;-235525408;-703932584
2346591;ANTOFAGASTA;mpacheco;-235513610;-703947759
2351696;ANTOFAGASTA;mpacheco;-235530557;-703952135
2397791;ANTOFAGASTA;mpacheco;-235513688;-703945843
2398326;ANTOFAGASTA;mpacheco;-235513673;-703952337
529691;ANTOFAGASTA;mpacheco;-235321072;-703961876
848214;ANTOFAGASTA;mpacheco;-235317844;-703951089
876981;ANTOFAGASTA;mpacheco;-235407391;-703868775
931651;ANTOFAGASTA;mpacheco;-235513865;-703943225
904608;ANTOFAGASTA;mpacheco;-235553284;-703965835
531248;ANTOFAGASTA;mpacheco;-235621741;-703932941
530053;ANTOFAGASTA;mpacheco;-235551096;-703990716
2335758;ANTOFAGASTA;mpacheco;-235558491;-703952482
2331209;ANTOFAGASTA;mpacheco;-235595582;-703951887
2311115;ANTOFAGASTA;mpacheco;-235540601;-703977924
2305166;ANTOFAGASTA;mpacheco;-235539205;-703951981
2305091;ANTOFAGASTA;mpacheco;-235552304;-703969845
2291501;ANTOFAGASTA;mpacheco;-235556220;-703938050
2280041;ANTOFAGASTA;mpacheco;-235554116;-703941344
2278151;ANTOFAGASTA;mpacheco;-235596491;-703947371
2256580;ANTOFAGASTA;mpacheco;-235542566;-703979318
2252261;ANTOFAGASTA;mpacheco;-235562143;-703951815
2213655;ANTOFAGASTA;mpacheco;-235606491;-703945617
2156991;ANTOFAGASTA;mpacheco;-235566473;-703974909
2148461;ANTOFAGASTA;mpacheco;-235590838;-703973849
2102438;ANTOFAGASTA;mpacheco;-235595122;-703932399
2028737;ANTOFAGASTA;mpacheco;-235554539;-703974645
1843459;ANTOFAGASTA;mpacheco;-235623298;-703943042
1798297;ANTOFAGASTA;mpacheco;-235540601;-703977924
1571829;ANTOFAGASTA;mpacheco;-235595359;-703954153
1569959;ANTOFAGASTA;mpacheco;-235539691;-703951306
1539246;ANTOFAGASTA;mpacheco;-235538926;-703951422
1363475;ANTOFAGASTA;mpacheco;-235538926;-703951422
1354345;ANTOFAGASTA;mpacheco;-235567958;-703951667
898724;ANTOFAGASTA;mpacheco;-235737663;-703952134
870657;ANTOFAGASTA;mpacheco;-235724105;-703953670
862547;ANTOFAGASTA;mpacheco;-235644309;-703827632
780883;ANTOFAGASTA;mpacheco;-235738778;-703924742
531226;ANTOFAGASTA;mpacheco;-235629443;-703875710
2437870;ANTOFAGASTA;mpacheco;-235616877;-703810428
2343457;ANTOFAGASTA;mpacheco;-235601273;-703884484
2341432;ANTOFAGASTA;mpacheco;-235761430;-703907165
2331974;ANTOFAGASTA;mpacheco;-235647651;-703882290
2290655;ANTOFAGASTA;mpacheco;-235648041;-703801852
2270831;ANTOFAGASTA;mpacheco;-235647563;-703825947
