codigolocal;comuna;merchan;latitud;longitud
1307976;LOS CARRERAS 602, OSORNO;rvergara;-405714911;-731393230
2043377;OSORNO;rvergara;-405487736;-731584935
2094726;OSORNO;rvergara;-405546317;-731583173
2181240;OSORNO;rvergara;-405530963;-731520389
2233420;LOS LAURELES 1587, OSORNO;rvergara;-405553095;-731579944
2237278;GUILLERMO FRANCKE 20, OSORNO;rvergara;-405705914;-731455852
2253966;OSORNO;rvergara;-405572221;-731549035
2286047;LOS DAMASCOS 272, OSORNO;rvergara;-405555508;-731571719
2318817;OSORNO;rvergara;-405731155;-731375233
2326536;BULNES 575-C, OSORNO;rvergara;-405726578;-731386977
586652;HERIBERTO SCHEUCH 1855, OSORNO;rvergara;-405513390;-731543766
587287;LOS PLATANOS 302, OSORNO;rvergara;-405516222;-731601988
587405;LOS LAURELES 1367, OSORNO;rvergara;-405569599;-731569721
587455;OSORNO;rvergara;-405536765;-731517635
587705;GUILLERMO FRANCKE 220, OSORNO;rvergara;-405678286;-731472564
588081;OSORNO;rvergara;-405514977;-731606746
588460;OSORNO;rvergara;-405550345;-731581295
588713;ERIBERTO SCHEUCH 1680, OSORNO;rvergara;-405522843;-731533653
590031;OSORNO;rvergara;-405644135;-731517751
599409;LOS LAURELES 2223, OSORNO;rvergara;-405498754;-731616691
615950;OSORNO;rvergara;-405605740;-731535320
859364;OSORNO;rvergara;-405505215;-731594180
880806;RAMIREZ 602, OSORNO;rvergara;-405727600;-731401000
924946;OSORNO;rvergara;-405514020;-731573891
991235;PAIPOTE 84, OSORNO;rvergara;-405639355;-731510062
997306;OSORNO;rvergara;-405919071;-731743383
927711;OSORNO;rvergara;-405614153;-731743565
875473;OSORNO;rvergara;-405559901;-731701438
777762;OSORNO;rvergara;-405548699;-731709139
771200;OSORNO;rvergara;-405516657;-731696880
726030;OSORNO;rvergara;-405582267;-731661500
723222;OSORNO;rvergara;-405625625;-731776223
691498;OSORNO;rvergara;-405619779;-731814285
689512;OSORNO;rvergara;-405577640;-731768745
684622;OSORNO;rvergara;-405596580;-731802577
589815;OSORNO;rvergara;-405577956;-731787400
589670;OSORNO;rvergara;-405606959;-731685536
589231;OSORNO;rvergara;-405611292;-731719304
586734;OSORNO;rvergara;-405903073;-731780314
2335149;OSORNO;rvergara;-405567347;-731667000
2271648;OSORNO;rvergara;-405592893;-731647624
2270179;OSORNO;rvergara;-405590682;-731805376
2196944;OSORNO;rvergara;-405611911;-731722932
2075486;OSORNO;rvergara;-405630750;-731815260
1951428;OSORNO;rvergara;-405620273;-731784051
1760795;OSORNO;rvergara;-405589342;-731791587
1720996;OSORNO;rvergara;-405614990;-731798564
1476820;OSORNO;rvergara;-405589650;-731808650
1421662;OSORNO;rvergara;-405546810;-731693882
1356062;OSORNO;rvergara;-405549617;-731712728
977923;OSORNO;rvergara;-405741230;-731518898
795261;OSORNO;rvergara;-405653649;-731655575
