codigolocal;comuna;merchan;latitud;longitud
1387892;CHIGUAYANTE;sfigueroa;-369338230;-730212214
1430408;CHIGUAYANTE;sfigueroa;-369211720;-730300330
1459070;CHIGUAYANTE;sfigueroa;-369584014;-730143536
1652773;CHIGUAYANTE;sfigueroa;-369471726;-730229168
1853684;HUALQUI;sfigueroa;-369808801;-729394022
2153890;CHIGUAYANTE;sfigueroa;-369567306;-730175390
2223672;HUALQUI;sfigueroa;-369756913;-729390404
2237719;HUALQUI;sfigueroa;-369686311;-729307765
2277762;HUALQUI;sfigueroa;-369743971;-729319317
2331392;HUALQUI;sfigueroa;-369756913;-729390404
534837;CHIGUAYANTE;sfigueroa;-369200527;-730291334
536800;CHIGUAYANTE;sfigueroa;-369105616;-730294788
538988;CHIGUAYANTE;sfigueroa;-369059022;-730300233
539064;CHIGUAYANTE;sfigueroa;-369256678;-730345091
539616;CHIGUAYANTE;sfigueroa;-369353152;-730211416
542909;HUALQUI;sfigueroa;-369720910;-729378060
544603;CHIGUAYANTE;sfigueroa;-369293430;-730232860
549798;CHIGUAYANTE;sfigueroa;-369353152;-730211416
784013;CURANILAHUE;sfigueroa;-368960824;-730323487
788568;CHIGUAYANTE;sfigueroa;-369185739;-730324101
796809;CHIGUAYANTE;sfigueroa;-369259690;-730297827
863101;HUALQUI;sfigueroa;-369645025;-729292694
993226;CHIGUAYANTE;sfigueroa;-369580634;-730164127
998607;HUALPEN;sfigueroa;-367927834;-730929363
934121;HUALPEN;sfigueroa;-367947756;-730912493
920168;HUALPEN;sfigueroa;-367866757;-731099531
904314;HUALPEN;sfigueroa;-367924929;-730887327
876090;TREGUACO;sfigueroa;-368023648;-730898819
849611;HUALPEN;sfigueroa;-367866757;-731099531
818218;HUALPEN;sfigueroa;-367958911;-730932833
778266;HUALPEN;sfigueroa;-368002174;-731064615
542932;HUALPEN;sfigueroa;-367936267;-730962676
542674;HUALPEN;sfigueroa;-367857567;-731065478
537875;HUALPEN;sfigueroa;-367960421;-730895794
536950;HUALPEN;sfigueroa;-368006065;-730819017
