codigolocal;comuna;merchan;latitud;longitud
1356722;CAUQUENES;sfuenzalida;-359511588;-723403718
1704385;CAUQUENES;sfuenzalida;-359540345;-723364489
1717048;CAUQUENES;sfuenzalida;-359604043;-723348707
2055658;CAUQUENES;sfuenzalida;-359480161;-723469709
2059048;CAUQUENES;sfuenzalida;-359617077;-723365747
2127073;CAUQUENES;sfuenzalida;-359527073;-723486395
2212294;CAUQUENES;sfuenzalida;-359555542;-723346474
2295694;CAUQUENES;sfuenzalida;-359531203;-723326232
546463;CAUQUENES;sfuenzalida;-359510901;-723471521
547287;CAUQUENES;sfuenzalida;-359621320;-723358089
547466;CAUQUENES;sfuenzalida;-359517947;-723487911
547911;CAUQUENES;sfuenzalida;-359549189;-723335010
547938;CAUQUENES;sfuenzalida;-359572021;-723376382
548038;CAUQUENES;sfuenzalida;-359521077;-723502901
548368;CAUQUENES;sfuenzalida;-359498043;-723394610
548433;CAUQUENES;sfuenzalida;-359588258;-723335137
548859;CAUQUENES;sfuenzalida;-359632838;-723341198
549172;CAUQUENES;sfuenzalida;-359585354;-723352523
693431;CAUQUENES;sfuenzalida;-359553827;-723416112
727685;CAUQUENES;sfuenzalida;-359595521;-723362827
751499;CAUQUENES;sfuenzalida;-359543014;-723457800
787818;CAUQUENES;sfuenzalida;-359550730;-723418627
833663;CAUQUENES;sfuenzalida;-359533008;-723451950
920933;CAUQUENES;sfuenzalida;-359536228;-723507930
992616;CAUQUENES;sfuenzalida;-359596401;-723364643
994738;SAN NICOLAS;sfuenzalida;-365000835;-722156655
915680;SAN NICOLAS;sfuenzalida;-365025670;-722162390
873389;PINTO;sfuenzalida;-365990571;-721067112
809414;SAN NICOLAS;sfuenzalida;-365012307;-722194848
574594;SAN NICOLAS;sfuenzalida;-366023918;-721078582
549598;SAN NICOLAS;sfuenzalida;-366119513;-721007581
548812;COIHUECO;sfuenzalida;-366283325;-718325898
548377;COIHUECO;sfuenzalida;-366224491;-718311390
548311;COIHUECO;sfuenzalida;-366280761;-718356684
548056;PINTO;sfuenzalida;-366093192;-721105133
547764;SAN CARLOS;sfuenzalida;-365260360;-720698178
547589;SAN NICOLAS;sfuenzalida;-365039429;-722122100
547541;SAN NICOLAS;sfuenzalida;-366047421;-721085665
546994;NINHUE;sfuenzalida;-366024789;-721073851
546444;SAN NICOLAS;sfuenzalida;-366009205;-721072788
2307844;SAN NICOLAS;sfuenzalida;-364974690;-722143630
2302219;SAN NICOLAS;sfuenzalida;-365010600;-722127212
2270103;QUILLON;sfuenzalida;-366135366;-721118269
2118400;SAN NICOLAS;sfuenzalida;-365040726;-722008380
2113985;SAN NICOLAS;sfuenzalida;-365130978;-721952934
1934713;COIHUECO;sfuenzalida;-366283325;-718325898
1920836;COIHUECO;sfuenzalida;-366232239;-718284575
1701922;SAN NICOLAS;sfuenzalida;-366049261;-721082785
1682256;SAN NICOLAS;sfuenzalida;-366024348;-721078746
1418132;COIHUECO;sfuenzalida;-366270623;-718304342
1379616;SAN NICOLAS;sfuenzalida;-364973332;-722161604
981185;SAN CARLOS;sfuenzalida;-364181549;-719747960
904515;SAN CARLOS;sfuenzalida;-364173081;-719744454
890154;SAN CARLOS;sfuenzalida;-364335725;-719685893
869958;SAN CARLOS;sfuenzalida;-364331646;-719647502
753200;SAN CARLOS;sfuenzalida;-364172032;-719718324
713899;SAN CARLOS;sfuenzalida;-363582831;-719286739
548308;SAN CARLOS;sfuenzalida;-364277411;-719647000
548243;SAN CARLOS;sfuenzalida;-364183608;-719662608
547824;SAN CARLOS;sfuenzalida;-364259693;-719689423
547751;SAN CARLOS;sfuenzalida;-364259693;-719689423
547685;SAN CARLOS;sfuenzalida;-364259693;-719689423
547666;SAN CARLOS;sfuenzalida;-364259693;-719689423
547647;SAN CARLOS;sfuenzalida;-364352339;-719676682
2426048;SAN CARLOS;sfuenzalida;-364259693;-719689423
2312078;SAN CARLOS;sfuenzalida;-364186089;-719686551
