codigolocal;comuna;merchan;latitud;longitud
1323056;PUERTO MONTT;vortega;-413828945;-728985844
1324720;PUERTO MONTT;vortega;-413978808;-729041788
1338865;PUERTO MONTT;vortega;-413810108;-729131928
1495393;PUERTO MONTT;vortega;-413925187;-728987492
1498869;PUERTO MONTT;vortega;-413798441;-729147068
1538961;PUERTO MONTT;vortega;-414002565;-729045619
1681747;PUERTO MONTT;vortega;-413958071;-729179600
1697182;PUERTO MONTT;vortega;-414032962;-729145370
2014210;PUERTO MONTT;vortega;-413959773;-729003491
2233691;PUERTO MONTT;vortega;-413921257;-729035223
2246382;PUERTO MONTT;vortega;-414056060;-729164920
2262348;PUERTO MONTT;vortega;-413958118;-729186825
2341377;PUERTO MONTT;vortega;-413836833;-728980385
580661;PUERTO MONTT;vortega;-413970015;-729195281
581793;PUERTO MONTT;vortega;-413909376;-729002259
582446;PUERTO MONTT;vortega;-414012891;-729121444
583275;PUERTO MONTT;vortega;-413845392;-729002419
583386;PUERTO MONTT;vortega;-413820858;-729000413
715232;PUERTO MONTT;vortega;-413904870;-728993500
745123;PUERTO MONTT;vortega;-414002161;-729112848
761141;PUERTO MONTT;vortega;-414002161;-729112848
775152;PUERTO MONTT;vortega;-413860568;-729100430
775156;PUERTO MONTT;vortega;-413875510;-729116870
838880;PUERTO MONTT;vortega;-414033066;-729166251
863611;PUERTO MONTT;vortega;-413975978;-729083988
895877;PUERTO MONTT;vortega;-413959821;-729000596
998263;PUERTO MONTT;vortega;-414660570;-729922017
981586;PUERTO MONTT;vortega;-414658944;-729885913
834034;PUERTO MONTT;vortega;-414682437;-729951651
829675;PUERTO MONTT;vortega;-414713101;-729989130
802598;PUERTO MONTT;vortega;-414642077;-729959521
694235;PUERTO MONTT;vortega;-414690890;-729935214
687382;PUERTO MONTT;vortega;-414700365;-729966527
615848;PUERTO MONTT;vortega;-414624400;-729957810
591715;PUERTO MONTT;vortega;-414656470;-729971450
581264;PUERTO MONTT;vortega;-414648223;-729808524
2329090;PUERTO MONTT;vortega;-414736267;-730007369
2325834;PUERTO MONTT;vortega;-414702291;-730000563
2302030;PUERTO MONTT;vortega;-414714888;-730015307
2200537;PUERTO MONTT;vortega;-414651171;-729912461
2034701;PUERTO MONTT;vortega;-414639727;-729822138
1963440;PUERTO MONTT;vortega;-414639727;-729822138
1670296;PUERTO MONTT;vortega;-414725472;-730010579
1636537;PUERTO MONTT;vortega;-414655047;-729866313
1491257;PUERTO MONTT;vortega;-414711700;-729996800
1368924;PUERTO MONTT;vortega;-414659330;-729973580
1355488;PUERTO MONTT;vortega;-414674142;-729987746
1334365;PUERTO MONTT;vortega;-414713312;-730017423
887289;PUERTO MONTT;vortega;-414643665;-729628029
847152;PUERTO MONTT;vortega;-414627709;-729572201
801263;PUERTO MONTT;vortega;-414645138;-729648570
787963;PUERTO MONTT;vortega;-414667644;-729550497
754385;PUERTO MONTT;vortega;-414657488;-729613756
704896;PUERTO MONTT;vortega;-414645462;-729587351
686287;PUERTO MONTT;vortega;-414640349;-729675231
583162;PUERTO MONTT;vortega;-414640269;-729616483
582798;PUERTO MONTT;vortega;-414650833;-729616981
582161;PUERTO MONTT;vortega;-414642527;-729609465
582156;PUERTO MONTT;vortega;-414647839;-729582633
581566;PUERTO MONTT;vortega;-414643174;-729668013
2352930;PUERTO MONTT;vortega;-414654693;-729610059
2283814;PUERTO MONTT;vortega;-414598860;-729690832
2271138;PUERTO MONTT;vortega;-414664239;-729600948
2188211;PUERTO MONTT;vortega;-414689017;-729602108
2151713;PUERTO MONTT;vortega;-414639996;-729658492
1969128;PUERTO MONTT;vortega;-414683113;-729686654
1922932;PUERTO MONTT;vortega;-414682212;-729599761
1854020;PUERTO MONTT;vortega;-414612894;-729638882
1760641;PUERTO MONTT;vortega;-414675677;-729594592
1646866;PUERTO MONTT;vortega;-414655891;-729606242
1511015;PUERTO MONTT;vortega;-414640110;-729595515
1397957;PUERTO MONTT;vortega;-414673814;-729556522
992237;PUERTO MONTT;vortega;-414802491;-729806092
890089;PUERTO MONTT;vortega;-414802466;-729854665
869496;PUERTO MONTT;vortega;-414801329;-729973030
717688;PUERTO MONTT;vortega;-414768758;-729908529
583662;PUERTO MONTT;vortega;-414795144;-729857355
582792;PUERTO MONTT;vortega;-414704450;-729808052
581876;PUERTO MONTT;vortega;-414761512;-729916357
2393882;PUERTO MONTT;vortega;-414826971;-729911063
2306340;PUERTO MONTT;vortega;-414750130;-729872350
2248258;PUERTO MONTT;vortega;-414839856;-730023225
2230851;PUERTO MONTT;vortega;-414817250;-729934877
2096501;PUERTO MONTT;vortega;-414722692;-729783892
2080659;PUERTO MONTT;vortega;-414793923;-729925358
2059089;PUERTO MONTT;vortega;-414848456;-729978751
2024481;PUERTO MONTT;vortega;-414823305;-729958734
1944046;PUERTO MONTT;vortega;-414729715;-729864583
1941949;PUERTO MONTT;vortega;-414895004;-730035652
1901656;PUERTO MONTT;vortega;-414936249;-730175580
1809045;PUERTO MONTT;vortega;-414810406;-729866313
1700703;PUERTO MONTT;vortega;-414874118;-730013974
1643358;PUERTO MONTT;vortega;-414798542;-729874350
1475266;PUERTO MONTT;vortega;-414879148;-730040462
1468879;PUERTO MONTT;vortega;-414791643;-729815915
1350625;PUERTO MONTT;vortega;-414871445;-730010118
1330346;PUERTO MONTT;vortega;-414794555;-729812211
1377986;PUERTO MONTT;vortega;-414799277;-729723917
1748547;PUERTO MONTT;vortega;-414735582;-729732351
1755365;PUERTO MONTT;vortega;-414782510;-729730802
1942954;PUERTO MONTT;vortega;-414799223;-729721374
2012636;PUERTO MONTT;vortega;-414797170;-729660900
2099161;PUERTO MONTT;vortega;-414892158;-729828128
2219141;PUERTO MONTT;vortega;-414755513;-729731461
2259691;PUERTO MONTT;vortega;-414835118;-729705468
2294042;PUERTO MONTT;vortega;-414766680;-729781521
2449846;PUERTO MONTT;vortega;-414800799;-729682349
581795;PUERTO MONTT;vortega;-414764321;-729718759
582037;PUERTO MONTT;vortega;-414722348;-729684963
582075;PUERTO MONTT;vortega;-414860089;-729755966
582090;PUERTO MONTT;vortega;-414855940;-729765980
582647;PUERTO MONTT;vortega;-414769300;-729781200
582682;PUERTO MONTT;vortega;-414767168;-729803100
590409;PUERTO MONTT;vortega;-414800884;-729779241
590690;PUERTO MONTT;vortega;-414768357;-729776069
708717;PUERTO MONTT;vortega;-414810393;-729787556
728167;PUERTO MONTT;vortega;-414687866;-729709120
767367;PUERTO MONTT;vortega;-414778708;-729695165
810452;PUERTO MONTT;vortega;-414800715;-729792504
826208;PUERTO MONTT;vortega;-414765194;-729784315
990627;PUERTO MONTT;vortega;-414679390;-729724427
992831;PUERTO MONTT;vortega;-414775610;-729684012
1321027;PUERTO MONTT;vortega;-414490942;-729596408
1327516;PUERTO MONTT;vortega;-414476686;-729568479
1330321;PUERTO MONTT;vortega;-414442045;-730375026
1331056;PUERTO MONTT;vortega;-414552653;-729460219
1350032;PUERTO MONTT;vortega;-414597588;-729851928
1388919;PUERTO MONTT;vortega;-414484801;-729597937
1746034;PUERTO MONTT;vortega;-414555222;-729908259
1845765;PUERTO MONTT;vortega;-414598245;-729475618
1902416;PUERTO MONTT;vortega;-414552235;-729486991
2034319;PUERTO MONTT;vortega;-414585654;-729487903
2035982;PUERTO MONTT;vortega;-414577315;-729478941
2153106;PUERTO MONTT;vortega;-414541622;-729589870
2202166;PUERTO MONTT;vortega;-414575252;-729495039
2232605;PUERTO MONTT;vortega;-414586744;-729458540
2313335;PUERTO MONTT;vortega;-414573220;-729541380
2351619;PUERTO MONTT;vortega;-414481050;-729627042
2352141;PUERTO MONTT;vortega;-414498237;-729590094
582249;PUERTO MONTT;vortega;-414615054;-729512249
582516;PUERTO MONTT;vortega;-414531599;-729613100
583793;PUERTO MONTT;vortega;-414563213;-729495978
757884;PUERTO MONTT;vortega;-414548614;-729493901
787022;PUERTO MONTT;vortega;-414569035;-729912903
846446;PUERTO MONTT;vortega;-414499366;-729566911
869405;PUERTO MONTT;vortega;-414574277;-729440612
895974;PUERTO MONTT;vortega;-414573840;-729885019
981733;PUERTO MONTT;vortega;-414542856;-729413501
1310484;PUERTO MONTT;vortega;-414835839;-729619936
1380020;PUERTO MONTT;vortega;-414823791;-729605796
1442055;PUERTO MONTT;vortega;-415278470;-730523360
1601253;PUERTO MONTT;vortega;-415246961;-730628965
1606313;PUERTO MONTT;vortega;-414805653;-729553109
1649415;PUERTO MONTT;vortega;-415302400;-730554929
1678799;PUERTO MONTT;vortega;-414805321;-729553100
1747367;PUERTO MONTT;vortega;-414859074;-729669229
1809423;PUERTO MONTT;vortega;-415280449;-730620024
1937814;PUERTO MONTT;vortega;-415259069;-730575959
2029030;PUERTO MONTT;vortega;-416073148;-731060364
2141732;PUERTO MONTT;vortega;-415291130;-730574529
2197322;PUERTO MONTT;vortega;-415297299;-730451447
2253840;PUERTO MONTT;vortega;-415267320;-730527802
2320785;PUERTO MONTT;vortega;-415299450;-730534872
2349268;PUERTO MONTT;vortega;-415276028;-730645719
582989;PUERTO MONTT;vortega;-414853124;-729866722
584415;PUERTO MONTT;vortega;-414853782;-729633276
686155;PUERTO MONTT;vortega;-414801116;-729531258
706815;PUERTO MONTT;vortega;-414772973;-729495503
759453;PUERTO MONTT;vortega;-414837005;-729623199
768669;PUERTO MONTT;vortega;-414833394;-729609921
775933;PUERTO MONTT;vortega;-415227930;-730446630
779069;PUERTO MONTT;vortega;-414777279;-729512592
921177;PUERTO MONTT;vortega;-414917184;-729859901
1429765;PUERTO MONTT;vortega;-414593890;-729081213
1471175;PUERTO MONTT;vortega;-414554057;-729043949
1476364;PUERTO MONTT;vortega;-414676234;-729068834
1488132;PUERTO MONTT;vortega;-414612854;-729139080
