codigolocal;comuna;merchan;latitud;longitud
2256503;VESPUCIO;JVARGAS;-334490656;-707390396
2302103;VESPUCIO;JVARGAS;-334335446;-706415556
2060251;VESPUCIO;JVARGAS;-334332801;-706426500
2183979;VESPUCIO;JVARGAS;-334332228;-707311704
2259368;VESPUCIO;JVARGAS;-334333066;-707248055
2217835;VESPUCIO;JVARGAS;-334327888;-707270518
2196780;VESPUCIO;JVARGAS;-334316498;-707379313
676521;VESPUCIO;JVARGAS;-334305315;-707201102
1696597;VESPUCIO;JVARGAS;-334301953;-706385226
677356;VESPUCIO;JVARGAS;-334301660;-706415713
753764;VESPUCIO;JVARGAS;-334301794;-707221978
2251004;VESPUCIO;JVARGAS;-334297311;-706540477
2226751;VESPUCIO;JVARGAS;-334295657;-706536336
1691544;VESPUCIO;JVARGAS;-334288268;-707284249
2216045;VESPUCIO;JVARGAS;-334291681;-707297373
1921610;VESPUCIO;JVARGAS;-334281622;-706419991
1725057;VESPUCIO;JVARGAS;-334271089;-706442686
2237307;VESPUCIO;JVARGAS;-334262918;-706583612
2227112;VESPUCIO;JVARGAS;-334256125;-706457191
730511;VESPUCIO;JVARGAS;-334259635;-706432384
2182765;VESPUCIO;JVARGAS;-334245300;-706551375
788271;VESPUCIO;JVARGAS;-334241720;-706514061
2289215;VESPUCIO;JVARGAS;-334234615;-706636111
2273549;VESPUCIO;JVARGAS;-334233804;-706424866
2328698;VESPUCIO;JVARGAS;-334230438;-706472169
642339;VESPUCIO;JVARGAS;-334227457;-706583220
1702277;VESPUCIO;JVARGAS;-334225781;-706579748
931720;VESPUCIO;JVARGAS;-334222048;-706573091
2174913;VESPUCIO;JVARGAS;-334220612;-706466278
1571432;VESPUCIO;JVARGAS;-334215380;-706416318
1575527;VESPUCIO;JVARGAS;-334213320;-706514561
2207113;VESPUCIO;JVARGAS;-334191152;-707275316
780178;VESPUCIO;JVARGAS;-334191020;-707231941
817123;VESPUCIO;JVARGAS;-334185559;-706750746
1636572;VESPUCIO;JVARGAS;-334257275;-707431665
1685194;VESPUCIO;JVARGAS;-334167325;-706408917
2197062;VESPUCIO;JVARGAS;-334278451;-707489110
1479439;VESPUCIO;JVARGAS;-334213757;-707190367
1696540;VESPUCIO;JVARGAS;-334212972;-707660247
1380897;VESPUCIO;JVARGAS;-334205740;-707341660
783323;VESPUCIO;JVARGAS;-334167065;-706585467
1911662;VESPUCIO;JVARGAS;-334205523;-707397271
1342949;VESPUCIO;JVARGAS;-334150228;-707452123
2200533;VESPUCIO;JVARGAS;-334161767;-706435919
653518;VESPUCIO;JVARGAS;-334155779;-706621659
771681;VESPUCIO;JVARGAS;-334204086;-707596705
1902268;VESPUCIO;JVARGAS;-334153919;-706382968
638441;VESPUCIO;JVARGAS;-334144036;-706771517
700755;VESPUCIO;JVARGAS;-334196929;-707451111
2045339;VESPUCIO;JVARGAS;-334196718;-707408793
664680;VESPUCIO;JVARGAS;-334134650;-706764438
1302191;VESPUCIO;JVARGAS;-334186928;-707386788
667060;VESPUCIO;JVARGAS;-334119640;-706266168
1727087;VESPUCIO;JVARGAS;-334109888;-706628645
2231724;VESPUCIO;JVARGAS;-334082880;-706434385
1330600;VESPUCIO;JVARGAS;-334230120;-707506624
2227662;VESPUCIO;JVARGAS;-334211235;-707459544
2220501;VESPUCIO;JVARGAS;-334060451;-706685609
1349490;VESPUCIO;JVARGAS;-334063583;-706353344
1433653;VESPUCIO;JVARGAS;-334055084;-706329193
1960605;VESPUCIO;JVARGAS;-334182800;-707395209
2215899;VESPUCIO;JVARGAS;-334022797;-706474639
929277;VESPUCIO;JVARGAS;-334019273;-706500402
2312996;VESPUCIO;JVARGAS;-334009731;-706614426
666769;VESPUCIO;JVARGAS;-334009418;-706717370
1646077;VESPUCIO;JVARGAS;-333999028;-706294355
1866087;VESPUCIO;JVARGAS;-333994424;-706645907
1385958;VESPUCIO;JVARGAS;-333993949;-706284892
787067;VESPUCIO;JVARGAS;-333994294;-706375312
2128790;VESPUCIO;JVARGAS;-334204322;-707342833
657260;VESPUCIO;JVARGAS;-333988052;-706816479
1304414;VESPUCIO;JVARGAS;-333983117;-706501085
1429411;VESPUCIO;JVARGAS;-333979771;-706571138
2201970;VESPUCIO;JVARGAS;-333951352;-706675868
676081;VESPUCIO;JVARGAS;-333945952;-706403380
677544;VESPUCIO;JVARGAS;-333935751;-706767271
1448743;VESPUCIO;JVARGAS;-333925136;-706446266
1913087;VESPUCIO;JVARGAS;-333920838;-706322013
1427333;VESPUCIO;JVARGAS;-333911064;-706426665
2007856;VESPUCIO;JVARGAS;-333911396;-706701327
1387411;VESPUCIO;JVARGAS;-333901932;-706446017
1834426;VESPUCIO;JVARGAS;-333893841;-706616073
1735399;VESPUCIO;JVARGAS;-333917161;-706428134
1318515;VESPUCIO;JVARGAS;-333886738;-706420664
645965;VESPUCIO;JVARGAS;-333865331;-706582899
1358971;VESPUCIO;JVARGAS;-333840031;-706452988
666504;VESPUCIO;JVARGAS;-333839073;-706494833
662867;VESPUCIO;JVARGAS;-333838161;-706495176
739197;VESPUCIO;JVARGAS;-334181435;-707500094
754339;VESPUCIO;JVARGAS;-334180152;-707501797
2062766;VESPUCIO;JVARGAS;-334177447;-707586816
659472;VESPUCIO;JVARGAS;-334172509;-707476135
711285;VESPUCIO;JVARGAS;-334167791;-707652775
769853;VESPUCIO;JVARGAS;-333652020;-707461967
1750464;VESPUCIO;JVARGAS;-334269864;-707610966
2278778;VESPUCIO;JVARGAS;-333637226;-707454577
2292074;VESPUCIO;JVARGAS;-334143651;-707296213
677149;VESPUCIO;JVARGAS;-334364184;-707328595
715761;VESPUCIO;JVARGAS;-334338218;-707255073
2185955;VESPUCIO;JVARGAS;-334335442;-706416805
2261028;VESPUCIO;JVARGAS;-334334223;-706353382
2359543;VESPUCIO;JVARGAS;-334325412;-706419446
2253490;VESPUCIO;JVARGAS;-334325993;-707270512
2185956;VESPUCIO;JVARGAS;-334316099;-706370471
1335500;VESPUCIO;JVARGAS;-334302740;-706396586
642296;VESPUCIO;JVARGAS;-334308963;-706432121
690643;VESPUCIO;JVARGAS;-334302565;-706414653
654978;VESPUCIO;JVARGAS;-334294054;-706456314
660656;VESPUCIO;JVARGAS;-334289061;-706427246
729291;VESPUCIO;JVARGAS;-334276379;-707192398
2265960;VESPUCIO;JVARGAS;-334256753;-707234147
2391129;VESPUCIO;JVARGAS;-334245653;-707329480
669666;VESPUCIO;JVARGAS;-334247222;-706458199
2354133;VESPUCIO;JVARGAS;-334221392;-706440247
643843;VESPUCIO;JVARGAS;-334136795;-707422140
1307206;VESPUCIO;JVARGAS;-334218359;-706463903
2214990;VESPUCIO;JVARGAS;-334217400;-706758742
646948;VESPUCIO;JVARGAS;-334216179;-707180128
650659;VESPUCIO;JVARGAS;-334214914;-707180940
