codigolocal;comuna;merchan;latitud;longitud
981151;MAIPU;MCLAVERO;-335135595;-707474994
1307280;MAIPU;MCLAVERO;-335105866;-707572607
1335193;MAIPU;MCLAVERO;-334975309;-707439600
988117;MAIPU;MCLAVERO;-334896674;-707465139
931812;MAIPU;MCLAVERO;-334886859;-707374393
642115;PIRAMIDE;MCLAVERO;-335119380;-706942051
665788;PIRAMIDE;MCLAVERO;-335169124;-706921163
2337542;PIRAMIDE;MCLAVERO;-335167408;-706877107
2421928;PIRAMIDE;MCLAVERO;-335164029;-706937713
1649091;PIRAMIDE;MCLAVERO;-335145613;-706831556
2368919;PIRAMIDE;MCLAVERO;-335125363;-706920094
871878;PIRAMIDE;MCLAVERO;-335099228;-706934284
896494;PIRAMIDE;MCLAVERO;-335043723;-706914486
2413218;MODELO;MCLAVERO;-334488931;-706755966
992389;MODELO;MCLAVERO;-334377439;-706802843
788695;MAIPU;MCLAVERO;-335657921;-707805773
649499;MAIPU;MCLAVERO;-335642721;-707856781
1942812;MAIPU;MCLAVERO;-335622322;-707768218
1366941;MAIPU;MCLAVERO;-335582456;-707905827
687873;MAIPU;MCLAVERO;-335516121;-707946907
2366304;MAIPU;MCLAVERO;-335506179;-707637957
883499;MAIPU;MCLAVERO;-335502030;-707647143
1799908;MAIPU;MCLAVERO;-335186230;-707911223
1365900;MAIPU;MCLAVERO;-335475159;-707703899
656586;MAIPU;MCLAVERO;-335474435;-707663158
659036;MAIPU;MCLAVERO;-335467094;-707712492
2305782;MAIPU;MCLAVERO;-335105866;-707572607
663226;MAIPU;MCLAVERO;-335401546;-707732860
1545572;MAIPU;MCLAVERO;-335405634;-707817250
1659160;MAIPU;MCLAVERO;-335384281;-707903679
2141470;MAIPU;MCLAVERO;-335393644;-707783576
671273;MAIPU;MCLAVERO;-335377772;-707813237
653061;MAIPU;MCLAVERO;-335374137;-707847976
798653;MAIPU;MCLAVERO;-335363185;-707832756
701045;MAIPU;MCLAVERO;-335146751;-707844686
2353798;MAIPU;MCLAVERO;-335352285;-707918500
901593;MAIPU;MCLAVERO;-335332669;-707961118
661807;MAIPU;MCLAVERO;-335325802;-707820439
772466;MAIPU;MCLAVERO;-335314254;-707724414
2150576;MAIPU;MCLAVERO;-335311483;-707786097
2009337;MAIPU;MCLAVERO;-335270485;-707408507
707680;MAIPU;MCLAVERO;-335219326;-707893997
654465;MAIPU;MCLAVERO;-335149020;-707618840
655447;MAIPU;MCLAVERO;-335143586;-707471831
2201178;MAIPU;MCLAVERO;-335104219;-707750961
1755612;MAIPU;MCLAVERO;-335126975;-707906200
671059;MAIPU;MCLAVERO;-335123006;-708266978
1321745;MAIPU;MCLAVERO;-335108358;-707908000
2348560;MAIPU;MCLAVERO;-335108388;-707904248
1381295;MAIPU;MCLAVERO;-335097894;-707684235
2206135;MAIPU;MCLAVERO;-335156794;-708021213
1647255;MAIPU;MCLAVERO;-334305316;-707633036
1786656;MAIPU;MCLAVERO;-335008394;-707397177
975801;MAIPU;MCLAVERO;-335079746;-707973025
2353228;MAIPU;MCLAVERO;-335065000;-707909871
922072;MAIPU;MCLAVERO;-335013570;-707843480
2061388;MAIPU;MCLAVERO;-334999181;-707407868
787857;MAIPU;MCLAVERO;-335007363;-707940287
655187;MAIPU;MCLAVERO;-334996436;-707399970
649169;MAIPU;MCLAVERO;-334960690;-707521296
2208144;MAIPU;MCLAVERO;-334910959;-707594048
2175649;MAIPU;MCLAVERO;-334904406;-707637383
2224744;MAIPU;MCLAVERO;-334936253;-707068856
2169347;MAIPU;MCLAVERO;-334917650;-707085593
1641155;MAIPU;MCLAVERO;-334896404;-707667581
2236361;MAIPU;MCLAVERO;-334901363;-707164520
1996918;MAIPU;MCLAVERO;-334804337;-707341797
2293202;MAIPU;MCLAVERO;-334735728;-707537352
2202126;MAIPU;MCLAVERO;-334803049;-706900119
1459216;MAIPU;MCLAVERO;-334664873;-707411915
2168710;MAIPU;MCLAVERO;-334647564;-707538870
1941227;MAIPU;MCLAVERO;-334621191;-707406936
655470;MAIPU;MCLAVERO;-334621922;-707467405
706623;MAIPU;MCLAVERO;-334611938;-707346184
895595;MAIPU;MCLAVERO;-334587010;-707586957
1890485;MAIPU;MCLAVERO;-334578137;-707194220
931510;MAIPU;MCLAVERO;-334560259;-707647488
1951265;MAIPU;MCLAVERO;-334562126;-707335736
2257417;MAIPU;MCLAVERO;-334573739;-706915161
1393690;MAIPU;MCLAVERO;-334538931;-707601862
722867;MAIPU;MCLAVERO;-334540960;-707611946
782188;MAIPU;MCLAVERO;-334536188;-707465412
1382740;MAIPU;MCLAVERO;-334523954;-707635245
893760;MAIPU;MCLAVERO;-334514100;-708506100
657347;MAIPU;MCLAVERO;-334514670;-707668316
2375091;MAIPU;MCLAVERO;-334501819;-708461371
711817;MAIPU;MCLAVERO;-334486514;-708410329
1824488;MAIPU;MCLAVERO;-334485025;-708424148
2208872;MAIPU;MCLAVERO;-334471309;-708436549
2350088;MAIPU;MCLAVERO;-334489427;-707532500
2242242;MAIPU;MCLAVERO;-333998204;-708833788
1951490;MAIPU;MCLAVERO;-334484986;-707490919
874050;MAIPU;MCLAVERO;-334475899;-707611017
1642397;MAIPU;MCLAVERO;-333954467;-708653923
