codigolocal;comuna;merchan;latitud;longitud
1310916;MODELO;NRAMIREZ;-334508790;-706409360
2445557;PIRAMIDE;NRAMIREZ;-335054488;-705919705
2390899;PIRAMIDE;NRAMIREZ;-334989583;-705645699
2157706;PIRAMIDE;NRAMIREZ;-334848700;-705272491
1915350;PIRAMIDE;NRAMIREZ;-334713822;-705628802
2389873;PIRAMIDE;NRAMIREZ;-334659036;-705654138
2065037;PIRAMIDE;NRAMIREZ;-334378870;-706458090
904654;MODELO;NRAMIREZ;-334755774;-706448689
789529;MODELO;NRAMIREZ;-334733362;-706680922
783667;MODELO;NRAMIREZ;-334604726;-706550453
2278053;MODELO;NRAMIREZ;-334593748;-706463123
2248502;MODELO;NRAMIREZ;-334580498;-706414377
652985;MODELO;NRAMIREZ;-334561970;-706412915
664924;MODELO;NRAMIREZ;-334500620;-706677761
816513;MODELO;NRAMIREZ;-334565136;-706639469
2265154;MODELO;NRAMIREZ;-334532491;-706676973
2265918;MODELO;NRAMIREZ;-334488897;-706692655
1374901;MODELO;NRAMIREZ;-334498046;-706762264
2349953;MODELO;NRAMIREZ;-334681646;-706275260
2236640;MODELO;NRAMIREZ;-334483739;-706680848
1900125;MODELO;NRAMIREZ;-334476701;-706371175
2260231;MODELO;NRAMIREZ;-334590586;-706305445
894348;MODELO;NRAMIREZ;-334474353;-706411011
2205673;MODELO;NRAMIREZ;-334530098;-706486117
2175081;MODELO;NRAMIREZ;-334512112;-706561011
1442476;MODELO;NRAMIREZ;-334506171;-706338154
1461497;MODELO;NRAMIREZ;-334499009;-706432185
2303987;MODELO;NRAMIREZ;-334483625;-706437012
2013317;MODELO;NRAMIREZ;-334439311;-706556407
1317924;MODELO;NRAMIREZ;-334570074;-706113426
1952057;MODELO;NRAMIREZ;-334474198;-706331902
1926773;MODELO;NRAMIREZ;-334424845;-706580691
652979;MODELO;NRAMIREZ;-334467717;-706359418
2406788;MODELO;NRAMIREZ;-334464560;-706516359
669518;MODELO;NRAMIREZ;-334483260;-706582300
