CODIGO,NOMBRE,DIRECCION,DISTRITO,ZONA,FECHA VISITA,¿HAY COOLER CON NUEVA CENEFA?,CANTIDAD DE PUERTAS,HAY PRESENCIA DE RB EN ALGUNA DE LAS PUERTAS,FULL BANDEJA EJECUTADA,FOTO CCU,NUMERO DE FOTO
2199855,(ALMACEN) MINIMARKET DIEGO ALEXI GONZALEZ GON,CALLE UNO NORTE D 1193,MODELO,CENTRO,2026-01-09 00:00:00,SI,4 +,SI,SI,https://visibility.cl/visibility2/app/uploads/2026-01-09/pregunta_32647/qfoto_69611f653e1be4.34801968.webp,1
2199855,(ALMACEN) MINIMARKET DIEGO ALEXI GONZALEZ GON,CALLE UNO NORTE D 1193,MODELO,CENTRO,2026-01-09 00:00:00,SI,4 +,SI,SI,https://visibility.cl/visibility2/app/uploads/2026-01-09/pregunta_32647/qfoto_69612043c94178.54777087.webp,2
2199855,(ALMACEN) MINIMARKET DIEGO ALEXI GONZALEZ GON,CALLE UNO NORTE D 1193,MODELO,CENTRO,2026-01-09 00:00:00,SI,4 +,SI,SI,https://visibility.cl/visibility2/app/uploads/2026-01-09/pregunta_32647/qfoto_69612052e28481.73342681.webp,3
2245524,(ALMACEN) MINIMARKET GERSON INOSTROZA E.I.R.L,"GETSEMANÍ 299, LO BARNECHEA",MODELO,CENTRO,2026-01-09 00:00:00,SI,4 +,SI,SI,https://visibility.cl/visibility2/app/uploads/2026-01-09/pregunta_32647/qfoto_696119ccb9c244.78106356.webp,1
2245524,(ALMACEN) MINIMARKET GERSON INOSTROZA E.I.R.L,"GETSEMANÍ 299, LO BARNECHEA",MODELO,CENTRO,2026-01-09 00:00:00,SI,4 +,SI,SI,https://visibility.cl/visibility2/app/uploads/2026-01-09/pregunta_32647/qfoto_696119dd1bb053.99905791.webp,2
2224033,INVERSIONES SARAI SPA,"AVENIDA INDEPENDENCIA435, INDEPENDENCIA",VESPUCIO,CENTRO,2025-12-23 00:00:00,SI,4 +,NO,,https://visibility.cl/visibility2/app/uploads/2025-12-23/pregunta_32647/qfoto_694a9bf994a186.24440149.webp,1
2224033,INVERSIONES SARAI SPA,"AVENIDA INDEPENDENCIA435, INDEPENDENCIA",VESPUCIO,CENTRO,2025-12-23 00:00:00,SI,4 +,NO,,https://visibility.cl/visibility2/app/uploads/2025-12-23/pregunta_32647/qfoto_694a9c093e26a0.64956663.webp,2
703167,(ALMACEN) SUC MARIA FERNANDEZ CID,EL ESFUERZO 97,LA SERENA/OVALLE,CENTRO COSTA,2025-12-23 00:00:00,SI,4 +,NO,,https://visibility.cl/visibility2/app/uploads/2025-12-23/pregunta_32647/qfoto_694aba3b106d74.55788790.webp,1
996462,(ALMACEN) BERTA GONZALEZ NUÑEZ,ACCESO SUR PICHIDANGUI 164,LA SERENA/OVALLE,CENTRO COSTA,2025-12-23 00:00:00,SI,4 +,NO,,https://visibility.cl/visibility2/app/uploads/2025-12-23/pregunta_32647/qfoto_694ac1691c3ae2.28317898.webp,1
2058509,(ALMACEN) OSCAR GOMEZ MARQUEZ,"JUAN BOLIVAR 1125, ANTOFAGASTA",ANTOFAGASTA/CALAMA,NORTE,2025-12-22 00:00:00,SI,4 +,NO,,https://visibility.cl/visibility2/app/uploads/2025-12-22/pregunta_32647/qfoto_6949350089f1f8.45399205.webp,1
2352565,(ALMACEN) SUPERMERCADO DOBLE-V QUETROLEUFU,CAM PUBLICO LT 95 B 2 QUETROLEUF,TEMUCO/VALDIVIA,SUR,2025-12-19 00:00:00,SI,4 +,NO,,https://visibility.cl/visibility2/app/uploads/2025-12-19/pregunta_32647/qfoto_6945bfb4c41535.64543646.webp,1
1424821,(ALMACEN) BERNARDA JARA,"JUVENAL. MORLA 625, ANTOFAGASTA",ANTOFAGASTA/CALAMA,NORTE,2025-12-18 00:00:00,SI,4 +,NO,,https://visibility.cl/visibility2/app/uploads/2025-12-18/pregunta_32647/qfoto_6944357addba47.49269385.webp,1
1429648,(ALMACEN) GRACIELA SOTO QUISPE,"CARACOLES 3588, ANTOFAGASTA",ANTOFAGASTA/CALAMA,NORTE,2025-12-18 00:00:00,SI,2,NO,,https://visibility.cl/visibility2/app/uploads/2025-12-18/pregunta_32647/qfoto_6944170abc6fd0.19143744.webp,1
1626790,(ALMACEN) JHOYSY MAMANI PONCE,"AV. ARGENTINA 1691, ANTOFAGASTA",ANTOFAGASTA/CALAMA,NORTE,2025-12-18 00:00:00,SI,2,NO,,https://visibility.cl/visibility2/app/uploads/2025-12-18/pregunta_32647/qfoto_69440f1067ca30.74442379.webp,1
1686989,EL MANDY SPA,"EL OBSERVATORIO 1420, EL BOSQUE",PIRAMIDE,CENTRO,2025-12-18 00:00:00,SI,4 +,NO,,https://visibility.cl/visibility2/app/uploads/2025-12-18/pregunta_32647/qfoto_694451016d4f05.56015294.webp,1
1686989,EL MANDY SPA,"EL OBSERVATORIO 1420, EL BOSQUE",PIRAMIDE,CENTRO,2025-12-18 00:00:00,SI,4 +,NO,,https://visibility.cl/visibility2/app/uploads/2025-12-18/pregunta_32647/qfoto_694451158d0fc8.54869976.webp,2
2053434,JAVIER BERNADINO QUISPE NAHUINCHA,"JOSE SANTOS OSSA 2656, ANTOFAGASTA",ANTOFAGASTA/CALAMA,NORTE,2025-12-18 00:00:00,SI,1,NO,,https://visibility.cl/visibility2/app/uploads/2025-12-18/pregunta_32647/qfoto_6944144579f958.28823432.webp,1
2076336,ELENA DE LAS MEECEDES ARANGUIZ LEIVA,"SALAS 9058, LA CISTERNA",PIRAMIDE,CENTRO,2025-12-18 00:00:00,SI,4 +,SI,SI,https://visibility.cl/visibility2/app/uploads/2025-12-18/pregunta_32647/qfoto_694435268f5249.32223437.webp,1
2076336,ELENA DE LAS MEECEDES ARANGUIZ LEIVA,"SALAS 9058, LA CISTERNA",PIRAMIDE,CENTRO,2025-12-18 00:00:00,SI,4 +,SI,SI,https://visibility.cl/visibility2/app/uploads/2025-12-18/pregunta_32647/qfoto_6944354540b3a0.95614188.webp,2
2109209,(ALMACEN) COM. Y MINIMARKET JOSE AYALA ATAHUA,"LAS TAGUAS 197, ANTOFAGASTA",ANTOFAGASTA/CALAMA,NORTE,2025-12-18 00:00:00,SI,2,NO,,https://visibility.cl/visibility2/app/uploads/2025-12-18/pregunta_32647/qfoto_694420ba664630.94963259.webp,1
2156991,(ALMACEN) EYFER ENERO MAMANI,"OFICINA LINA 155, ANTOFAGASTA",ANTOFAGASTA/CALAMA,NORTE,2025-12-18 00:00:00,SI,2,NO,,https://visibility.cl/visibility2/app/uploads/2025-12-18/pregunta_32647/qfoto_694434cdc51b54.46927646.webp,1
2185161,MARKET JIMMY ALEX LTDA,"AVENIDA FERNANDEZ ALBANO1197, LA CISTERNA",PIRAMIDE,CENTRO,2025-12-18 00:00:00,SI,4 +,NO,,https://visibility.cl/visibility2/app/uploads/2025-12-18/pregunta_32647/qfoto_6944431392b7c7.37382112.webp,1
2185161,MARKET JIMMY ALEX LTDA,"AVENIDA FERNANDEZ ALBANO1197, LA CISTERNA",PIRAMIDE,CENTRO,2025-12-18 00:00:00,SI,4 +,NO,,https://visibility.cl/visibility2/app/uploads/2025-12-18/pregunta_32647/qfoto_6944432b303388.94307629.webp,2
2236196,(ALMACEN) MINIMARKET NELSON EDGARDO FUENTES,"INGENIERO BUDGE 766, SAN MIGUEL",PIRAMIDE,CENTRO,2025-12-18 00:00:00,SI,4 +,NO,,https://visibility.cl/visibility2/app/uploads/2025-12-18/pregunta_32647/qfoto_694447d8af2f46.66492760.webp,1
2236196,(ALMACEN) MINIMARKET NELSON EDGARDO FUENTES,"INGENIERO BUDGE 766, SAN MIGUEL",PIRAMIDE,CENTRO,2025-12-18 00:00:00,SI,4 +,NO,,https://visibility.cl/visibility2/app/uploads/2025-12-18/pregunta_32647/qfoto_694447f2ceb979.07151283.webp,2
2236196,(ALMACEN) MINIMARKET NELSON EDGARDO FUENTES,"INGENIERO BUDGE 766, SAN MIGUEL",PIRAMIDE,CENTRO,2025-12-18 00:00:00,SI,4 +,NO,,https://visibility.cl/visibility2/app/uploads/2025-12-18/pregunta_32647/qfoto_69444801288865.29050031.webp,3
2292046,(ALMACEN) DEYSI MAMANI CACAUCA,"IQUIQUE 6904, ANTOFAGASTA",ANTOFAGASTA/CALAMA,NORTE,2025-12-18 00:00:00,SI,2,NO,,https://visibility.cl/visibility2/app/uploads/2025-12-18/pregunta_32647/qfoto_69441e2071d5b7.27966898.webp,1
2313125,(ALMACEN) ROSSIO FERNANDEZ FRANCO,"AV. LOS CONQUISTADORES 13950, ANTOFAGASTA",ANTOFAGASTA/CALAMA,NORTE,2025-12-18 00:00:00,SI,2,NO,,https://visibility.cl/visibility2/app/uploads/2025-12-18/pregunta_32647/qfoto_69443440d9dd30.72885300.webp,1
664899,(ALMACEN) JIMMY ARACENA F,"JUAN SOLAR PARRA 516, EL BOSQUE",PIRAMIDE,CENTRO,2025-12-18 00:00:00,SI,4 +,SI,SI,https://visibility.cl/visibility2/app/uploads/2025-12-18/pregunta_32647/qfoto_69443a5ed96eb3.99885466.webp,1
664899,(ALMACEN) JIMMY ARACENA F,"JUAN SOLAR PARRA 516, EL BOSQUE",PIRAMIDE,CENTRO,2025-12-18 00:00:00,SI,4 +,SI,SI,https://visibility.cl/visibility2/app/uploads/2025-12-18/pregunta_32647/qfoto_69443a70d95f38.96833013.webp,2
748565,HECTOR MACHUCA DIAZ,"ARTURO PRAT 39, LA CISTERNA",PIRAMIDE,CENTRO,2025-12-18 00:00:00,SI,4 +,NO,,https://visibility.cl/visibility2/app/uploads/2025-12-18/pregunta_32647/qfoto_694437e03fb6d5.20330575.webp,1
748565,HECTOR MACHUCA DIAZ,"ARTURO PRAT 39, LA CISTERNA",PIRAMIDE,CENTRO,2025-12-18 00:00:00,SI,4 +,NO,,https://visibility.cl/visibility2/app/uploads/2025-12-18/pregunta_32647/qfoto_694437f98840e4.49713114.webp,2
748565,HECTOR MACHUCA DIAZ,"ARTURO PRAT 39, LA CISTERNA",PIRAMIDE,CENTRO,2025-12-18 00:00:00,SI,4 +,NO,,https://visibility.cl/visibility2/app/uploads/2025-12-18/pregunta_32647/qfoto_69443809efa5f5.25187462.webp,3
2430322,(ALMACEN) BUALE GROUP LTDA,"SAN IGNACIO 801, QUILICURA",VESPUCIO,CENTRO,2025-12-17 00:00:00,SI,4 +,NO,,https://visibility.cl/visibility2/app/uploads/2025-12-17/pregunta_32647/qfoto_6942f7130be670.23671170.webp,1
2430322,(ALMACEN) BUALE GROUP LTDA,"SAN IGNACIO 801, QUILICURA",VESPUCIO,CENTRO,2025-12-17 00:00:00,SI,4 +,NO,,https://visibility.cl/visibility2/app/uploads/2025-12-17/pregunta_32647/qfoto_6942f71e6f6f32.94796102.webp,2
2430322,(ALMACEN) BUALE GROUP LTDA,"SAN IGNACIO 801, QUILICURA",VESPUCIO,CENTRO,2025-12-17 00:00:00,SI,4 +,NO,,https://visibility.cl/visibility2/app/uploads/2025-12-17/pregunta_32647/qfoto_6942f72ae36129.90122649.webp,3
2430322,(ALMACEN) BUALE GROUP LTDA,"SAN IGNACIO 801, QUILICURA",VESPUCIO,CENTRO,2025-12-17 00:00:00,SI,4 +,NO,,https://visibility.cl/visibility2/app/uploads/2025-12-17/pregunta_32647/qfoto_6942f7417a7814.66354138.webp,4
1329150,ANIBAL HUANQUILEN ANCAN,"JUAN MAISONAVE 223, LAMPA",VESPUCIO,CENTRO,2025-12-16 00:00:00,SI,4 +,SI,SI,https://visibility.cl/visibility2/app/uploads/2025-12-16/pregunta_32647/qfoto_6941af4b69e2c9.43149108.webp,1
1329150,ANIBAL HUANQUILEN ANCAN,"JUAN MAISONAVE 223, LAMPA",VESPUCIO,CENTRO,2025-12-16 00:00:00,SI,4 +,SI,SI,https://visibility.cl/visibility2/app/uploads/2025-12-16/pregunta_32647/qfoto_6941af715b45c4.40298446.webp,2
2304355,(ALMACEN) NELLY LUQUE RETAMOZO,"LOS ESPINOS 156, LAMPA",VESPUCIO,CENTRO,2025-12-16 00:00:00,SI,4 +,NO,,https://visibility.cl/visibility2/app/uploads/2025-12-16/pregunta_32647/qfoto_6941a286161720.74556034.webp,1
2304355,(ALMACEN) NELLY LUQUE RETAMOZO,"LOS ESPINOS 156, LAMPA",VESPUCIO,CENTRO,2025-12-16 00:00:00,SI,4 +,NO,,https://visibility.cl/visibility2/app/uploads/2025-12-16/pregunta_32647/qfoto_6941a307a79a01.01815493.webp,2
2304355,(ALMACEN) NELLY LUQUE RETAMOZO,"LOS ESPINOS 156, LAMPA",VESPUCIO,CENTRO,2025-12-16 00:00:00,SI,4 +,NO,,https://visibility.cl/visibility2/app/uploads/2025-12-16/pregunta_32647/qfoto_6941a30bee32f6.35456294.webp,3
