CADENA,LOCAL,FECHA,DISPONIBILIDAD DE PRODUCTOS (A - D) ,GONDOLA,COMUNICACION MARCA,EXHIBICION AMBIENTE,EXHIBICION FRIO,SECTOR CAJAS,Pct_Entrada,Pct_Salida,VARIACION (%)
ALVI,ALVI * AVENIDA RAMON FREIRE 1515 * QUILPUE,2026-01-12 00:00:00,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,50 %,50 %,0 %
ARAMCO,"ARAMCO - AVENIDA PEDRO AGUIRRE CERDA11385, AN",2026-01-02 00:00:00,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,50 %,50 %,0 %
ARAMCO,"ARAMCO - AVENIDA PEDRO AGUIRRE CERDA11385, AN",2026-01-15 00:00:00,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,50 %,50 %,0 %
ARAMCO,"ARAMCO - AVENIDA PEDRO AGUIRRE CERDA11385, AN",2026-01-26 00:00:00,🟢 17%,🟢 17%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,67 %,67 %,0 %
ARAMCO,ARAMCO - BALMACEDA. 4450 4450,2026-01-07 00:00:00,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,33 %,33 %,0 %
ARAMCO,"ARAMCO - EL SAUCE64, PLACILLA 1150",2026-01-05 00:00:00,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,33 %,33 %,0 %
ARAMCO,"ARAMCO - LOS MIRLOS 181, VIÑA DEL MAR 181",2026-01-09 00:00:00,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,33 %,33 %,0 %
ARAMCO,ARAMCO - MARGA-MARGA 1844 1844,2026-01-12 00:00:00,🟢 17%,🟢 17%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,67 %,67 %,0 %
ARAMCO,"ARAMCO - PANAMERICANA NORTE225, LOS VILOS 225",2026-01-22 00:00:00,🟢 17%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,🔴 0%,33 %,33 %,0 %
CENCOSUD,AV JORGE ALESSANDRI 3177,2026-01-13 00:00:00,🟢 17%,🟢 17%,🔴 0%,🔴 0%,🟢 17%,🟢 17%,67 %,67 %,0 %
