Cliente;Nombre;CLUSTER
593100;;A
383640;;A
34944;;C
641618;;A
573128;;A
696720;;A
689922;;B
422320;;A
381670;;B
184710;;B
170372;;C
160032;;C
51436;;C
62478;;A
41684;;A
60951;;A
42800;;C
71898;;A
45644;;A
74347;;A
77388;;A
77086;;A
90601;;A
87339;;A
93019;;B
74372;;A
85083;;D
96019;;C
7135;;A
7187;;C
7129;;C
64658;;A
96427;;C
95673;;C
9445;;C
90553;;A
86040;;D
12246;;C
95465;;C
96324;;B
17271;;C
88605;;C
93817;;D
85735;;A
16638;;C
65979;;B
12706;;B
7161;;A
11252;;A
64008;;A
7157;;D
93664;;C
7165;;C
64146;;D
8066;;C
85097;;E
65893;;A
65894;;C
74094;;A
7130;;A
69491;;A
69492;;C
7117;;C
8069;;A
24073;;B
92337;;C
63893;;E
71987;;C
66204;;A
7138;;A
8063;;C
7166;;A
89989;;C
88841;;B
7172;;B
7114;;A
85468;;A
94827;;A
7137;;A
7170;;A
15784;;D
71480;;A
73922;;A
97129;;B
41294;;A
95330;;A
90368;;A
41356;;A
15780;;E
96275;;B
85814;;A
85317;;A
72272;;A
42918;;A
87479;;E
44002;;D
93050;;B
45466;;C
85814;;B
72361;;A
91265;;A
42442;;A
57427;;A
97042;;D
87900;;D
94302;;D
77086;;D
57207;;C
42800;;C
74347;;A
41684;;B
87339;;A
94143;;A
89603;;B
45644;;D
41623;;C
56043;;A
43287;;B
56043;;A
85742;;A
42528;;A
96391;;A
93019;;C
42436;;C
64213;;B
66999;;C
77388;;A
95968;;B
94828;;C
97128;;A
93561;;A
69213;;A
95569;;D
43011;;D
87027;;C
70737;;D
63980;;D
41649;;A
41734;;C
74999;;B
61245;;C
96850;;C
96829;;C
55509;;A
88895;;C
92024;;B
56803;;B
92024;;A
90457;;D
85987;;D
75683;;C
64823;;E
77605;;A
94351;;C
41665;;C
41666;;C
94215;;A
71818;;A
41743;;A
89643;;C
88354;;A
54816;;C
93216;;D
62404;;C
75032;;A
90677;;D
71480;;A
73922;;A
97129;;B
41294;;A
95330;;A
90368;;A
41356;;A
15780;;E
96275;;B
85814;;A
85317;;A
72272;;A
42918;;A
87479;;E
44002;;D
93050;;B
45466;;C
85814;;B
72361;;A
91265;;A
42442;;A
57427;;A
97042;;D
87900;;D
94302;;D
77086;;D
57207;;C
42800;;C
74347;;A
41684;;B
87339;;A
94143;;A
89603;;B
45644;;D
41623;;C
56043;;A
43287;;B
56043;;A
85742;;A
42528;;A
96391;;A
93019;;C
42436;;C
64213;;B
66999;;C
77388;;A
95968;;B
94828;;C
97128;;A
93561;;A
69213;;A
95569;;D
43011;;D
87027;;C
70737;;D
63980;;D
41649;;A
41734;;C
74999;;B
61245;;C
96850;;C
96829;;C
55509;;A
88895;;C
92024;;B
56803;;B
92024;;A
90457;;D
85987;;D
75683;;C
64823;;E
77605;;A
94351;;C
41665;;C
41666;;C
94215;;A
71818;;A
41743;;A
89643;;C
88354;;A
54816;;C
93216;;D
62404;;C
75032;;A
90677;;D
42057;;C
88582;;C
88582;;D
56020;;B
94500;;D
65829;;A
75668;;B
96306;;A
75668;;C
96306;;D
75663;;D
65000;;C
46155;;D
97485;;E
91452;;A
42011;;A
95840;;D
45541;;C
88189;;D
94501;;D
42958;;C
63940;;A
89962;;C
64600;;A
71081;;C
96751;;E
90601;;A
41680;;B
74372;;A
60951;;A
91048;;A
41669;;A
41670;;A
70489;;B
44188;;C
96722;;C
60269;;A
12062;;A
55462;;A
12491;;A
60716;;B
16074;;A
61580;;B
74786;;B
91920;;B
55601;;A
91772;;C
65772;;C
93265;;C
73347;;C
94285;;C
97018;;C
