tipo;idCampana;nombreCanal;nombreDistrito;nombreCampana;codigo_local;cuenta;nombre_local;fecha_respuesta;comuna;region;nombreZona;nombreCompleto;pregunta;respuesta;precio
3;1660;TRADICIONAL;OVALLE;CANAL TRADICIONAL 12-05-2025 - 16-05-2025;1300451;SSRR;MANUEL SILVA ARAYA;13/05/2025 16:18;LOS VILOS;04 - COQUIMBO;CENTRO NORTE;DIEGO MORGAN;¿El local tiene cooler de bebidas analcohólicas CCU? (Pepsi, Bilz y Pap, etc.);Sí;0.00
3;1668;TRADICIONAL;OVALLE;CANAL TRADICIONAL 19-05-2025 - 23-05-2025;1300451;SSRR;MANUEL SILVA ARAYA;23/05/2025 14:58;LOS VILOS;04 - COQUIMBO;CENTRO NORTE;DIEGO MORGAN;¿El local tiene cooler de bebidas analcohólicas CCU? (Pepsi, Bilz y Pap, etc.);No;0.00
3;140;TRADICIONAL;OVALLE;CANAL TRADICIONAL 03-03-2025 - 31-03-2025;1300451;SSRR;MANUEL SILVA ARAYA;04/03/2025 17:27;LOS VILOS;04 - COQUIMBO;CENTRO NORTE;DIEGO MORGAN;¿Existe Red Bull en el Punto de Venta?;Sí;0.00
3;1660;TRADICIONAL;OVALLE;CANAL TRADICIONAL 12-05-2025 - 16-05-2025;1300451;SSRR;MANUEL SILVA ARAYA;13/05/2025 16:18;LOS VILOS;04 - COQUIMBO;CENTRO NORTE;DIEGO MORGAN;¿Cuántas puertas hay de cooler CCU?;2;0.00
3;140;TRADICIONAL;OVALLE;CANAL TRADICIONAL 03-03-2025 - 31-03-2025;1300451;SSRR;MANUEL SILVA ARAYA;04/03/2025 17:27;LOS VILOS;04 - COQUIMBO;CENTRO NORTE;DIEGO MORGAN;Seleccione productos Red Bull presentes;RED BULL 250ML REGULAR;0.00
3;140;TRADICIONAL;OVALLE;CANAL TRADICIONAL 03-03-2025 - 31-03-2025;1300451;SSRR;MANUEL SILVA ARAYA;04/03/2025 17:27;LOS VILOS;04 - COQUIMBO;CENTRO NORTE;DIEGO MORGAN;Seleccione productos Red Bull presentes;RED BULL 355ML REGULAR;0.00
3;140;TRADICIONAL;OVALLE;CANAL TRADICIONAL 03-03-2025 - 31-03-2025;1300451;SSRR;MANUEL SILVA ARAYA;04/03/2025 17:27;LOS VILOS;04 - COQUIMBO;CENTRO NORTE;DIEGO MORGAN;Seleccione productos Red Bull presentes;RED BULL 250ML SUGAR FREE;0.00
3;140;TRADICIONAL;OVALLE;CANAL TRADICIONAL 03-03-2025 - 31-03-2025;1300451;SSRR;MANUEL SILVA ARAYA;04/03/2025 17:27;LOS VILOS;04 - COQUIMBO;CENTRO NORTE;DIEGO MORGAN;Seleccione Marcas presentes en local;MONSTER;0.00
3;140;TRADICIONAL;OVALLE;CANAL TRADICIONAL 03-03-2025 - 31-03-2025;1300451;SSRR;MANUEL SILVA ARAYA;04/03/2025 17:27;LOS VILOS;04 - COQUIMBO;CENTRO NORTE;DIEGO MORGAN;Seleccione Marcas presentes en local;ROCKSTAR;0.00
3;1660;TRADICIONAL;OVALLE;CANAL TRADICIONAL 12-05-2025 - 16-05-2025;1300451;SSRR;MANUEL SILVA ARAYA;13/05/2025 16:18;LOS VILOS;04 - COQUIMBO;CENTRO NORTE;DIEGO MORGAN;Caras en Cooler de Red Bull Zero Edition;;0.00
3;1668;TRADICIONAL;OVALLE;CANAL TRADICIONAL 19-05-2025 - 23-05-2025;1300451;SSRR;MANUEL SILVA ARAYA;23/05/2025 14:58;LOS VILOS;04 - COQUIMBO;CENTRO NORTE;DIEGO MORGAN;Caras en Cooler de Red Bull Zero Edition;;0.00
3;140;TRADICIONAL;OVALLE;CANAL TRADICIONAL 03-03-2025 - 31-03-2025;1300451;SSRR;MANUEL SILVA ARAYA;04/03/2025 17:27;LOS VILOS;04 - COQUIMBO;CENTRO NORTE;DIEGO MORGAN;PRECIO RED BULL 250ML REGULAR;1600;0.00
3;1660;TRADICIONAL;OVALLE;CANAL TRADICIONAL 12-05-2025 - 16-05-2025;1300451;SSRR;MANUEL SILVA ARAYA;13/05/2025 16:18;LOS VILOS;04 - COQUIMBO;CENTRO NORTE;DIEGO MORGAN;Cantidad de Caras de Red Bull Summer Edition;;0.00
3;1668;TRADICIONAL;OVALLE;CANAL TRADICIONAL 19-05-2025 - 23-05-2025;1300451;SSRR;MANUEL SILVA ARAYA;23/05/2025 14:58;LOS VILOS;04 - COQUIMBO;CENTRO NORTE;DIEGO MORGAN;Cantidad de Caras de Red Bull Summer Edition;;0.00
3;140;TRADICIONAL;OVALLE;CANAL TRADICIONAL 03-03-2025 - 31-03-2025;1300451;SSRR;MANUEL SILVA ARAYA;04/03/2025 17:27;LOS VILOS;04 - COQUIMBO;CENTRO NORTE;DIEGO MORGAN;¿Existen coolers presentes en local?;Sí;0.00
