nombreFormulario,fechaVisita,mesVisita,mesNumero,merchan,comunaLocal,SALASVISITADAS,SALASIMPLEMENTADAS,PLAYA,CAMPING,CASCO_URBANO,RURAL,EVENTO,SELL_OUT
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","01/04/2025 15:21:59",April,4,jparedes,SANTIAGO,1,1,0,0,0,0,1,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","01/04/2025 15:36:53",April,4,grojas,SANTIAGO,1,1,0,0,0,0,1,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","02/04/2025 15:33:52",April,4,grojas,TILTIL,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","02/04/2025 15:36:18",April,4,grojas,TILTIL,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","02/04/2025 15:38:33",April,4,grojas,TILTIL,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","02/04/2025 15:38:52",April,4,jparedes,TILTIL,1,1,0,0,0,1,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","02/04/2025 15:41:30",April,4,jparedes,TILTIL,1,1,0,0,0,1,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","02/04/2025 15:43:06",April,4,jparedes,TILTIL,1,1,0,0,0,1,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","02/04/2025 15:44:54",April,4,jparedes,TILTIL,1,1,0,0,0,1,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","02/04/2025 15:45:53",April,4,grojas,TILTIL,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","02/04/2025 15:46:57",April,4,jparedes,TILTIL,1,1,0,0,0,1,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","02/04/2025 15:49:39",April,4,jparedes,SANTIAGO,1,1,0,0,0,0,1,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","02/04/2025 15:53:54",April,4,jparedes,SANTIAGO,1,1,0,0,0,0,1,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","02/04/2025 15:54:44",April,4,grojas,SANTIAGO,1,1,0,0,0,0,1,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","03/04/2025 13:49:40",April,4,grojas,TILTIL,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","03/04/2025 13:56:04",April,4,grojas,TILTIL,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","03/04/2025 13:59:41",April,4,grojas,TILTIL,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","03/04/2025 14:03:34",April,4,grojas,TILTIL,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","03/04/2025 14:07:11",April,4,grojas,TILTIL,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","03/04/2025 14:09:57",April,4,grojas,TILTIL,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","03/04/2025 14:13:18",April,4,grojas,TILTIL,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","03/04/2025 14:18:45",April,4,jparedes,TILTIL,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","03/04/2025 14:18:59",April,4,grojas,TILTIL,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","03/04/2025 14:20:59",April,4,jparedes,TILTIL,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","03/04/2025 14:21:49",April,4,grojas,TILTIL,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","03/04/2025 14:23:17",April,4,jparedes,TILTIL,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","03/04/2025 14:25:12",April,4,jparedes,TILTIL,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","03/04/2025 14:27:04",April,4,jparedes,TILTIL,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","03/04/2025 14:29:55",April,4,jparedes,TILTIL,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","03/04/2025 14:31:43",April,4,jparedes,TILTIL,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","03/04/2025 14:34:59",April,4,jparedes,TILTIL,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","03/04/2025 14:36:55",April,4,jparedes,TILTIL,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","03/04/2025 14:38:27",April,4,jparedes,TILTIL,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","04/04/2025 14:48:42",April,4,grojas,MACUL,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","04/04/2025 14:52:11",April,4,grojas,"LO PRADO",1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","04/04/2025 14:55:09",April,4,grojas,PROVIDENCIA,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","04/04/2025 14:59:16",April,4,grojas,PROVIDENCIA,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","04/04/2025 15:01:41",April,4,grojas,PROVIDENCIA,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","04/04/2025 15:02:43",April,4,jparedes,NUNOA,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","04/04/2025 15:04:32",April,4,grojas,PROVIDENCIA,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","04/04/2025 15:05:03",April,4,jparedes,NUNOA,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","04/04/2025 15:06:34",April,4,grojas,PROVIDENCIA,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","04/04/2025 15:07:09",April,4,jparedes,PROVIDENCIA,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","04/04/2025 15:08:03",April,4,grojas,PROVIDENCIA,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","04/04/2025 15:10:28",April,4,jparedes,PROVIDENCIA,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","04/04/2025 15:12:51",April,4,jparedes,PROVIDENCIA,1,1,0,0,1,0,0,0
